TIMESTAMP,solar_TIMESTAMP,AUT_PAT_FOR_Pce_Js_1,AUT_PAT_FOR_Pce_Js_2,AUT_PAT_FOR_Pce_Js_3
2007-05-07T02:30:00Z,2007-05-07T03:19:05Z,1.872641875637105e-5,8.64980004275034e-6,0
2007-05-07T03:00:00Z,2007-05-07T03:49:05Z,1.872641875637105e-5,8.64980004275034e-6,0
2007-05-07T03:30:00Z,2007-05-07T04:19:05Z,1.872641875637105e-5,1.4276652429363505e-5,0
2007-05-07T04:00:00Z,2007-05-07T04:49:05Z,1.872641875637105e-5,2.6880060308317578e-5,0
2007-05-07T04:30:00Z,2007-05-07T05:19:05Z,1.1342247047083448e-5,2.6880060308317578e-5,4.2563271127776545e-6
2007-05-07T05:00:00Z,2007-05-07T05:49:05Z,1.1342247047083448e-5,2.6880060308317578e-5,4.2563271127776545e-6
2007-05-07T05:30:00Z,2007-05-07T06:19:05Z,1.1342247047083448e-5,2.0383525918705315e-5,1.0012480184645237e-5
2007-05-07T06:00:00Z,2007-05-07T06:49:05Z,1.1342247047083448e-5,2.6880060308317578e-5,1.0012480184645237e-5
2007-05-07T06:30:00Z,2007-05-07T07:19:05Z,4.821095221528596e-6,2.6880060308317578e-5,1.0012480184645237e-5
2007-05-07T07:00:00Z,2007-05-07T07:49:05Z,4.821095221528596e-6,2.6880060308317578e-5,1.6529145711059518e-5
2007-05-07T07:30:00Z,2007-05-07T08:19:05Z,4.821095221528596e-6,2.6880060308317578e-5,1.6529145711059518e-5
2007-05-07T08:00:00Z,2007-05-07T08:49:05Z,4.821095221528596e-6,2.6880060308317578e-5,1.6529145711059518e-5
2007-05-07T08:30:00Z,2007-05-07T09:19:05Z,4.821095221528596e-6,3.370997450835815e-5,2.360435016618827e-5
2007-05-07T09:00:00Z,2007-05-07T09:49:05Z,4.821095221528596e-6,3.370997450835815e-5,2.360435016618827e-5
2007-05-07T09:30:00Z,2007-05-07T10:19:05Z,4.821095221528596e-6,3.370997450835815e-5,2.360435016618827e-5
2007-05-07T10:00:00Z,2007-05-07T10:49:05Z,0,4.083451169529729e-5,2.360435016618827e-5
2007-05-07T10:30:00Z,2007-05-07T11:19:05Z,4.821095221528596e-6,4.083451169529729e-5,3.113379012005307e-5
2007-05-07T11:00:00Z,2007-05-07T11:49:05Z,4.821095221528596e-6,4.083451169529729e-5,3.113379012005307e-5
2007-05-07T11:30:00Z,2007-05-07T12:19:05Z,4.821095221528596e-6,3.370997450835815e-5,3.113379012005307e-5
