TIMESTAMP,solar_TIMESTAMP,ta,rh,sw_in,ws,precip,swc_shallow,swc_deep,ppfd_in,vpd,ext_rad
1996-03-04T11:00:00Z,1996-03-04T09:46:55Z,,,OUT_WARN,,,NA_PRESENT,NA_PRESENT,CALCULATED,CALCULATED,CALCULATED
1996-03-04T12:00:00Z,1996-03-04T10:46:55Z,,,OUT_WARN,,,NA_PRESENT,NA_PRESENT,CALCULATED,CALCULATED,CALCULATED
1996-03-04T13:00:00Z,1996-03-04T11:46:55Z,,,OUT_WARN,,,NA_PRESENT,NA_PRESENT,CALCULATED,CALCULATED,CALCULATED
1996-03-04T14:00:00Z,1996-03-04T12:46:55Z,,,OUT_WARN,,,NA_PRESENT,NA_PRESENT,CALCULATED,CALCULATED,CALCULATED
1996-03-04T15:00:00Z,1996-03-04T13:46:55Z,,,OUT_WARN,,,NA_PRESENT,NA_PRESENT,CALCULATED,CALCULATED,CALCULATED
1996-03-04T16:00:00Z,1996-03-04T14:46:55Z,,,OUT_WARN,,,NA_PRESENT,NA_PRESENT,CALCULATED,CALCULATED,CALCULATED
1996-03-04T17:00:00Z,1996-03-04T15:46:55Z,,,OUT_WARN,,,NA_PRESENT,NA_PRESENT,CALCULATED,CALCULATED,CALCULATED
1996-03-04T18:00:00Z,1996-03-04T16:46:55Z,,,,,,NA_PRESENT,NA_PRESENT,CALCULATED,CALCULATED,CALCULATED
1996-03-04T19:00:00Z,1996-03-04T17:46:55Z,,,,,,NA_PRESENT,NA_PRESENT,CALCULATED,CALCULATED,CALCULATED
1996-03-04T20:00:00Z,1996-03-04T18:46:55Z,,,RANGE_WARN,,,NA_PRESENT,NA_PRESENT,CALCULATED,CALCULATED,CALCULATED
1996-03-04T21:00:00Z,1996-03-04T19:46:55Z,,,RANGE_WARN,,,NA_PRESENT,NA_PRESENT,CALCULATED,CALCULATED,CALCULATED
1996-03-04T22:00:00Z,1996-03-04T20:46:55Z,,,RANGE_WARN,,,NA_PRESENT,NA_PRESENT,CALCULATED,CALCULATED,CALCULATED
1996-03-04T23:00:00Z,1996-03-04T21:46:55Z,,,RANGE_WARN,,,NA_PRESENT,NA_PRESENT,CALCULATED,CALCULATED,CALCULATED
1996-03-04T23:59:59Z,1996-03-04T22:46:54Z,,,RANGE_WARN,,,NA_PRESENT,NA_PRESENT,CALCULATED,CALCULATED,CALCULATED
1996-03-05T01:00:00Z,1996-03-04T23:46:55Z,,,RANGE_WARN,,,NA_PRESENT,NA_PRESENT,CALCULATED,CALCULATED,CALCULATED
1996-03-05T02:00:00Z,1996-03-05T00:47:09Z,,,RANGE_WARN,,,NA_PRESENT,NA_PRESENT,CALCULATED,CALCULATED,CALCULATED
1996-03-05T03:00:00Z,1996-03-05T01:47:09Z,,,RANGE_WARN,,,NA_PRESENT,NA_PRESENT,CALCULATED,CALCULATED,CALCULATED
1996-03-05T04:00:00Z,1996-03-05T02:47:09Z,,,RANGE_WARN,,,NA_PRESENT,NA_PRESENT,CALCULATED,CALCULATED,CALCULATED
1996-03-05T05:00:00Z,1996-03-05T03:47:09Z,,,RANGE_WARN,,,NA_PRESENT,NA_PRESENT,CALCULATED,CALCULATED,CALCULATED
1996-03-05T06:00:00Z,1996-03-05T04:47:09Z,,,RANGE_WARN,,,NA_PRESENT,NA_PRESENT,CALCULATED,CALCULATED,CALCULATED
1996-03-05T07:00:00Z,1996-03-05T05:47:09Z,,,RANGE_WARN,,,NA_PRESENT,NA_PRESENT,CALCULATED,CALCULATED,CALCULATED
1996-03-05T08:00:00Z,1996-03-05T06:47:09Z,,,,,,NA_PRESENT,NA_PRESENT,CALCULATED,CALCULATED,CALCULATED
1996-03-05T09:00:00Z,1996-03-05T07:47:09Z,,,,,,NA_PRESENT,NA_PRESENT,CALCULATED,CALCULATED,CALCULATED
1996-03-05T10:00:00Z,1996-03-05T08:47:09Z,,,,,,NA_PRESENT,NA_PRESENT,CALCULATED,CALCULATED,CALCULATED
1996-03-05T11:00:00Z,1996-03-05T09:47:09Z,,,OUT_WARN,,,NA_PRESENT,NA_PRESENT,CALCULATED,CALCULATED,CALCULATED
1996-03-05T12:00:00Z,1996-03-05T10:47:09Z,,,,,,NA_PRESENT,NA_PRESENT,CALCULATED,CALCULATED,CALCULATED
1996-03-05T13:00:00Z,1996-03-05T11:47:09Z,,,OUT_WARN,,,NA_PRESENT,NA_PRESENT,CALCULATED,CALCULATED,CALCULATED
1996-03-05T14:00:00Z,1996-03-05T12:47:09Z,,,OUT_WARN,,,NA_PRESENT,NA_PRESENT,CALCULATED,CALCULATED,CALCULATED
1996-03-05T15:00:00Z,1996-03-05T13:47:09Z,,,OUT_WARN,,,NA_PRESENT,NA_PRESENT,CALCULATED,CALCULATED,CALCULATED
1996-03-05T16:00:00Z,1996-03-05T14:47:09Z,,,,,,NA_PRESENT,NA_PRESENT,CALCULATED,CALCULATED,CALCULATED
1996-03-05T17:00:00Z,1996-03-05T15:47:09Z,,,,,,NA_PRESENT,NA_PRESENT,CALCULATED,CALCULATED,CALCULATED
1996-03-05T18:00:00Z,1996-03-05T16:47:09Z,,,,,,NA_PRESENT,NA_PRESENT,CALCULATED,CALCULATED,CALCULATED
1996-03-05T19:00:00Z,1996-03-05T17:47:09Z,,,,,,NA_PRESENT,NA_PRESENT,CALCULATED,CALCULATED,CALCULATED
1996-03-05T20:00:00Z,1996-03-05T18:47:09Z,,,RANGE_WARN,,,NA_PRESENT,NA_PRESENT,CALCULATED,CALCULATED,CALCULATED
1996-03-05T21:00:00Z,1996-03-05T19:47:09Z,,,RANGE_WARN,,,NA_PRESENT,NA_PRESENT,CALCULATED,CALCULATED,CALCULATED
1996-03-05T22:00:00Z,1996-03-05T20:47:09Z,,,RANGE_WARN,,,NA_PRESENT,NA_PRESENT,CALCULATED,CALCULATED,CALCULATED
