TIMESTAMP,solar_TIMESTAMP,GBR_GUI_ST3_Psy_Js_1,GBR_GUI_ST3_Psy_Js_2,GBR_GUI_ST3_Psy_Js_3,GBR_GUI_ST3_Psy_Js_4,GBR_GUI_ST3_Psy_Js_5,GBR_GUI_ST3_Psy_Js_6,GBR_GUI_ST3_Psy_Js_7,GBR_GUI_ST3_Psy_Js_8
2003-05-26T14:00:00Z,2003-05-26T13:43:11Z,0.004395849744242928,0.001256468924335554,0.004824761380582844,0.008460753074562465,0.0033192800798409975,0.006602092306921533,0.004737014296627838,0.003329445657699478
2003-05-26T14:15:00Z,2003-05-26T13:58:11Z,0.004312063904660352,0.0012679006128158525,0.005025011065155979,0.008600952984525928,0.0030390495273007333,0.006849947627197542,0.0048900988248301875,0.0035005519069919895
2003-05-26T14:30:00Z,2003-05-26T14:13:11Z,0.0044669364725826695,0.001289813356173609,0.005163019069820303,0.008719690889875412,0.003098794490013248,0.007093702784556462,0.00485943326830269,0.0035116263671916385
2003-05-26T14:45:00Z,2003-05-26T14:28:11Z,0.004534149054928564,0.0013388498537679897,0.005558730208255669,0.00897608519706617,0.0031485877221361317,0.006782134900940977,0.005229010865953641,0.004000697635953549
2003-05-26T15:00:00Z,2003-05-26T14:43:11Z,0.004699952656337662,0.0014052942030894251,0.005943321906502876,0.009192604785734438,0.0031362691034521523,0.006882220959435895,0.005273931599817048,0.003996709261819153
2003-05-26T15:15:00Z,2003-05-26T14:58:11Z,0.0048585157151618255,0.0014004123659236611,0.006098972006099341,0.009498669152839583,0.0030847844646847604,0.007124129293296823,0.0053258574209450555,0.004363073022089853
2003-05-26T15:30:00Z,2003-05-26T15:13:11Z,0.004948838200712195,0.0014605476722849258,0.0065655702598789445,0.009650442302853366,0.002947687664911457,0.007272879493632492,0.0055496219447534155,0.00444964574365733
2003-05-26T15:45:00Z,2003-05-26T15:28:11Z,0.005156770450950913,0.0014964991177993177,0.006630525989746662,0.010215586555768411,0.003122995339257902,0.007523190101507175,0.005595357211382644,0.004710436573678747
2003-05-26T16:00:00Z,2003-05-26T15:43:11Z,0.005501836619275452,0.0015993049797576944,0.006673561340057807,0.010544800762577937,0.0031635235358091715,0.0076213923198125725,0.005628382579338321,0.0048217043026169875
2003-05-26T16:15:00Z,2003-05-26T15:58:11Z,0.0055469187407883695,0.0016021352163054674,0.00681502285253666,0.011117079800987896,0.0033101584810915747,0.007923064114900175,0.00623211129321976,0.00494061730543882
