TIMESTAMP,solar_TIMESTAMP,GBR_ABE_PLO_Psi_Jt_1,GBR_ABE_PLO_Psi_Jt_2,GBR_ABE_PLO_Psi_Jt_3,GBR_ABE_PLO_Psi_Jt_4,GBR_ABE_PLO_Psi_Jt_5,GBR_ABE_PLO_Psi_Jt_6,GBR_ABE_PLO_Psi_Jt_7,GBR_ABE_PLO_Psi_Jt_8,GBR_ABE_PLO_Psi_Jt_9,GBR_ABE_PLO_Psi_Jt_10,GBR_ABE_PLO_Psi_Jt_11,GBR_ABE_PLO_Psi_Jt_12,GBR_ABE_PLO_Psi_Jt_13,GBR_ABE_PLO_Psi_Jt_14,GBR_ABE_PLO_Psi_Jt_15
2001-04-19T00:30:00Z,2001-04-19T00:15:50Z,0,8.192575592285743e-5,8.531405623883433e-5,0,2.8686711517758997e-5,2.8783886756271726e-5,3.859175251068857e-5,6.159673093850471e-5,1.3439631670329405e-4,0,0,0,0,0,0
2001-04-19T01:00:00Z,2001-04-19T00:45:50Z,4.816617914560571e-5,8.986617320746664e-5,9.29905548500955e-5,2.0696399104623387e-6,2.8686711517758997e-5,2.6069981677452805e-5,4.180679016715492e-5,6.833294856129717e-5,1.2414664483512025e-4,0,0,0,0,0,0
2001-04-19T01:30:00Z,2001-04-19T01:15:50Z,9.883599590354971e-6,9.38935946417726e-5,1.0476064964879187e-4,4.858975943741611e-6,3.194897193974965e-5,2.0808726700934547e-5,3.859175251068857e-5,6.833294856129717e-5,1.309599083331989e-4,0,0,0,0,0,0
2001-04-19T02:00:00Z,2001-04-19T01:45:50Z,3.2175811895302984e-5,9.79580865066317e-5,1.0476064964879187e-4,4.858975943741611e-6,2.8686711517758997e-5,1.826891799583639e-5,3.859175251068857e-5,6.833294856129717e-5,1.2754327400127697e-4,0,0,0,0,0,0
2001-04-19T02:30:00Z,2001-04-19T02:15:50Z,1.1828060064359851e-4,1.0619536302172749e-4,1.2090512274172615e-4,8.00793125225983e-6,3.527854254412769e-5,1.3395642522582267e-5,3.859175251068857e-5,7.17541673256478e-5,1.309599083331989e-4,0,0,0,0,0,0
2001-04-19T03:00:00Z,2001-04-19T02:45:50Z,2.6471081405903457e-4,1.1881216085137538e-4,1.2501825016997758e-4,2.278598950146784e-5,4.563709027115271e-5,1.1075628619910132e-5,4.5072179230905655e-5,7.52096268920996e-5,1.2077026153192251e-4,0,0,0,0,0,0
2001-04-19T03:30:00Z,2001-04-19T03:15:50Z,2.175701286950291e-4,1.317281569799042e-4,1.5462377311520117e-4,3.109462370181989e-5,5.649484735411372e-5,8.845552337048276e-6,5.174614711759938e-5,8.577371561191287e-5,1.3785227700695822e-4,0,0,0,0,0,0
2001-04-19T04:00:00Z,2001-04-19T03:45:50Z,1.345443082486656e-4,1.4049831940445525e-4,1.8106885464917746e-4,3.5428461457091716e-5,6.779768118453951e-5,6.71854549103929e-6,5.515127458624199e-5,8.935864778481713e-5,1.6257447426849253e-4,0,0,0,0,0,0
2001-04-19T04:30:00Z,2001-04-19T04:15:50Z,1.1828060064359851e-4,1.44929904027447e-4,1.855673969977121e-4,3.5428461457091716e-5,7.165692886978757e-5,4.7135742758078806e-6,4.8385902481183926e-5,8.935864778481713e-5,1.6980298490934848e-4,0,0,0,0,0,0
2001-04-19T05:00:00Z,2001-04-19T04:45:50Z,1.4703690406823948e-4,1.44929904027447e-4,1.9464022380235552e-4,3.5428461457091716e-5,7.555982716478709e-5,4.7135742758078806e-6,5.174614711759938e-5,8.935864778481713e-5,1.6617978625727055e-4,0,0,0,0,0,0
