TIMESTAMP,solar_TIMESTAMP,FIN_PET_Bpu_Js_1,FIN_PET_Bpu_Js_2,FIN_PET_Bpu_Js_3,FIN_PET_Bpu_Js_4,FIN_PET_Bpu_Js_5,FIN_PET_Bpu_Js_6,FIN_PET_Bpu_Js_7
2008-06-18T09:30:00Z,2008-06-18T11:17:09Z,NA,NA,NA,NA,NA,NA,NA
2008-06-18T10:00:00Z,2008-06-18T11:47:09Z,NA,NA,NA,NA,NA,NA,NA
2008-06-18T10:30:00Z,2008-06-18T12:17:09Z,NA,NA,NA,NA,NA,NA,NA
2008-06-18T11:00:00Z,2008-06-18T12:47:09Z,NA,NA,NA,NA,NA,NA,NA
2008-06-18T11:30:00Z,2008-06-18T13:17:09Z,NA,NA,NA,NA,NA,NA,NA
2008-06-18T12:00:00Z,2008-06-18T13:47:09Z,NA,NA,NA,NA,NA,NA,NA
2008-06-18T12:30:00Z,2008-06-18T14:17:09Z,NA,NA,NA,NA,NA,NA,NA
2008-06-18T13:00:00Z,2008-06-18T14:47:09Z,NA,NA,NA,NA,NA,NA,NA
2008-06-18T13:30:00Z,2008-06-18T15:17:09Z,NA,NA,NA,NA,NA,NA,NA
2008-06-18T14:00:00Z,2008-06-18T15:47:09Z,NA,NA,NA,NA,NA,NA,NA
2008-06-18T14:30:00Z,2008-06-18T16:17:09Z,NA,NA,NA,NA,NA,NA,NA
2008-06-18T15:00:00Z,2008-06-18T16:47:09Z,NA,NA,NA,NA,NA,NA,NA
2008-06-18T15:30:00Z,2008-06-18T17:17:09Z,NA,NA,NA,NA,NA,NA,NA
2008-06-18T16:00:00Z,2008-06-18T17:47:09Z,NA,NA,NA,NA,NA,NA,NA
2008-06-18T16:30:00Z,2008-06-18T18:17:09Z,NA,NA,NA,NA,NA,NA,NA
2008-06-18T17:00:00Z,2008-06-18T18:47:09Z,NA,NA,NA,NA,NA,NA,NA
2008-06-18T17:30:00Z,2008-06-18T19:17:09Z,NA,NA,NA,NA,NA,NA,NA
2008-06-18T18:00:00Z,2008-06-18T19:47:09Z,NA,NA,NA,NA,NA,NA,NA
2008-06-18T18:30:00Z,2008-06-18T20:17:09Z,NA,NA,NA,NA,NA,NA,NA
2008-06-18T19:00:00Z,2008-06-18T20:47:09Z,NA,NA,NA,NA,NA,NA,NA
2008-06-18T19:30:00Z,2008-06-18T21:17:09Z,NA,NA,NA,NA,NA,NA,NA
2008-06-18T20:00:00Z,2008-06-18T21:47:09Z,NA,NA,NA,NA,NA,NA,NA
2008-06-18T20:30:00Z,2008-06-18T22:17:09Z,NA,NA,NA,NA,NA,NA,NA
2008-06-18T21:00:00Z,2008-06-18T22:47:09Z,NA,NA,NA,NA,NA,NA,NA
2008-06-18T21:30:00Z,2008-06-18T23:17:09Z,NA,NA,NA,NA,NA,NA,NA
2008-06-18T22:00:00Z,2008-06-18T23:47:09Z,NA,NA,NA,NA,NA,NA,NA
2008-06-18T22:30:00Z,2008-06-19T00:16:57Z,NA,NA,NA,NA,NA,NA,NA
2008-06-18T23:00:00Z,2008-06-19T00:46:57Z,NA,NA,NA,NA,NA,NA,NA
2008-06-18T23:30:00Z,2008-06-19T01:16:57Z,NA,NA,NA,NA,NA,NA,NA
2008-06-19T00:00:00Z,2008-06-19T01:46:57Z,NA,NA,NA,NA,NA,NA,NA
2008-06-19T00:30:00Z,2008-06-19T02:16:57Z,NA,NA,NA,NA,NA,NA,NA
2008-06-19T01:00:00Z,2008-06-19T02:46:57Z,NA,NA,NA,NA,NA,NA,NA
2008-06-19T01:30:00Z,2008-06-19T03:16:57Z,NA,NA,NA,NA,NA,NA,NA
2008-06-19T02:00:00Z,2008-06-19T03:46:57Z,NA,NA,NA,NA,NA,NA,NA
2008-06-19T02:30:00Z,2008-06-19T04:16:57Z,NA,NA,NA,NA,NA,NA,NA
2008-06-19T03:00:00Z,2008-06-19T04:46:57Z,NA,NA,NA,NA,NA,NA,NA
