scheme,cluster,level,name,location,rows,pct_of_cluster
pft,evergreen,site,ESP_TIL_PIN,ESP_TIL,14878,1.29
pft,evergreen,site,GUF_GUY_ST2,GUF_GUY_ST2,9686,0.84
pft,evergreen,site,GBR_DEV_DRO,GBR_DEV,9353,0.81
pft,evergreen,site,GBR_DEV_CON,GBR_DEV,9339,0.81
pft,evergreen,site,ESP_SAN_B_100,ESP_SAN,8950,0.77
pft,evergreen,site,ESP_SAN_A_45I,ESP_SAN,7537,0.65
pft,evergreen,site,SWE_NOR_ST4_BEF,SWE_NOR,7140,0.62
pft,evergreen,site,GBR_GUI_ST1,GBR_GUI,7108,0.62
pft,evergreen,site,ESP_SAN_A2_45I,ESP_SAN,6274,0.54
pft,evergreen,site,ESP_SAN_B2_100,ESP_SAN,6272,0.54
pft,evergreen,site,GBR_GUI_ST2,GBR_GUI,5079,0.44
pft,evergreen,site,GBR_ABE_PLO,GBR_ABE_PLO,4295,0.37
pft,evergreen,site,IDN_JAM_OIL,IDN_JAM_OIL,4176,0.36
pft,evergreen,site,GBR_GUI_ST3,GBR_GUI,3819,0.33
pft,evergreen,site,SWE_NOR_ST2,SWE_NOR,1685,0.15
pft,evergreen,location,USA_PJS,3 site(s),244582,21.18
pft,evergreen,location,CAN_TUR,2 site(s),195928,16.96
pft,evergreen,location,FRA_PUE,1 site(s),171204,14.82
pft,evergreen,location,ESP_TIL,3 site(s),87181,7.55
pft,evergreen,location,NZL_HUA_HUA,1 site(s),60143,5.21
pft,evergreen,location,USA_PAR_FER,1 site(s),56805,4.92
pft,evergreen,location,NLD_LOO,1 site(s),56048,4.85
pft,evergreen,location,AUS_WOM,1 site(s),49660,4.3
pft,evergreen,location,AUS_RIC_EUC_ELE,1 site(s),33937,2.94
pft,evergreen,location,CZE_LIZ_LES,1 site(s),33410,2.89
pft,evergreen,location,SWE_NOR,3 site(s),32376,2.8
pft,evergreen,location,ESP_SAN,4 site(s),29033,2.51
pft,evergreen,location,PRT_LEZ_ARN,1 site(s),20680,1.79
pft,evergreen,location,GBR_DEV,2 site(s),18692,1.62
pft,evergreen,location,CHE_DAV_SEE,1 site(s),16047,1.39
pft,evergreen,location,GBR_GUI,3 site(s),16006,1.39
pft,evergreen,location,ESP_VAL_SOR,1 site(s),15020,1.3
pft,evergreen,location,GUF_GUY_ST2,1 site(s),9686,0.84
pft,evergreen,location,GBR_ABE_PLO,1 site(s),4295,0.37
