TIMESTAMP,solar_TIMESTAMP,ESP_TIL_PIN_Psy_Js_1,ESP_TIL_PIN_Psy_Js_2,ESP_TIL_PIN_Psy_Js_3,ESP_TIL_PIN_Psy_Js_4,ESP_TIL_PIN_Psy_Js_5,ESP_TIL_PIN_Psy_Js_6,ESP_TIL_PIN_Psy_Js_7,ESP_TIL_PIN_Psy_Js_8,ESP_TIL_PIN_Psy_Js_9
2010-05-02T16:45:00Z,2010-05-02T16:51:58Z,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010-05-02T16:59:59Z,2010-05-02T17:06:57Z,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010-05-02T17:15:00Z,2010-05-02T17:21:58Z,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010-05-02T17:30:00Z,2010-05-02T17:36:58Z,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010-05-02T17:44:59Z,2010-05-02T17:51:57Z,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010-05-02T18:00:00Z,2010-05-02T18:06:58Z,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010-05-02T18:15:00Z,2010-05-02T18:21:58Z,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010-05-02T18:29:59Z,2010-05-02T18:36:57Z,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010-05-02T18:45:00Z,2010-05-02T18:51:58Z,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010-05-02T19:00:00Z,2010-05-02T19:06:58Z,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010-05-02T19:14:59Z,2010-05-02T19:21:57Z,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010-05-02T19:30:00Z,2010-05-02T19:36:58Z,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010-05-02T19:45:00Z,2010-05-02T19:51:58Z,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010-05-02T19:59:59Z,2010-05-02T20:06:57Z,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010-05-02T20:15:00Z,2010-05-02T20:21:58Z,NA,NA,NA,NA,NA,NA,NA,NA,NA
