TIMESTAMP,solar_TIMESTAMP,SEN_SOU_PRE_Ato_Js_1,SEN_SOU_PRE_Ato_Js_2,SEN_SOU_PRE_Ato_Js_3
1996-03-01T10:59:59Z,1996-03-01T09:46:15Z,3357.6840655388214,4619.700869196985,4772.584407021045
1996-03-01T11:59:59Z,1996-03-01T10:46:15Z,3306.970859280609,4763.586590990578,4920.503793064727
1996-03-01T12:59:59Z,1996-03-01T11:46:15Z,3182.2829173044756,4814.110054376325,4935.834986129467
1996-03-01T13:59:59Z,1996-03-01T12:46:15Z,2990.7157215979178,4250.090013144369,4805.483258393408
1996-03-01T14:59:59Z,1996-03-01T13:46:15Z,2870.2864313950695,3869.6490830434873,4431.76598601539
1996-03-01T15:59:59Z,1996-03-01T14:46:15Z,2682.8836142121622,3715.50717761409,4460.80398058798
1996-03-01T16:59:59Z,1996-03-01T15:46:15Z,2301.833087962881,3084.6570644405797,3808.9853938958104
1996-03-01T17:59:59Z,1996-03-01T16:46:15Z,1628.4686490321499,2463.5561307319167,3285.4294526971403
1996-03-01T18:59:59Z,1996-03-01T17:46:15Z,889.1731477758626,1007.4373257842518,1911.273159829611
1996-03-01T19:59:59Z,1996-03-01T18:46:15Z,480.25196835066583,386.10503212035803,1245.9722521056433
1996-03-01T20:59:59Z,1996-03-01T19:46:15Z,290.1324369657136,235.38086127486503,756.8456792035674
1996-03-01T21:59:59Z,1996-03-01T20:46:15Z,185.9714889194062,160.98094005368114,491.17095383157044
1996-03-01T22:59:59Z,1996-03-01T21:46:15Z,170.25008202652606,115.57588687664008,241.58070210743398
1996-03-01T23:59:59Z,1996-03-01T22:46:15Z,125.31432380455865,326.93676479882646,467.852747469191
1996-03-02T00:59:59Z,1996-03-01T23:46:15Z,134.14824515490298,34.101627182224725,291.2414639840815
1996-03-02T01:59:59Z,1996-03-02T00:46:27Z,112.96095005653392,110.32577538608292,274.6640968396364
1996-03-02T02:59:59Z,1996-03-02T01:46:27Z,52.2756479627953,373.7684541492531,290.9701344754619
1996-03-02T03:59:59Z,1996-03-02T02:46:27Z,180.04576234526712,77.69939370186108,24.86540316224187
1996-03-02T04:59:59Z,1996-03-02T03:46:27Z,313.17080305408035,227.7679037273665,205.38109820854748
1996-03-02T05:59:59Z,1996-03-02T04:46:27Z,391.6390862807063,405.1624130991457,363.8733587152831
1996-03-02T06:59:59Z,1996-03-02T05:46:27Z,611.1396790206388,488.7489086363965,402.79425724359334
1996-03-02T07:59:59Z,1996-03-02T06:46:27Z,1618.7642677173544,1049.379022021303,1680.658565776919
