TIMESTAMP,solar_TIMESTAMP,GBR_GUI_ST2_Psy_Js_1,GBR_GUI_ST2_Psy_Js_2,GBR_GUI_ST2_Psy_Js_3,GBR_GUI_ST2_Psy_Js_4,GBR_GUI_ST2_Psy_Js_5,GBR_GUI_ST2_Psy_Js_6,GBR_GUI_ST2_Psy_Js_7,GBR_GUI_ST2_Psy_Js_8,GBR_GUI_ST2_Psy_Js_9
2003-05-05T23:00:00Z,2003-05-05T22:43:54Z,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003-05-05T23:15:00Z,2003-05-05T22:58:54Z,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003-05-05T23:30:00Z,2003-05-05T23:13:54Z,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003-05-05T23:45:00Z,2003-05-05T23:28:54Z,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003-05-06T00:00:00Z,2003-05-05T23:43:54Z,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003-05-06T00:15:00Z,2003-05-05T23:58:54Z,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003-05-06T00:30:00Z,2003-05-06T00:13:58Z,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003-05-06T00:45:00Z,2003-05-06T00:28:58Z,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003-05-06T01:00:00Z,2003-05-06T00:43:58Z,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003-05-06T01:15:00Z,2003-05-06T00:58:58Z,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003-05-06T01:30:00Z,2003-05-06T01:13:58Z,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003-05-06T01:45:00Z,2003-05-06T01:28:58Z,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003-05-06T02:00:00Z,2003-05-06T01:43:58Z,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003-05-06T02:15:00Z,2003-05-06T01:58:58Z,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003-05-06T02:30:00Z,2003-05-06T02:13:58Z,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003-05-06T02:45:00Z,2003-05-06T02:28:58Z,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003-05-06T03:00:00Z,2003-05-06T02:43:58Z,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003-05-06T03:15:00Z,2003-05-06T02:58:58Z,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003-05-06T03:30:00Z,2003-05-06T03:13:58Z,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003-05-06T03:45:00Z,2003-05-06T03:28:58Z,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003-05-06T04:00:00Z,2003-05-06T03:43:58Z,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003-05-06T04:15:00Z,2003-05-06T03:58:58Z,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003-05-06T04:30:00Z,2003-05-06T04:13:58Z,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003-05-06T04:45:00Z,2003-05-06T04:28:58Z,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003-05-06T05:00:00Z,2003-05-06T04:43:58Z,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003-05-06T05:15:00Z,2003-05-06T04:58:58Z,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003-05-06T05:30:00Z,2003-05-06T05:13:58Z,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003-05-06T05:45:00Z,2003-05-06T05:28:58Z,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003-05-06T06:00:00Z,2003-05-06T05:43:58Z,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003-05-06T06:15:00Z,2003-05-06T05:58:58Z,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003-05-06T06:30:00Z,2003-05-06T06:13:58Z,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003-05-06T06:45:00Z,2003-05-06T06:28:58Z,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003-05-06T07:00:00Z,2003-05-06T06:43:58Z,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003-05-06T07:15:00Z,2003-05-06T06:58:58Z,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003-05-06T07:30:00Z,2003-05-06T07:13:58Z,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003-05-06T07:45:00Z,2003-05-06T07:28:58Z,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003-05-06T08:00:00Z,2003-05-06T07:43:58Z,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003-05-06T08:15:00Z,2003-05-06T07:58:58Z,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003-05-06T08:30:00Z,2003-05-06T08:13:58Z,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003-05-06T08:45:00Z,2003-05-06T08:28:58Z,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003-05-06T09:00:00Z,2003-05-06T08:43:58Z,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003-05-06T09:15:00Z,2003-05-06T08:58:58Z,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003-05-06T09:30:00Z,2003-05-06T09:13:58Z,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003-05-06T09:45:00Z,2003-05-06T09:28:58Z,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003-05-06T10:00:00Z,2003-05-06T09:43:58Z,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003-05-06T10:15:00Z,2003-05-06T09:58:58Z,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003-05-06T10:30:00Z,2003-05-06T10:13:58Z,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003-05-06T10:45:00Z,2003-05-06T10:28:58Z,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003-05-06T11:00:00Z,2003-05-06T10:43:58Z,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003-05-06T11:15:00Z,2003-05-06T10:58:58Z,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003-05-06T11:30:00Z,2003-05-06T11:13:58Z,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003-05-06T11:45:00Z,2003-05-06T11:28:58Z,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003-05-06T12:00:00Z,2003-05-06T11:43:58Z,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003-05-06T12:15:00Z,2003-05-06T11:58:58Z,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003-05-06T12:30:00Z,2003-05-06T12:13:58Z,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003-05-06T12:45:00Z,2003-05-06T12:28:58Z,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003-05-06T13:00:00Z,2003-05-06T12:43:58Z,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003-05-06T13:15:00Z,2003-05-06T12:58:58Z,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003-05-06T13:30:00Z,2003-05-06T13:13:58Z,NA,NA,NA,NA,NA,NA,NA,NA,NA
