TIMESTAMP,solar_TIMESTAMP,SWE_NOR_ST1_BEF_Pab_Jt_1,SWE_NOR_ST1_BEF_Pab_Jt_2,SWE_NOR_ST1_BEF_Pab_Jt_4,SWE_NOR_ST1_BEF_Pab_Jt_5,SWE_NOR_ST1_BEF_Psy_Jt_6,SWE_NOR_ST1_BEF_Psy_Jt_7,SWE_NOR_ST1_BEF_Psy_Jt_8,SWE_NOR_ST1_BEF_Psy_Jt_9,SWE_NOR_ST1_BEF_Psy_Jt_10,SWE_NOR_ST1_BEF_Psy_Jt_11,SWE_NOR_ST1_BEF_Psy_Jt_12,SWE_NOR_ST1_BEF_Psy_Jt_13,SWE_NOR_ST1_BEF_Psy_Jt_14,SWE_NOR_ST1_BEF_Psy_Jt_15,SWE_NOR_ST1_BEF_Psy_Jt_16,SWE_NOR_ST1_BEF_Psy_Jt_17,SWE_NOR_ST1_BEF_Psy_Jt_18,SWE_NOR_ST1_BEF_Pab_Jt_19,SWE_NOR_ST1_BEF_Pab_Jt_20,SWE_NOR_ST1_BEF_Pab_Jt_21,SWE_NOR_ST1_BEF_Pab_Jt_22,SWE_NOR_ST1_BEF_Pab_Jt_23,SWE_NOR_ST1_BEF_Pab_Jt_24
2007-01-03T03:00:00Z,2007-01-03T04:04:30Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2007-01-03T03:30:00Z,2007-01-03T04:34:30Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2007-01-03T04:00:00Z,2007-01-03T05:04:30Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2007-01-03T04:30:00Z,2007-01-03T05:34:30Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2007-01-03T05:00:00Z,2007-01-03T06:04:30Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2007-01-03T05:30:00Z,2007-01-03T06:34:30Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2007-01-03T06:00:00Z,2007-01-03T07:04:30Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2007-01-03T06:30:00Z,2007-01-03T07:34:30Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2007-01-03T07:00:00Z,2007-01-03T08:04:30Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2007-01-03T07:30:00Z,2007-01-03T08:34:30Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2007-01-03T08:00:00Z,2007-01-03T09:04:30Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2007-01-03T08:30:00Z,2007-01-03T09:34:30Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2007-01-03T09:00:00Z,2007-01-03T10:04:30Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2007-01-03T09:30:00Z,2007-01-03T10:34:30Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2007-01-03T10:00:00Z,2007-01-03T11:04:30Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2007-01-03T10:30:00Z,2007-01-03T11:34:30Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2007-01-03T11:00:00Z,2007-01-03T12:04:30Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2007-01-03T11:30:00Z,2007-01-03T12:34:30Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2007-01-03T12:00:00Z,2007-01-03T13:04:30Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
