TIMESTAMP,solar_TIMESTAMP,USA_SYL_HL2_Tca_Js_1,USA_SYL_HL2_Tca_Js_2,USA_SYL_HL2_Tca_Js_3,USA_SYL_HL2_Tca_Js_4,USA_SYL_HL2_Ovi_Js_5,USA_SYL_HL2_Ovi_Js_6,USA_SYL_HL2_Bal_Js_7,USA_SYL_HL2_Tca_Js_8,USA_SYL_HL2_Asa_Js_9,USA_SYL_HL2_Tca_Js_10,USA_SYL_HL2_Tca_Js_11,USA_SYL_HL2_Bal_Js_12,USA_SYL_HL2_Asa_Js_13,USA_SYL_HL2_Asa_Js_14,USA_SYL_HL2_Asa_Js_15,USA_SYL_HL2_Asa_Js_16,USA_SYL_HL2_Asa_Js_17,USA_SYL_HL2_Asa_Js_18,USA_SYL_HL2_Tca_Js_19,USA_SYL_HL2_Tca_Js_20
2015-01-02T05:00:00Z,2015-01-01T22:58:02Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-01-02T05:30:00Z,2015-01-01T23:28:02Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-01-02T06:00:00Z,2015-01-01T23:57:37Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-01-02T06:30:00Z,2015-01-02T00:27:37Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-01-02T07:00:00Z,2015-01-02T00:57:37Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-01-02T07:30:00Z,2015-01-02T01:27:37Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-01-02T08:00:00Z,2015-01-02T01:57:37Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-01-02T08:30:00Z,2015-01-02T02:27:37Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-01-02T09:00:00Z,2015-01-02T02:57:37Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-01-02T09:30:00Z,2015-01-02T03:27:37Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-01-02T10:00:00Z,2015-01-02T03:57:37Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-01-02T10:30:00Z,2015-01-02T04:27:37Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-01-02T11:00:00Z,2015-01-02T04:57:37Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-01-02T11:30:00Z,2015-01-02T05:27:37Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-01-02T12:00:00Z,2015-01-02T05:57:37Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-01-02T12:30:00Z,2015-01-02T06:27:37Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-01-02T13:00:00Z,2015-01-02T06:57:37Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-01-02T13:30:00Z,2015-01-02T07:27:37Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-01-02T14:00:00Z,2015-01-02T07:57:37Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-01-02T14:30:00Z,2015-01-02T08:27:37Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-01-02T15:00:00Z,2015-01-02T08:57:37Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-01-02T15:30:00Z,2015-01-02T09:27:37Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-01-02T16:00:00Z,2015-01-02T09:57:37Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-01-02T16:30:00Z,2015-01-02T10:27:37Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-01-02T17:00:00Z,2015-01-02T10:57:37Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-01-02T17:30:00Z,2015-01-02T11:27:37Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-01-02T18:00:00Z,2015-01-02T11:57:37Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-01-02T18:30:00Z,2015-01-02T12:27:37Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-01-02T19:00:00Z,2015-01-02T12:57:37Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-01-02T19:30:00Z,2015-01-02T13:27:37Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-01-02T20:00:00Z,2015-01-02T13:57:37Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-01-02T20:30:00Z,2015-01-02T14:27:37Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-01-02T21:00:00Z,2015-01-02T14:57:37Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-01-02T21:30:00Z,2015-01-02T15:27:37Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-01-02T22:00:00Z,2015-01-02T15:57:37Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-01-02T22:30:00Z,2015-01-02T16:27:37Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-01-02T23:00:00Z,2015-01-02T16:57:37Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-01-02T23:30:00Z,2015-01-02T17:27:37Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-01-03T00:00:00Z,2015-01-02T17:57:37Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-01-03T00:30:00Z,2015-01-02T18:27:37Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-01-03T01:00:00Z,2015-01-02T18:57:37Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-01-03T01:30:00Z,2015-01-02T19:27:37Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-01-03T02:00:00Z,2015-01-02T19:57:37Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-01-03T02:30:00Z,2015-01-02T20:27:37Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-01-03T03:00:00Z,2015-01-02T20:57:37Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
