TIMESTAMP,solar_TIMESTAMP,USA_SIL_OAK_1PR_Qmo_Js_1,USA_SIL_OAK_1PR_Qmo_Js_2,USA_SIL_OAK_1PR_Qmo_Js_3,USA_SIL_OAK_1PR_Qmo_Js_4,USA_SIL_OAK_1PR_Qmo_Js_5,USA_SIL_OAK_1PR_Qmo_Js_6,USA_SIL_OAK_1PR_Qmo_Js_7,USA_SIL_OAK_1PR_Qve_Js_8,USA_SIL_OAK_1PR_Qve_Js_9,USA_SIL_OAK_1PR_Qco_Js_10,USA_SIL_OAK_1PR_Pri_Js_11,USA_SIL_OAK_1PR_Qve_Js_12,USA_SIL_OAK_1PR_Qve_Js_13,USA_SIL_OAK_1PR_Qve_Js_14,USA_SIL_OAK_1PR_Qve_Js_15,USA_SIL_OAK_1PR_Qve_Js_16,USA_SIL_OAK_1PR_Qve_Js_17,USA_SIL_OAK_1PR_Qco_Js_18
2005-01-02T00:00:00Z,2005-01-01T18:57:02Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2005-01-02T00:30:00Z,2005-01-01T19:27:02Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2005-01-02T01:00:00Z,2005-01-01T19:57:02Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2005-01-02T01:30:00Z,2005-01-01T20:27:02Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2005-01-02T02:00:00Z,2005-01-01T20:57:02Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2005-01-02T02:30:00Z,2005-01-01T21:27:02Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2005-01-02T03:00:00Z,2005-01-01T21:57:02Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2005-01-02T03:30:00Z,2005-01-01T22:27:02Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2005-01-02T04:00:00Z,2005-01-01T22:57:02Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2005-01-02T04:30:00Z,2005-01-01T23:27:02Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
