TIMESTAMP,solar_TIMESTAMP,ESP_TIL_OAK_Qil_Js_1,ESP_TIL_OAK_Qil_Js_2,ESP_TIL_OAK_Qil_Js_3,ESP_TIL_OAK_Qil_Js_4,ESP_TIL_OAK_Qil_Js_5,ESP_TIL_OAK_Qil_Js_6,ESP_TIL_OAK_Qil_Js_7,ESP_TIL_OAK_Qil_Js_8,ESP_TIL_OAK_Qil_Js_9,ESP_TIL_OAK_Qil_Js_10
2010-05-05T07:30:00Z,2010-05-05T07:37:14Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010-05-05T07:45:00Z,2010-05-05T07:52:14Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010-05-05T08:00:00Z,2010-05-05T08:07:14Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010-05-05T08:15:00Z,2010-05-05T08:22:14Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010-05-05T08:30:00Z,2010-05-05T08:37:14Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010-05-05T08:45:00Z,2010-05-05T08:52:14Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010-05-05T09:00:00Z,2010-05-05T09:07:14Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010-05-05T09:15:00Z,2010-05-05T09:22:14Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010-05-05T09:30:00Z,2010-05-05T09:37:14Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010-05-05T09:45:00Z,2010-05-05T09:52:14Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010-05-05T10:00:00Z,2010-05-05T10:07:14Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010-05-05T10:15:00Z,2010-05-05T10:22:14Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010-05-05T10:30:00Z,2010-05-05T10:37:14Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010-05-05T10:45:00Z,2010-05-05T10:52:14Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010-05-05T11:00:00Z,2010-05-05T11:07:14Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010-05-05T11:15:00Z,2010-05-05T11:22:14Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010-05-05T11:30:00Z,2010-05-05T11:37:14Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010-05-05T11:45:00Z,2010-05-05T11:52:14Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010-05-05T12:00:00Z,2010-05-05T12:07:14Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010-05-05T12:15:00Z,2010-05-05T12:22:14Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
