TIMESTAMP,solar_TIMESTAMP,ESP_SAN_B_100_Oeu_Jt_1,ESP_SAN_B_100_Oeu_Jt_2,ESP_SAN_B_100_Oeu_Jt_3
2014-10-27T00:37:00Z,2014-10-27T00:30:03Z,1.1959556392931396,1.3700485957446809,1.1684244444444443
2014-10-27T01:07:00Z,2014-10-27T01:00:03Z,1.2619036122661123,1.2137442553191489,1.1684244444444443
2014-10-27T01:37:00Z,2014-10-27T01:30:03Z,1.2000649948024948,1.2414207375886526,1.1684244444444443
2014-10-27T02:07:00Z,2014-10-27T02:00:03Z,1.198444022869023,1.3284378723404255,1.1684244444444443
2014-10-27T02:37:00Z,2014-10-27T02:30:03Z,1.317756522869023,1.3173349503546101,1.1684244444444443
2014-10-27T03:07:00Z,2014-10-27T03:00:03Z,1.1958389033264034,1.302177219858156,1.1684244444444443
2014-10-27T03:37:00Z,2014-10-27T03:30:03Z,1.230685369022869,1.2041514326241134,1.1684244444444443
2014-10-27T04:07:00Z,2014-10-27T04:00:03Z,1.2550162941787943,1.438483914893617,1.1684244444444443
2014-10-27T04:37:00Z,2014-10-27T04:30:03Z,1.3038512474012476,1.2554784964539005,1.1684244444444443
2014-10-27T05:07:00Z,2014-10-27T05:00:03Z,1.1958389033264034,1.1798639432624114,1.1684244444444443
2014-10-27T05:37:00Z,2014-10-27T05:30:03Z,1.2012527806652809,1.1640084822695034,1.1684244444444443
2014-10-27T06:07:00Z,2014-10-27T06:00:03Z,1.2540710498960501,1.2502038014184396,1.1684244444444443
2014-10-27T06:37:00Z,2014-10-27T06:30:03Z,1.1958389033264034,1.248266865248227,1.1684244444444443
2014-10-27T07:07:00Z,2014-10-27T07:00:03Z,1.1987561330561332,1.3284648794326241,1.1684244444444443
2014-10-27T07:37:00Z,2014-10-27T07:30:03Z,1.2238321725571726,2.758118070921986,1.4606592831541219
2014-10-27T08:07:00Z,2014-10-27T08:00:03Z,2.000071725571726,3.499550014184397,2.102748506571087
2014-10-27T08:37:00Z,2014-10-27T08:30:03Z,3.107456262993763,5.348921758865249,1.8109059737156508
