TIMESTAMP,TIMESTAMP_solar,USA_PAR_FER_Pta_Jt_1,USA_PAR_FER_Pta_Jt_2,USA_PAR_FER_Pta_Jt_3,USA_PAR_FER_Pta_Jt_4,USA_PAR_FER_Pta_Jt_5,USA_PAR_FER_Pta_Jt_6,USA_PAR_FER_Pta_Jt_7,USA_PAR_FER_Pta_Jt_8
2007-01-03T09:00:00Z,2007-01-03T03:47:55Z,NA,NA,NA,NA,NA,NA,NA,NA
2007-01-03T09:30:00Z,2007-01-03T04:17:55Z,NA,NA,NA,NA,NA,NA,NA,NA
2007-01-03T10:00:00Z,2007-01-03T04:47:55Z,NA,NA,NA,NA,NA,NA,NA,NA
2007-01-03T10:30:00Z,2007-01-03T05:17:55Z,NA,NA,NA,NA,NA,NA,NA,NA
2007-01-03T11:00:00Z,2007-01-03T05:47:55Z,NA,NA,NA,NA,NA,NA,NA,NA
2007-01-03T11:30:00Z,2007-01-03T06:17:55Z,NA,NA,NA,NA,NA,NA,NA,NA
2007-01-03T12:00:00Z,2007-01-03T06:47:55Z,NA,NA,NA,NA,NA,NA,NA,NA
2007-01-03T12:30:00Z,2007-01-03T07:17:55Z,NA,NA,NA,NA,NA,NA,NA,NA
2007-01-03T13:00:00Z,2007-01-03T07:47:55Z,NA,NA,NA,NA,NA,NA,NA,NA
2007-01-03T13:30:00Z,2007-01-03T08:17:55Z,NA,NA,NA,NA,NA,NA,NA,NA
2007-01-03T14:00:00Z,2007-01-03T08:47:55Z,NA,NA,NA,NA,NA,NA,NA,NA
2007-01-03T14:30:00Z,2007-01-03T09:17:55Z,NA,NA,NA,NA,NA,NA,NA,NA
2007-01-03T15:00:00Z,2007-01-03T09:47:55Z,NA,NA,NA,NA,NA,NA,NA,NA
2007-01-03T15:30:00Z,2007-01-03T10:17:55Z,NA,NA,NA,NA,NA,NA,NA,NA
2007-01-03T16:00:00Z,2007-01-03T10:47:55Z,NA,NA,NA,NA,NA,NA,NA,NA
2007-01-03T16:30:00Z,2007-01-03T11:17:55Z,NA,NA,NA,NA,NA,NA,NA,NA
2007-01-03T17:00:00Z,2007-01-03T11:47:55Z,NA,NA,NA,NA,NA,NA,NA,NA
2007-01-03T17:30:00Z,2007-01-03T12:17:55Z,NA,NA,NA,NA,NA,NA,NA,NA
2007-01-03T18:00:00Z,2007-01-03T12:47:55Z,NA,NA,NA,NA,NA,NA,NA,NA
2007-01-03T18:30:00Z,2007-01-03T13:17:55Z,NA,NA,NA,NA,NA,NA,NA,NA
2007-01-03T19:00:00Z,2007-01-03T13:47:55Z,NA,NA,NA,NA,NA,NA,NA,NA
2007-01-03T19:30:00Z,2007-01-03T14:17:55Z,NA,NA,NA,NA,NA,NA,NA,NA
2007-01-03T20:00:00Z,2007-01-03T14:47:55Z,NA,NA,NA,NA,NA,NA,NA,NA
2007-01-03T20:30:00Z,2007-01-03T15:17:55Z,NA,NA,NA,NA,NA,NA,NA,NA
2007-01-03T21:00:00Z,2007-01-03T15:47:55Z,NA,NA,NA,NA,NA,NA,NA,NA
2007-01-03T21:30:00Z,2007-01-03T16:17:55Z,NA,NA,NA,NA,NA,NA,NA,NA
2007-01-03T22:00:00Z,2007-01-03T16:47:55Z,NA,NA,NA,NA,NA,NA,NA,NA
2007-01-03T22:30:00Z,2007-01-03T17:17:55Z,NA,NA,NA,NA,NA,NA,NA,NA
2007-01-03T23:00:00Z,2007-01-03T17:47:55Z,NA,NA,NA,NA,NA,NA,NA,NA
2007-01-03T23:30:00Z,2007-01-03T18:17:55Z,NA,NA,NA,NA,NA,NA,NA,NA
2007-01-04T00:00:00Z,2007-01-03T18:47:55Z,NA,NA,NA,NA,NA,NA,NA,NA
2007-01-04T00:30:00Z,2007-01-03T19:17:55Z,NA,NA,NA,NA,NA,NA,NA,NA
2007-01-04T01:00:00Z,2007-01-03T19:47:55Z,NA,NA,NA,NA,NA,NA,NA,NA
2007-01-04T01:30:00Z,2007-01-03T20:17:55Z,NA,NA,NA,NA,NA,NA,NA,NA
2007-01-04T02:00:00Z,2007-01-03T20:47:55Z,NA,NA,NA,NA,NA,NA,NA,NA
2007-01-04T02:30:00Z,2007-01-03T21:17:55Z,NA,NA,NA,NA,NA,NA,NA,NA
2007-01-04T03:00:00Z,2007-01-03T21:47:55Z,NA,NA,NA,NA,NA,NA,NA,NA
2007-01-04T03:30:00Z,2007-01-03T22:17:55Z,NA,NA,NA,NA,NA,NA,NA,NA
2007-01-04T04:00:00Z,2007-01-03T22:47:55Z,NA,NA,NA,NA,NA,NA,NA,NA
2007-01-04T04:30:00Z,2007-01-03T23:17:55Z,NA,NA,NA,NA,NA,NA,NA,NA
2007-01-04T05:00:00Z,2007-01-03T23:47:55Z,NA,NA,NA,NA,NA,NA,NA,NA
