TIMESTAMP,solar_TIMESTAMP,USA_HIL_HF1_PRE_Pta_Js_1,USA_HIL_HF1_PRE_Pta_Js_2,USA_HIL_HF1_PRE_Pta_Js_3,USA_HIL_HF1_PRE_Pta_Js_4,USA_HIL_HF1_PRE_Pta_Js_5,USA_HIL_HF1_PRE_Lst_Js_6,USA_HIL_HF1_PRE_Lst_Js_7,USA_HIL_HF1_PRE_Lst_Js_8,USA_HIL_HF1_PRE_Lst_Js_9,USA_HIL_HF1_PRE_Lst_Js_10,USA_HIL_HF1_PRE_Aru_Js_11,USA_HIL_HF1_PRE_Aru_Js_12,USA_HIL_HF1_PRE_Aru_Js_13,USA_HIL_HF1_PRE_Aru_Js_14,USA_HIL_HF1_PRE_Aru_Js_15,USA_HIL_HF1_PRE_Qal_Js_16,USA_HIL_HF1_PRE_Qal_Js_17,USA_HIL_HF1_PRE_Qal_Js_18,USA_HIL_HF1_PRE_Qal_Js_19,USA_HIL_HF1_PRE_Qal_Js_20,USA_HIL_HF1_PRE_Ltu_Js_21,USA_HIL_HF1_PRE_Ltu_Js_22,USA_HIL_HF1_PRE_Ltu_Js_23,USA_HIL_HF1_PRE_Ltu_Js_24,USA_HIL_HF1_PRE_Ltu_Js_25
2010-06-17T20:40:00Z,2010-06-17T15:23:10Z,13.347299922267384,13.615739312731165,10.2367906619337,13.116521491350731,12.52976745840354,2.0254263865929,4.946673343001688,3.131166127174848,8.20864369783404,NA,10.596370689144575,10.000899927603575,8.567939399660892,12.218464924042896,16.54923774082781,2.8697609802710016,NA,0.9962186064600167,NA,NA,8.213061502421963,8.036978907301847,7.212246401744819,8.300217127855067,9.018706079148588
2010-06-17T20:50:00Z,2010-06-17T15:33:10Z,12.616878459388786,12.867402189133909,9.7055078076639,12.401411040550439,11.8532034057069,1.71423300298608,4.156642037119212,2.4291048057973703,7.574875830614124,NA,9.74206028883589,9.065377576757736,7.901922187939968,11.20619816843616,15.08474880535248,2.6895808573393607,NA,0.8509651333510104,NA,NA,7.132706227480644,7.1369802840421075,6.699757662215459,7.697738497816943,8.355185194318128
2010-06-17T21:00:00Z,2010-06-17T15:43:10Z,12.202673686668144,12.443189448267574,9.40294473594624,11.995763737510186,11.469118713771744,1.4885711087567723,3.9185170961139715,2.093936308344446,7.161844595684616,NA,9.188396595590293,8.559470781275689,7.468246400385888,10.552547854165823,14.147794166772815,2.55047014269333,NA,0.7574494746664907,NA,NA,6.78765437262396,6.99745025379168,6.769350025788275,7.779445278692327,8.44509532834692
2010-06-17T21:10:00Z,2010-06-17T15:53:10Z,11.969819351134273,12.2047573967712,9.232438980284748,11.767680145069667,11.253062098357884,1.3077118939833647,3.5502269584556876,1.8810204975686269,6.6746967946898765,NA,8.538537234808333,7.849857046625676,6.95713183517934,9.787739941776348,13.06018747429506,2.4034654882019737,NA,0.6891226703364204,NA,NA,6.34047082175232,6.574681729892664,6.6132548794243435,7.596224013052187,8.2435116228858
2010-06-17T21:20:00Z,2010-06-17T16:03:10Z,11.287593153086075,11.506391579729268,8.731151634359518,11.099264406899543,10.619486823652668,1.1678398230439944,3.148824449713219,1.6707587234378038,6.1675101667618915,NA,7.865596041292368,7.165298018515284,6.425437449024864,8.998534040545692,11.947717913533811,2.259373347525391,NA,0.666701157950658,NA,NA,5.801699593197755,5.975816007658644,6.1470645680836435,7.050020626389672,7.64327679599718
2010-06-17T21:30:00Z,2010-06-17T16:13:10Z,10.09809348138918,10.28948062322394,7.850829263820011,9.933240980973634,9.512774846470656,1.0323584117945352,2.74277604404205,1.4594247630492336,5.556554775139464,NA,7.0599536478872995,6.524102606104259,5.785571477979359,8.057442716660088,10.634243972142889,2.0932969464494997,NA,0.6005272452629904,NA,NA,5.234269595017392,5.375435956718579,5.57669013852438,6.383809651349088,6.912614928105827
2010-06-17T21:40:00Z,2010-06-17T16:23:10Z,9.081954681999155,9.250671399998328,7.0922863114079755,8.936538919361244,8.565265423725227,0.8693849004155532,2.4525475129659853,1.1380685091675946,5.044983483368339,NA,6.389588263097736,5.994852499762487,5.250314762435304,7.277519645568936,9.556553140926336,1.8830030800922712,NA,0.5149285267191588,NA,NA,4.78913665411998,4.969318475547396,5.14611274621356,5.882402279230451,6.36376656739392
2010-06-17T21:50:00Z,2010-06-17T16:33:10Z,8.453077814811312,8.60811436921626,6.619733857316735,8.319400484806296,7.977876076446911,0.7443210458366101,2.132125327943507,0.9453312378993491,4.59486904383666,NA,5.802971323802148,5.394995400822012,4.779760800176604,6.597409892368392,8.624851531757317,1.702958957276929,NA,0.4325058771841908,NA,NA,4.407585761149488,4.304201969881656,4.301362507586652,4.902546419321004,5.293894923076284
2010-06-17T22:00:00Z,2010-06-17T16:43:10Z,7.666614803536739,7.804926358015392,6.025343014964592,7.547298863090903,7.242214196231603,0.653771463249654,1.845945583554211,0.8098490648710295,4.200963049238472,NA,5.2921029587969155,4.9375859160207956,4.3682803535125805,6.006953485116323,7.822104711311268,1.5556068916934183,NA,0.3729104461932012,NA,NA,4.084439343241752,3.745419420344076,3.4729025226355477,3.946659422878008,4.253715579616416
2010-06-17T22:10:00Z,2010-06-17T16:53:10Z,7.1350931349723234,7.262345966102496,5.621426030240424,7.0252795607202,6.744332890064988,0.5661425695352976,1.6055512568755956,0.6692336469977256,3.8213551058669277,NA,4.802004345963996,4.471318002649068,3.9720165624024117,5.442127508051244,7.059580657103555,1.4122045482486516,NA,0.3153562977801096,NA,NA,3.771144372746628,3.2716935117037838,2.754686981804648,3.1221680369888523,3.359410044151183
2010-06-17T22:20:00Z,2010-06-17T17:03:10Z,6.497204740771788,6.611450492612484,5.134272310675548,6.398574587232264,6.146065206647028,0.4815906403639356,1.4023683076497946,0.5454650867293548,3.4200443770600533,NA,4.286289917611368,3.989075828826024,3.5534025540915914,4.84952343391728,6.265257942628943,1.2728146868581032,NA,0.24207580238162651,NA,NA,3.3826223577023677,2.8697057054453485,2.2522792932417417,2.547813555464652,2.7380638734597538
2010-06-17T22:30:00Z,2010-06-17T17:13:10Z,5.887822201509456,5.989916123471953,4.66637806957032,5.799647162668104,5.573752797384648,0.400315335883542,1.1855307290213843,0.4027376143809,3.06980978847566,NA,3.8382576160457877,3.6152298286197837,3.1883277295620753,4.33616700276126,5.581926988444439,1.1250462634342129,NA,0.17324424601180957,NA,NA,3.0506103719938618,2.486538589413564,1.654037483077224,1.8665768014934905,2.0029140981240623
2010-06-17T22:40:00Z,2010-06-17T17:23:10Z,5.155418560086864,5.243268680771148,4.100686545309731,5.0795076101229,4.8848717165073845,0.3480781725926737,1.0119713490654803,0.30548888824673986,2.7333455537155538,NA,3.4096625534661986,3.2555215274575677,2.8378402737690243,3.846387339257364,4.934155337906724,1.0185227517313655,NA,0.12502394481686327,NA,NA,2.770313951457414,2.1221519795222363,1.3064863102367004,1.472201221506768,1.578272049999691
