TIMESTAMP,TIMESTAMP_solar,USA_WVF_Aru_Js_1,USA_WVF_Aru_Js_2,USA_WVF_Asa_Js_3,USA_WVF_Pse_Js_4,USA_WVF_Qal_Js_5,USA_WVF_Qal_Js_6,USA_WVF_Qru_Js_7,USA_WVF_Qru_Js_8
1998-03-28T09:00:00Z,1998-03-28T03:36:25Z,NA,NA,NA,NA,NA,NA,NA,NA
1998-03-28T10:00:00Z,1998-03-28T04:36:25Z,NA,NA,NA,NA,NA,NA,NA,NA
1998-03-28T11:00:00Z,1998-03-28T05:36:25Z,NA,NA,NA,NA,NA,NA,NA,NA
1998-03-28T12:00:00Z,1998-03-28T06:36:25Z,NA,NA,NA,NA,NA,NA,NA,NA
1998-03-28T13:00:00Z,1998-03-28T07:36:25Z,NA,NA,NA,NA,NA,NA,NA,NA
1998-03-28T14:00:00Z,1998-03-28T08:36:25Z,NA,NA,NA,NA,NA,NA,NA,NA
1998-03-28T15:00:00Z,1998-03-28T09:36:25Z,NA,NA,NA,NA,NA,NA,NA,NA
1998-03-28T16:00:00Z,1998-03-28T10:36:25Z,NA,NA,NA,NA,NA,NA,NA,NA
1998-03-28T17:00:00Z,1998-03-28T11:36:25Z,NA,NA,NA,NA,NA,NA,NA,NA
1998-03-28T18:00:00Z,1998-03-28T12:36:25Z,NA,NA,NA,NA,NA,NA,NA,NA
1998-03-28T19:00:00Z,1998-03-28T13:36:25Z,NA,NA,NA,NA,NA,NA,NA,NA
1998-03-28T20:00:00Z,1998-03-28T14:36:25Z,NA,NA,NA,NA,NA,NA,NA,NA
1998-03-28T21:00:00Z,1998-03-28T15:36:25Z,NA,NA,NA,NA,NA,NA,NA,NA
1998-03-28T22:00:00Z,1998-03-28T16:36:25Z,NA,NA,NA,NA,NA,NA,NA,NA
1998-03-28T23:00:00Z,1998-03-28T17:36:25Z,NA,NA,NA,NA,NA,NA,NA,NA
1998-03-29T00:00:00Z,1998-03-28T18:36:25Z,NA,NA,NA,NA,NA,NA,NA,NA
1998-03-29T01:00:00Z,1998-03-28T19:36:25Z,NA,NA,NA,NA,NA,NA,NA,NA
