TIMESTAMP,solar_TIMESTAMP,SEN_SOU_IRR_Ato_Js_1,SEN_SOU_IRR_Ato_Js_2,SEN_SOU_IRR_Ato_Js_3
1998-09-13T10:00:00Z,1998-09-13T09:03:57Z,2647.7210038309254,3447.930149538701,4074.165630393025
1998-09-13T11:00:00Z,1998-09-13T10:03:57Z,2726.504301713253,3547.666394150944,4436.280048092309
1998-09-13T12:00:00Z,1998-09-13T11:03:57Z,2682.893103481361,3631.416268770254,4777.382909528367
1998-09-13T13:00:00Z,1998-09-13T12:03:57Z,2671.183134439957,3739.539317378122,4805.417743645868
1998-09-13T14:00:00Z,1998-09-13T13:03:57Z,2653.384858832308,3811.3332614830924,4946.7293185231865
1998-09-13T15:00:00Z,1998-09-13T14:03:57Z,2592.3150148334216,3667.899282028713,4927.157220345404
1998-09-13T16:00:00Z,1998-09-13T15:03:57Z,2509.362358422288,3661.3148447534095,4942.836140596433
1998-09-13T17:00:00Z,1998-09-13T16:03:57Z,2274.1753932060924,3198.975834756585,4767.937222057284
1998-09-13T18:00:00Z,1998-09-13T17:03:57Z,1554.5880222171563,2557.802878337926,3960.9434300347334
1998-09-13T19:00:00Z,1998-09-13T18:03:57Z,789.3399561111681,796.321436462424,1946.137490570834
1998-09-13T20:00:00Z,1998-09-13T19:03:57Z,544.3235295814032,291.6404641177669,1193.3498074158579
1998-09-13T21:00:00Z,1998-09-13T20:03:57Z,523.611610543403,269.2245280732744,1008.435073163269
1998-09-13T22:00:00Z,1998-09-13T21:03:57Z,482.2548543630836,255.04604946392945,885.5965533782805
1998-09-13T23:00:00Z,1998-09-13T22:03:57Z,292.17605863683286,198.95613830678133,759.7024066235315
1998-09-13T23:59:59Z,1998-09-13T23:03:56Z,179.32168938620345,125.65799899738856,311.7348335151272
1998-09-14T01:00:00Z,1998-09-14T00:03:57Z,174.77148544667193,64.26415234333066,202.85452630525907
1998-09-14T02:00:00Z,1998-09-14T01:04:19Z,127.64987423489579,56.1928841886002,156.95295602575422
1998-09-14T03:00:00Z,1998-09-14T02:04:19Z,106.45840167747397,191.5674396503235,22.42991942038564
1998-09-14T04:00:00Z,1998-09-14T03:04:19Z,151.36598285671357,102.63599063274782,173.85104913926722
