TIMESTAMP,solar_TIMESTAMP,SEN_SOU_POS_Ato_Js_1,SEN_SOU_POS_Ato_Js_2,SEN_SOU_POS_Ato_Js_3
1999-01-13T07:00:00Z,1999-01-13T05:49:06Z,0.8572716904723543,1.4658031876397184,1.636747150109774
1999-01-13T08:00:00Z,1999-01-13T06:49:06Z,1.8768788866661956,1.5468211533833016,0.25112098645680414
1999-01-13T09:00:00Z,1999-01-13T07:49:06Z,7.038601572637214,5.6471382532863545,3.7622445718534014
1999-01-13T10:00:00Z,1999-01-13T08:49:06Z,11.014141649954032,9.00762013125605,16.000962016143642
1999-01-13T11:00:00Z,1999-01-13T09:49:06Z,12.891946382763724,13.139714012708033,15.785269254948194
1999-01-13T12:00:00Z,1999-01-13T10:49:06Z,14.190156425982936,11.991136322450046,15.34326037342245
1999-01-13T13:00:00Z,1999-01-13T11:49:06Z,14.316571266530078,12.80337337894865,15.094491878751109
1999-01-13T14:00:00Z,1999-01-13T12:49:06Z,14.075131408190654,12.646995370356187,15.521752619154052
1999-01-13T15:00:00Z,1999-01-13T13:49:06Z,13.288364165015164,12.45891815235294,14.510595173735279
1999-01-13T16:00:00Z,1999-01-13T14:49:06Z,12.4634604637761,11.192595309052432,14.911535861679592
1999-01-13T17:00:00Z,1999-01-13T15:49:06Z,10.372699764761448,9.3086627950201,13.13683486761424
1999-01-13T18:00:00Z,1999-01-13T16:49:06Z,6.492493259979163,5.914046109212013,10.40531600796674
1999-01-13T19:00:00Z,1999-01-13T17:49:06Z,3.7173245499480885,2.1944385633497885,5.625984002408336
1999-01-13T20:00:00Z,1999-01-13T18:49:06Z,2.997756220470231,1.240670639673838,3.804926977525858
1999-01-13T21:00:00Z,1999-01-13T19:49:06Z,2.5138974397831975,1.639497903248806,3.3311535322775803
1999-01-13T22:00:00Z,1999-01-13T20:49:06Z,2.3783168740302294,1.4236695174209102,2.5893800524052297
1999-01-13T23:00:00Z,1999-01-13T21:49:06Z,2.2616456821400495,1.5585112513190795,2.3231267213506848
1999-01-13T23:59:59Z,1999-01-13T22:49:05Z,1.5293394342465871,1.1307106693202031,1.13660250371433
1999-01-14T01:00:00Z,1999-01-13T23:49:06Z,0.9438118149045978,0.7289922914516754,0.7924684524165916
1999-01-14T02:00:00Z,1999-01-14T00:48:47Z,1.132323570947619,0.99142574876216,0.1135456099153786
1999-01-14T03:00:00Z,1999-01-14T01:48:47Z,1.2060269497903628,1.1822082110713263,1.0779825665579987
1999-01-14T04:00:00Z,1999-01-14T02:48:47Z,1.6344930478174833,1.1975211988725045,0.43603936545475647
1999-01-14T05:00:00Z,1999-01-14T03:48:47Z,2.0008976235517397,1.130710669320233,0.6763433988213264
1999-01-14T06:00:00Z,1999-01-14T04:48:47Z,2.087852375739031,1.379125368714368,0.48216544668771016
1999-01-14T07:00:00Z,1999-01-14T05:48:47Z,2.123198304217541,1.3957007601345568,1.2050178418483508
1999-01-14T08:00:00Z,1999-01-14T06:48:47Z,3.380765904239182,1.4781966692919657,0.8969447346478991
1999-01-14T09:00:00Z,1999-01-14T07:48:47Z,7.612901219646554,2.658514043806313,8.244767960245698
1999-01-14T10:00:00Z,1999-01-14T08:48:47Z,10.977623415092747,9.169986764176599,15.921275502974499
1999-01-14T11:00:00Z,1999-01-14T09:48:47Z,12.991526873920296,13.98255998598923,15.754520841258657
1999-01-14T12:00:00Z,1999-01-14T10:48:47Z,13.773949526533455,11.836895087960022,14.579328099068169
1999-01-14T13:00:00Z,1999-01-14T11:48:47Z,13.111788857430541,12.242134382317698,14.523788817762142
1999-01-14T14:00:00Z,1999-01-14T12:48:47Z,13.269664018257663,11.308901602110526,14.364107100935346
1999-01-14T15:00:00Z,1999-01-14T13:48:47Z,12.518105723151127,12.897077666526386,14.551424719424324
