TIMESTAMP,GBR_GUI_ST3_Psy_Js_1,GBR_GUI_ST3_Psy_Js_2,GBR_GUI_ST3_Psy_Js_3,GBR_GUI_ST3_Psy_Js_4,GBR_GUI_ST3_Psy_Js_5,GBR_GUI_ST3_Psy_Js_6,GBR_GUI_ST3_Psy_Js_7,GBR_GUI_ST3_Psy_Js_8,interpolated
2003-07-03 22:30:00+00:00,1.2040154973119033,0.2873208096363562,0.11481735453853335,0.6463715190345648,0.8934644082988565,1.6949877876021582,0.8377049902797649,0.2762298940299251,False
2003-07-03 23:00:00+00:00,0.9076208562901926,0.17340760511998393,0.05203458406762275,0.3462903208023606,0.5332657261367034,1.2545127795737214,0.7603944721192603,0.0397520174726339,False
2003-07-03 23:30:00+00:00,0.6115034420068248,0.12240829522630259,0.00843092226624255,0.15975689154482425,0.4106156410284048,0.9053316436780332,0.5578445150181787,0.0159513755014839,False
2003-07-04 00:00:00+00:00,0.5189521600273752,0.11020740086555761,0.09798311756641245,0.323967583468611,0.36242359673225066,0.6867797164739371,0.43435628449973995,0.13442777882935464,False
2003-07-04 00:30:00+00:00,0.3759254395712964,0.08138511692301685,0.07707281887461145,0.31703772604634745,0.24295578865963324,0.5334620447350854,0.31595128409839296,0.14429355902508775,False
2003-07-04 01:00:00+00:00,0.3294876386773235,0.08327805784831255,0.10502712711650425,0.2604067361182366,0.11880553313350345,0.48775575669208376,0.5134604282069778,0.07352859170040965,False
2003-07-04 01:30:00+00:00,0.3048216380446885,0.0914124508823586,0.05793614213906155,0.13468156529370912,0.05269713920853245,0.26098116369178387,0.34017134850568653,0.060653386689501196,False
2003-07-04 02:00:00+00:00,0.28478189992399,0.07243559422606424,0.08121294690440081,0.05370782318194605,0.1535500064383808,0.17502938022999665,0.3713613116660071,0.10601512397721595,False
2003-07-04 02:30:00+00:00,0.2333088967300646,0.04235138745939325,0.0379726367740747,0.030506218531099652,0.08853007943238081,0.19704248459014967,0.3256689048963197,0.11458496977242619,False
2003-07-04 03:00:00+00:00,0.07182043973215124,0.014495635965741249,0.058846673282117255,0.052887459334925,0.05197725369650835,0.17518010106743184,0.2136683520011804,0.0466422553513977,False
2003-07-04 03:30:00+00:00,0.0434757259460336,0.00765634050338505,0.0114475542981257,0.0058961121912643,0.03799094443145385,0.07266089606561979,0.1499772338043019,0.047713270414601106,False
2003-07-04 04:00:00+00:00,0.06481045758552995,0.029055776340546048,0.0218271984366599,0.0073654788558425496,0.00729306609007705,0.013200894036475308,0.13323664645936428,0.1055363808177844,False
2003-07-04 04:30:00+00:00,0.05571158253103235,0.039542217988164804,0.03419870114611635,0.0034451108626121,0.0728449685672567,0.04555267185918485,0.0685272075456263,0.09394228895564641,False
2003-07-04 05:00:00+00:00,0.04723799221502225,0.03001307351477005,0.07504506183528051,0.0222752686997573,0.1010885346010445,0.03162426020952655,0.0678837469885151,0.2541681823924594,False
2003-07-04 05:30:00+00:00,0.00279911224264735,0.00350620680649292,0.0942951605196229,0.0421534265100345,0.05416495263753225,0.0112258049484291,0.01616909902438895,0.18690149011142404,False
2003-07-04 06:00:00+00:00,0.025349263505124252,0.00249307330726275,0.11686962347585025,0.016144669201174,0.103513043419646,0.034167475266389594,0.0532827939888532,0.16449006817146056,False
2003-07-04 06:30:00+00:00,0.0158752297666215,0.01193327085397305,0.14533067728514534,0.0451866445245212,0.1641407739998364,0.01538993353722065,0.07466342263387735,0.2724533106255175,False
2003-07-04 07:00:00+00:00,0.09919836252943934,0.02156532475528065,0.17010467478373964,0.07112260854900575,0.15773702026519545,0.2311356292192231,0.09305895249577995,0.27996017829399467,False
2003-07-04 07:30:00+00:00,0.3259696207865841,0.043285947682586146,0.22377560518794415,0.16983375704806675,0.23609938884495746,0.6612151916588076,0.2334193202954219,0.3495110885353335,False
2003-07-04 08:00:00+00:00,0.6768510850029924,0.1050319034836909,0.2885099990909648,0.40518664974077134,0.39818157900907786,1.300167895403187,0.4057656307776625,0.5111572642891938,False
2003-07-04 08:30:00+00:00,1.4242470928070254,0.28642581902480235,0.4338557533754352,1.0138555453066416,0.6041362890655261,2.2862683519256306,1.054040462403932,0.769135801467645,False
2003-07-04 09:00:00+00:00,2.1485737254115493,0.5801901742191492,0.680694214675059,2.2026577707697266,1.1921930615982257,3.129767485198971,1.9940027868193715,1.182913695218189,False
