TIMESTAMP,GBR_ABE_PLO_Psi_Jt_1,GBR_ABE_PLO_Psi_Jt_2,GBR_ABE_PLO_Psi_Jt_3,GBR_ABE_PLO_Psi_Jt_4,GBR_ABE_PLO_Psi_Jt_5,GBR_ABE_PLO_Psi_Jt_6,GBR_ABE_PLO_Psi_Jt_7,GBR_ABE_PLO_Psi_Jt_8,GBR_ABE_PLO_Psi_Jt_9,GBR_ABE_PLO_Psi_Jt_10,GBR_ABE_PLO_Psi_Jt_11,GBR_ABE_PLO_Psi_Jt_12,GBR_ABE_PLO_Psi_Jt_13,GBR_ABE_PLO_Psi_Jt_14,GBR_ABE_PLO_Psi_Jt_15,interpolated
2001-07-04 07:00:00+00:00,0.0548608960044348,0.0291122528130656,0.0036612003853067,0.0401640050547032,0.0599104098114629,0.0791048555599504,0.0432159476808628,0.0139130568627099,0.0976846898951504,0.0,0.0,0.0,0.0,0.0,0.0,False
2001-07-04 07:30:00+00:00,0.072286423716543,0.0364546397316027,0.0085931739425143,0.0401640050547032,0.0682445172328002,0.0880996331415391,0.0509628709516262,0.0261105580952395,0.1058169352991141,0.0,0.0,0.0,0.0,0.0,0.0,False
2001-07-04 08:00:00+00:00,0.0813330864825377,0.0440942110986019,0.0141582373960911,0.0401640050547032,0.0767829301786482,0.0972798018872205,0.0509628709516262,0.0261105580952395,0.1140757259219014,0.0,0.0,0.0,0.0,0.0,0.0,False
2001-07-04 08:30:00+00:00,0.1000230503879471,0.0519991252811113,0.0402416046631128,0.0401640050547032,0.0855123172717395,0.1161575526068833,0.0509628709516262,0.0395433789854501,0.1309529518859592,0.0,0.0,0.0,0.0,0.0,0.0,False
2001-07-04 09:00:00+00:00,0.1395066731943134,0.0858474240944019,0.1032553410523501,0.0503035903704125,0.1035003475386089,0.135672199132931,0.0671449169692026,0.0691127206507778,0.1933948564916795,0.0,0.0,0.0,0.0,0.0,0.0,False
2001-07-04 09:30:00+00:00,0.1707285820563082,0.0947915848430969,0.138435713767476,0.0401640050547032,0.1127407944082715,0.135672199132931,0.0671449169692026,0.0931462028411842,0.2027028276544551,0.0,0.0,0.0,0.0,0.0,0.0,False
2001-07-04 10:00:00+00:00,0.2142381870379917,0.1226149230335892,0.2044843900424707,0.0503035903704125,0.1221352681245352,0.135672199132931,0.0755451058171332,0.1184850832193605,0.2408114757434006,0.0,0.0,0.0,0.0,0.0,0.0,False
2001-07-04 10:30:00+00:00,0.259681999060854,0.1419163902698884,0.2753488879853473,0.0608573206258609,0.1413606349350957,0.135672199132931,0.0755451058171332,0.1360196424656269,0.2505486420711032,0.0,0.0,0.0,0.0,0.0,0.0,False
2001-07-04 11:00:00+00:00,0.2949269310579515,0.1517750362702025,0.3177384753257475,0.0608573206258609,0.1413606349350957,0.1258387648407035,0.0671449169692026,0.144965074913519,0.231156588720315,0.0,0.0,0.0,0.0,0.0,0.0,False
2001-07-04 11:30:00+00:00,0.3189436273172479,0.1617657238559056,0.3503642336495626,0.0608573206258609,0.1316771766361599,0.135672199132931,0.0671449169692026,0.144965074913519,0.2027028276544551,0.0,0.0,0.0,0.0,0.0,0.0,False
