Site,Latitude,Longitude,Biome,MAP,MAT,Functional Type,Average Wind Speed,Average Sap Flux,Updated Avg Sap Flux,Diff,K-Means Label,Updated K-Means Label
USA_TNO,35.966,-84.281866,Temperate forest,1497.082446,14.61341658,0,1.9825,1871.260704,3072.752378,64%,2,2
USA_SIL_OAK_1PR,39.91563056,-74.59555556,Temperate forest,1180.33986,12.9,2,3.49,858.6496831,1401.250703,63%,0,0
ITA_MAT_S21,46.74,10.69086111,Boreal forest,677.5953325,0.833941203,2,3.361666667,1120.860496,1769.756572,58%,0,0
USA_WVF,39.058867,-79.690668,Temperate forest,1408.356042,9.395548418,0,3.289166667,679.6341366,1070.297184,57%,0,0
ITA_TOR,45.82376,7.56089,Temperate forest,754.6507373,2.126712687,0,2.789166667,323.2793588,506.5235157,57%,0,0
ESP_ALT_TRI,40.8044,-2.2328,Woodland/Shrubland,566.9561664,11.74345919,1,2.746666667,890.4594321,1375.953882,55%,0,0
GBR_GUI_ST3,57.266667,-4.816667,Temperate forest,1472.954862,6.951691057,1,4.23,1467.46272,2211.596805,51%,0,2
USA_PJS_P08_AMB,34.38638889,-106.5294444,Temperate grassland desert,311.4291563,12.66708765,1,3.925833333,287.0265098,432.0805311,51%,0,0
GBR_GUI_ST1,57.266667,-4.816667,Temperate forest,1472.954862,6.951691057,1,4.23,675.9799392,1008.328369,49%,0,0
CRI_TAM_TOW,10.38694444,-84.62583333,Tropical rain forest,3625.90958,22.97295966,missing,2.895833333,3032.575474,4411.291478,45%,1,1
USA_TNB,36.471197,-84.704072,Temperate forest,1409.433273,13.50867451,0,2.361666667,1963.584429,2829.556184,44%,2,2
GBR_DEV_DRO,56.03333,-3.716667,Woodland/Shrubland,814.9665774,9.4,1,4.59,438.7013845,630.3004052,44%,0,0
USA_PJS_P12_AMB,34.38638889,-106.5294444,Temperate grassland desert,311.4291563,12.66708765,1,3.925833333,240.599746,342.5639297,42%,0,0
ESP_ALT_ARM,40.7769,-2.3283,Woodland/Shrubland,647.8553696,11.53914703,2,2.7075,737.5757505,1049.295836,42%,0,0
GBR_GUI_ST2,57.266667,-4.816667,Temperate forest,1472.954862,6.951691057,1,4.23,2319.353913,3280.665225,41%,2,2
USA_HIL_HF1_PRE,36.2173212,-78.86417865,Temperate forest,1218.786872,15.14047287,2,2.441666667,955.1319857,1350.12117,41%,0,0
USA_UMB_CON,45.55972222,-84.71333333,Temperate forest,821.4662312,6.097363102,2,3.638333333,1056.062118,1490.766959,41%,0,0
USA_ORN_ST1_AMB,35.9,-84.333,Temperate forest,1217.004418,15.1,0,1.966666667,436.2414101,607.3095216,39%,0,0
USA_UMB_GIR,45.5625,-84.6975,Temperate forest,793.8302522,6.101673175,2,3.6225,967.8412559,1339.974046,38%,0,0
CZE_STI,49.03583333,17.97,Temperate forest,823.6945061,7.643341026,0,3.844166667,3898.737745,5391.10522,38%,2,1
ESP_SAN_A_45I,37.249105,-5.797067,Tropical forest savanna,598.126145,18.5,1,2.885,114.5388885,156.3990337,37%,0,0
ESP_TIL_PIN,41.328113,1.006642,Woodland/Shrubland,674.2422357,10.08712006,1,3.600833333,353.7202962,478.5981302,35%,0,0
USA_ORN_ST3_ELE,35.9,-84.333,Temperate forest,1217.004418,15.1,0,1.966666667,464.3175636,626.2301739,35%,0,0
ESP_SAN_B_100,37.249105,-5.797067,Tropical forest savanna,598.126145,18.5,1,2.885,133.1907957,178.2005594,34%,0,0
GBR_DEV_CON,56.03333,-3.716667,Woodland/Shrubland,814.9665774,9.4,1,4.59,696.2413245,930.6141328,34%,0,0
GUF_GUY_ST2,5.281666667,-52.91222222,Tropical rain forest,2815.735174,26.1,1,2.2075,3917.162929,5219.267957,33%,1,1
GUF_GUY_GUY,5.278772,-52.924863,Tropical rain forest,2706.433926,26.1452525,2,2.135833333,4658.079545,6167.766906,32%,1,1
IDN_JAM_RUB,-2.095278,102.783222,Tropical rain forest,2930.830895,26.19580386,0,1.29,1318.651582,1742.411214,32%,1,2
USA_INM,39.323228,-86.413239,Temperate forest,1157.875703,12.02603192,0,3.673333333,2826.711386,3691.315885,31%,2,2
CZE_LAN,48.68166667,16.94638889,Woodland/Shrubland,538.081516,10.4,0,3.206666667,3487.892483,4528.477102,30%,2,1
IDN_JAM_OIL,-2.0708889,102.7918333,Tropical rain forest,2825.819005,26.2,1,1.298333333,3345.871405,4300.541385,29%,1,1
ESP_SAN_A2_45I,37.249105,-5.797067,Tropical forest savanna,598.126145,18.5,1,2.885,165.1332999,210.6746646,28%,0,0
ESP_ALT_HUE,40.7925,-2.2872,Woodland/Shrubland,520.6367408,12.24501899,2,2.729166667,1015.505715,1295.456244,28%,0,0
NLD_LOO,52.16648333,5.743552778,Woodland/Shrubland,869.599605,9.912980807,1,4.015,492.5567233,628.1431084,28%,0,0
ESP_CAN,41.43098889,2.073611111,Woodland/Shrubland,763.3799028,15.37706181,2,2.993333333,498.7228029,634.4939374,27%,0,0
USA_DUK_HAR,36.978175,-79.09419083,Temperate forest,1189.045945,14.5919595,0,2.413333333,2004.697359,2540.748238,27%,2,2
ISR_YAT_YAT,31.34499931,35.05149841,Subtropical desert,378.8919147,17.4386778,1,2.900833333,944.4630284,1192.941994,26%,0,0
USA_PAR_FER,35.80311111,-76.66791667,Temperate forest,1284.438072,16.6,1,2.876666667,1213.104646,1499.605572,24%,0,0
DEU_STE_2P3,53.1,13,Woodland/Shrubland,594.6022627,8.9,0,3.785,2312.589502,2819.666239,22%,2,2
USA_HIL_HF1_POS,36.2173212,-78.86417865,Temperate forest,1218.786872,15.14047287,2,2.441666667,1290.453071,1571.019338,22%,0,0
DEU_STE_4P5,53.1,13,Woodland/Shrubland,594.6022627,8.9,0,3.785,3094.517332,3761.644341,22%,2,2
USA_HIL_HF2,36.21747661,-78.86399373,Temperate forest,1219.289306,15.13860798,2,2.441666667,2566.085467,3099.00578,21%,2,2
AUS_WOM,-37.4222,144.0944,Temperate forest,1023.829174,10.91780367,1,4.675,6870.172447,8063.121755,17%,3,3
CZE_LIZ_LES,49.06668,13.67975,Temperate forest,837.0527288,6.030012701,1,3.5525,718.5546348,835.3084132,16%,0,0
THA_KHU,15.273,103.081,Tropical forest savanna,1178.009069,27.20655273,0,1.471666667,634.117646,722.4057266,14%,0,0
ZAF_SOU_SOU,-34.087,19.0933,Woodland/Shrubland,929.3320192,15.28335143,0,4.055833333,682.0579899,775.6496712,14%,0,0
USA_WIL_WC1,45.81305556,-90.08666667,Temperate forest,872.0103482,5,0,3.208333333,3674.939479,4092.458134,11%,2,2
NZL_HUA_HUA,-36.7958,174.4903,Temperate forest,1371.234323,14.97470581,1,4.870833333,3015.855039,3085.642739,2%,2,2
ARG_TRE,-51.31667,-72.185,Woodland/Shrubland,442.3418037,4.751628525,0,6.575833333,441.4821667,447.3798053,1%,0,0
SEN_SOU_IRR,16.344,-15.428,Subtropical desert,248,28.9,0,2.924166667,1457.8289,1476.638774,1%,0,0
SEN_SOU_POS,16.344,-15.428,Subtropical desert,248,28.9,0,2.924166667,1157.220472,1171.997703,1%,0,0
SEN_SOU_PRE,16.344,-15.428,Subtropical desert,248,28.9,0,2.924166667,1020.488502,1029.393797,1%,0,0
PRT_LEZ_ARN,38.83333333,-8.816666667,Woodland/Shrubland,713.1668714,17,1,3.384166667,10042.96339,10125.93826,1%,3,3
ESP_SAN_B2_100,37.249105,-5.797067,Tropical forest savanna,598.126145,18.5,1,2.885,225.2978976,225.3604454,0%,0,0
ARG_MAZ,-51.57944,-72.28639,Woodland/Shrubland,471.5845261,4.03481814,0,7.261666667,2191.176229,2191.176229,0%,2,2
