Site,Latitude,Longitude,Biome,MAP,MAT,Location
GBR_ABE_PLO,56.616,-3.8,Temperate forest,971.2289645770106,7.317755012148953,GBR_ABE_PLO
GBR_DEV_CON,56.03333,-3.716667,Woodland/Shrubland,814.9665774078702,9.4,GBR_DEV_CON_DRO
GBR_DEV_DRO,56.03333,-3.716667,Woodland/Shrubland,814.9665774078702,9.4,GBR_DEV_CON_DRO
GBR_GUI_ST1,57.266667,-4.816667,Temperate forest,1472.9548624827808,6.951691056807002,GBR_GUI_ST1_ST2_ST3
GBR_GUI_ST2,57.266667,-4.816667,Temperate forest,1472.9548624827808,6.951691056807002,GBR_GUI_ST1_ST2_ST3
GBR_GUI_ST3,57.266667,-4.816667,Temperate forest,1472.9548624827808,6.951691056807002,GBR_GUI_ST1_ST2_ST3
GUF_GUY_GUY,5.278772,-52.924863,Tropical rain forest,2706.4339257839342,26.145252504001824,GUF_GUY_GUY
GUF_GUY_ST2,5.28166666666667,-52.9122222222222,Tropical rain forest,2815.735173730124,26.1,GUF_GUY_ST2
IDN_JAM_OIL,-2.0708889,102.7918333,Tropical rain forest,2825.8190047904336,26.2,IDN_JAM_OIL
IDN_JAM_RUB,-2.095278,102.783222,Tropical rain forest,2930.8308946415705,26.195803864133342,IDN_JAM_RUB
ITA_TOR,45.82376,7.56089,Temperate forest,754.6507373082957,2.126712686785243,ITA_TOR
NLD_LOO,52.16648333333333,5.7435527777777775,Woodland/Shrubland,869.5996049842744,9.91298080709254,NLD_LOO
NZL_HUA_HUA,-36.7958,174.4903,Temperate forest,1371.2343226680414,14.97470581069803,NZL_HUA_HUA
PRT_LEZ_ARN,38.8333333333333,-8.81666666666667,Woodland/Shrubland,713.1668713551392,17.0,PRT_LEZ_ARN
SWE_NOR_ST1_ST3,60.086,17.48,Woodland/Shrubland,564.1492436799361,6.1,SWE_NOR_ST1_BEF_ST2_ST3_ST4_AFT_ST4_BEF_ST5_REF
SWE_NOR_ST2,60.086,17.48,Woodland/Shrubland,564.1492436799361,6.1,SWE_NOR_ST1_BEF_ST2_ST3_ST4_AFT_ST4_BEF_ST5_REF
SWE_NOR_ST4_AFT,60.083,17.476,Woodland/Shrubland,564.1435460987616,6.1,SWE_NOR_ST1_BEF_ST2_ST3_ST4_AFT_ST4_BEF_ST5_REF
SWE_NOR_ST4_BEF,60.083,17.476,Woodland/Shrubland,564.1435460987616,6.1,SWE_NOR_ST1_BEF_ST2_ST3_ST4_AFT_ST4_BEF_ST5_REF
SWE_NOR_ST5_REF,60.083,17.476,Woodland/Shrubland,564.1435460987616,6.1,SWE_NOR_ST1_BEF_ST2_ST3_ST4_AFT_ST4_BEF_ST5_REF
THA_KHU,15.273,103.081,Tropical forest savanna,1178.0090687851614,27.20655273436945,THA_KHU
USA_DUK_HAR,36.978175,-79.09419083333333,Temperate forest,1189.0459452487833,14.591959500821698,USA_DUK_HAR
USA_HIL,36.21737300266667,-78.86411700966667,Temperate forest,1218.9543502227104,15.139851241559363,USA_HIL_HF1_POS_HF1_PRE_HF2
USA_HUY_LIN_NON,42.5275305555556,-74.1572027777778,Temperate forest,859.5962309235513,7.858995128807362,USA_HUY_LIN_NON
USA_INM,39.323228,-86.413239,Temperate forest,1157.875702542217,12.026031919391516,USA_INM
USA_PAR_FER,35.8031111111111,-76.6679166666667,Temperate forest,1284.4380721104974,16.6,USA_PAR_FER
USA_PJS_P04_AMB,34.38638888888889,-106.529444444444,Temperate grassland desert,311.4291562685986,12.667087645095911,USA_PJS_P04_AMB_P08_AMB_P12_AMB
USA_PJS_P08_AMB,34.38638888888889,-106.529444444444,Temperate grassland desert,311.4291562685986,12.667087645095911,USA_PJS_P04_AMB_P08_AMB_P12_AMB
USA_PJS_P12_AMB,34.38638888888889,-106.529444444444,Temperate grassland desert,311.4291562685986,12.667087645095911,USA_PJS_P04_AMB_P08_AMB_P12_AMB
USA_SIL_OAK,39.91563055555555,-74.59555555555555,Temperate forest,1180.339859654929,12.9,USA_SIL_OAK_1PR_2PR
USA_SYL_HL2,46.2420166666667,-89.34765,Temperate forest,878.5838815678686,4.3,USA_SYL_HL2
USA_TNB,36.471197,-84.704072,Temperate forest,1409.433273374076,13.508674514960466,USA_TNB
USA_TNO,35.966,-84.281866,Temperate forest,1497.0824463127597,14.613416579952167,USA_TNO_TNP
USA_TNP,35.96041,-84.287933,Temperate forest,1488.6585462446037,14.627981625150284,USA_TNO_TNP
USA_TNY,35.687635,-83.501202,Temperate forest,1285.1274179840843,12.755143317785736,USA_TNY
USA_UMB_CON,45.5597222222222,-84.7133333333333,Temperate forest,821.466231227942,6.097363101945679,USA_UMB_CON
USA_UMB_GIR,45.5625,-84.6975,Temperate forest,793.8302522420379,6.101673175006757,USA_UMB_GIR
USA_WIL_WC1,45.8130555555556,-90.0866666666667,Temperate forest,872.0103481648218,5.000000000000001,USA_WIL_WC1
USA_WVF,39.058867,-79.690668,Temperate forest,1408.3560420211718,9.39554841834926,USA_WVF
ZAF_FRA_FRA,-33.884334,19.060978,Woodland/Shrubland,973.8168782602936,16.699999999999996,ZAF_FRA_FRA
ZAF_NOO_E3_IRR,-33.20099166666667,19.337516666666662,Woodland/Shrubland,637.8946772174824,12.6720338438864,ZAF_NOO_E3_IRR
ZAF_SOU_SOU,-34.087,19.0933,Woodland/Shrubland,929.33201916927,15.28335143112229,ZAF_SOU_SOU
