LastName,FirstName,DatasetID,Dataset,SpeciesName,AccSpeciesID,AccSpeciesName,ObservationID,ObsDataID,TraitID,TraitName,DataID,DataName,OriglName,OrigValueStr,OrigUnitStr,ValueKindName,OrigUncertaintyStr,UncertaintyName,Replicates,StdValue,UnitName,RelUncertaintyPercent,OrigObsDataID,ErrorRisk,Reference,Comment
Niinemets,Ülo,87,Global Leaf Robustness and Physiology Database,Pinus sylvestris,42185,Pinus sylvestris,221834,2335349,174,Leaf area index (LAI) total per LAI projected ,532,Leaf total to projected area ratio,TLA/PLA,2.556152545,mm2/mm2,Single,,,,,,,,,"Niinemets, U. 2001. Global-scale climatic controls of leaf dry mass per area, density, and thickness in trees and shrubs. Ecology 82:453-469.",Ulo Niinemets: Total to projected area ratio
Niinemets,Ülo,87,Global Leaf Robustness and Physiology Database,Picea abies,41907,Picea abies,221891,2336356,174,Leaf area index (LAI) total per LAI projected ,532,Leaf total to projected area ratio,TLA/PLA,3.581815375,mm2/mm2,Single,,,,,,,,,"Niinemets, U. 2001. Global-scale climatic controls of leaf dry mass per area, density, and thickness in trees and shrubs. Ecology 82:453-469.",Ulo Niinemets: Total to projected area ratio
Niinemets,Ülo,87,Global Leaf Robustness and Physiology Database,Picea abies,41907,Picea abies,221892,2336377,174,Leaf area index (LAI) total per LAI projected ,532,Leaf total to projected area ratio,TLA/PLA,3.174497408,mm2/mm2,Single,,,,,,,,,"Niinemets, U. 2001. Global-scale climatic controls of leaf dry mass per area, density, and thickness in trees and shrubs. Ecology 82:453-469.",Ulo Niinemets: Total to projected area ratio
Niinemets,Ülo,87,Global Leaf Robustness and Physiology Database,Picea abies,41907,Picea abies,221893,2336398,174,Leaf area index (LAI) total per LAI projected ,532,Leaf total to projected area ratio,TLA/PLA,3.072344199,mm2/mm2,Single,,,,,,,,,"Niinemets, U. 2001. Global-scale climatic controls of leaf dry mass per area, density, and thickness in trees and shrubs. Ecology 82:453-469.",Ulo Niinemets: Total to projected area ratio
Niinemets,Ülo,87,Global Leaf Robustness and Physiology Database,Picea abies,41907,Picea abies,221894,2336419,174,Leaf area index (LAI) total per LAI projected ,532,Leaf total to projected area ratio,TLA/PLA,2.901588321,mm2/mm2,Single,,,,,,,,,"Niinemets, U. 2001. Global-scale climatic controls of leaf dry mass per area, density, and thickness in trees and shrubs. Ecology 82:453-469.",Ulo Niinemets: Total to projected area ratio
Niinemets,Ülo,87,Global Leaf Robustness and Physiology Database,Picea abies,41907,Picea abies,221895,2336440,174,Leaf area index (LAI) total per LAI projected ,532,Leaf total to projected area ratio,TLA/PLA,2.552978338,mm2/mm2,Single,,,,,,,,,"Niinemets, U. 2001. Global-scale climatic controls of leaf dry mass per area, density, and thickness in trees and shrubs. Ecology 82:453-469.",Ulo Niinemets: Total to projected area ratio
Niinemets,Ülo,87,Global Leaf Robustness and Physiology Database,Picea abies,41907,Picea abies,221896,2336461,174,Leaf area index (LAI) total per LAI projected ,532,Leaf total to projected area ratio,TLA/PLA,2.632752467,mm2/mm2,Single,,,,,,,,,"Niinemets, U. 2001. Global-scale climatic controls of leaf dry mass per area, density, and thickness in trees and shrubs. Ecology 82:453-469.",Ulo Niinemets: Total to projected area ratio
Niinemets,Ülo,87,Global Leaf Robustness and Physiology Database,Picea abies,41907,Picea abies,221897,2336482,174,Leaf area index (LAI) total per LAI projected ,532,Leaf total to projected area ratio,TLA/PLA,2.445542164,mm2/mm2,Single,,,,,,,,,"Niinemets, U. 2001. Global-scale climatic controls of leaf dry mass per area, density, and thickness in trees and shrubs. Ecology 82:453-469.",Ulo Niinemets: Total to projected area ratio
Niinemets,Ülo,87,Global Leaf Robustness and Physiology Database,Picea abies,41907,Picea abies,221898,2336500,174,Leaf area index (LAI) total per LAI projected ,532,Leaf total to projected area ratio,TLA/PLA,3.709025497,mm2/mm2,Single,,,,,,,,,"Niinemets, U. 2001. Global-scale climatic controls of leaf dry mass per area, density, and thickness in trees and shrubs. Ecology 82:453-469.",Ulo Niinemets: Total to projected area ratio
Niinemets,Ülo,87,Global Leaf Robustness and Physiology Database,Picea abies,41907,Picea abies,221899,2336521,174,Leaf area index (LAI) total per LAI projected ,532,Leaf total to projected area ratio,TLA/PLA,3.528913107,mm2/mm2,Single,,,,,,,,,"Niinemets, U. 2001. Global-scale climatic controls of leaf dry mass per area, density, and thickness in trees and shrubs. Ecology 82:453-469.",Ulo Niinemets: Total to projected area ratio
