DateTime (Day),Volumetric Soil Moisture [m3/m3],
,0-120 cm,
,mean,SD
'13-Jun-2017',0.0385699831,0.0011790791
'14-Jun-2017',0.0379980975,0.0011707013
'15-Jun-2017',0.0372648192,0.0010990531
'16-Jun-2017',0.0365557608,0.001063055
'17-Jun-2017',0.0359461162,0.0010104357
'18-Jun-2017',0.0354602673,0.0009934564
'19-Jun-2017',0.0350197902,0.001020736
'20-Jun-2017',0.0344593687,0.0010600059
'21-Jun-2017',0.0340564544,0.0010734351
'22-Jun-2017',0.0337452791,0.0011214795
'23-Jun-2017',0.0332430984,0.0011928956
'24-Jun-2017',0.0331180603,0.0014154205
'25-Jun-2017',0.0326759654,0.0013181354
'26-Jun-2017',0.0324679102,0.0013353309
'27-Jun-2017',0.0322889633,0.0014014542
'28-Jun-2017',0.0319842636,0.0014786116
'29-Jun-2017',0.0323462037,0.0016431857
'30-Jun-2017',0.0335609953,0.0015284008
'01-Jul-2017',0.0328095938,0.0011727074
'02-Jul-2017',0.0320787386,0.0010990104
'03-Jul-2017',0.0318124236,0.0009206677
'04-Jul-2017',0.0344045366,0.001082938
'05-Jul-2017',0.0332825953,8.54E-05
'06-Jul-2017',0.0324863919,0.0003910825
'07-Jul-2017',0.0318218744,0.0006642833
'08-Jul-2017',0.0313734077,0.0008711714
'09-Jul-2017',0.031032532,0.00099603
'10-Jul-2017',0.031068729,0.0008252388
'11-Jul-2017',0.0320007398,0.0002454208
'12-Jul-2017',0.0314185783,0.0005044027
'13-Jul-2017',0.0308531978,0.0007484372
'14-Jul-2017',0.0308609514,0.0005675358
'15-Jul-2017',0.0307652733,0.0004907623
'16-Jul-2017',0.0303059261,0.0007422414
'17-Jul-2017',0.0298375092,0.0009610179
'18-Jul-2017',0.0295431042,0.0011436556
'19-Jul-2017',0.0301088615,0.001329809
'20-Jul-2017',0.0329279485,0.0008023695
'21-Jul-2017',0.0337670615,0.0006778913
'22-Jul-2017',0.0326764761,0.0007922755
'23-Jul-2017',0.0317966587,0.0008814985
'24-Jul-2017',0.0312730956,0.0010176811
'25-Jul-2017',0.0307485719,0.0011471801
'26-Jul-2017',0.0308363065,0.0009807648
'27-Jul-2017',0.0312637642,0.0010429152
'28-Jul-2017',0.0337890058,0.0008839235
'29-Jul-2017',0.0326228381,0.0012975558
'30-Jul-2017',0.0316306783,0.0014104784
'31-Jul-2017',0.0309227387,0.0014664409
'01-Aug-2017',0.0304391972,0.0015704479
'02-Aug-2017',0.0303069793,0.0018882455
'03-Aug-2017',0.0305728385,0.0020388749
'04-Aug-2017',0.037824688,0.0023305452
'05-Aug-2017',0.0359890321,0.0028456895
'06-Aug-2017',0.0380728147,0.0028904326
'07-Aug-2017',0.0416830175,0.0037973697
'08-Aug-2017',0.0415777907,0.0050016429
'09-Aug-2017',0.0399932908,0.0052394071
'10-Aug-2017',0.0384687233,0.0049676659
'11-Aug-2017',0.0371886716,0.004597797
'12-Aug-2017',0.0369115145,0.0040982762
'13-Aug-2017',0.0368421607,0.0039012323
'14-Aug-2017',0.035944575,0.0036496694
'15-Aug-2017',0.0353115381,0.0035685891
'16-Aug-2017',0.0347536423,0.0035609543
'17-Aug-2017',0.034082031,0.0035104512
'18-Aug-2017',0.0342844898,0.0033659271
'19-Aug-2017',0.0402598291,0.0045622624
'20-Aug-2017',0.0398649452,0.0052986212
'21-Aug-2017',0.0388616496,0.005256882
'22-Aug-2017',0.0378205337,0.0050274997
'23-Aug-2017',0.039429534,0.0052387452
'24-Aug-2017',0.0464540328,0.0079209858
'25-Aug-2017',0.0443483139,0.007995997
'26-Aug-2017',0.0427742859,0.0077100656
'27-Aug-2017',0.0477691272,0.0084217788
'28-Aug-2017',0.0473355771,0.0090639565
'29-Aug-2017',0.0459086539,0.0088438683
'30-Aug-2017',0.0447453368,0.0084859872
'31-Aug-2017',0.0436103695,0.0080621789
'01-Sep-2017',0.042382113,0.0075815136
'02-Sep-2017',0.0411158451,0.0070878104
'03-Sep-2017',0.0399060838,0.0065563973
'04-Sep-2017',0.038832443,0.0061443369
'05-Sep-2017',0.0382438962,0.0058707692
'06-Sep-2017',0.0395552756,0.0059116298
'07-Sep-2017',0.0392659247,0.005683106
'08-Sep-2017',0.0402093959,0.0058967919
'09-Sep-2017',0.0403368248,0.0061452337
'10-Sep-2017',0.039817358,0.0061091765
'11-Sep-2017',0.0389603947,0.005931654
'12-Sep-2017',0.0385675154,0.0057781277
'13-Sep-2017',0.0386226581,0.0058390201
'14-Sep-2017',0.0379694246,0.0057083971
'15-Sep-2017',0.0373931278,0.0055468632
'16-Sep-2017',0.0402221676,0.005413789
'17-Sep-2017',0.0403717624,0.0053510276
'18-Sep-2017',0.0389448548,0.0051551718
'19-Sep-2017',0.0376637097,0.0048861738
'20-Sep-2017',0.0366412536,0.004756766
'21-Sep-2017',0.0355312485,0.0045677727
'22-Sep-2017',0.0345089413,0.0044011662
'23-Sep-2017',0.0333338598,0.0041441423
'24-Sep-2017',0.032314738,0.0039626716
'25-Sep-2017',0.0324503049,0.0041529901
'26-Sep-2017',0.0321319016,0.0040799198
'27-Sep-2017',0.0313718441,0.0038766641
'28-Sep-2017',0.0307605103,0.0037617168
'29-Sep-2017',0.0301866946,0.0038135482
'30-Sep-2017',0.0294717081,0.0036694213
'01-Oct-2017',0.0290829182,0.0037629408
'02-Oct-2017',0.0287145611,0.0037837623
'03-Oct-2017',0.0282144423,0.0037458931
'04-Oct-2017',0.0278916489,0.0038345793
'05-Oct-2017',0.0275238613,0.0037548624
'06-Oct-2017',0.0273488382,0.0037983598
'07-Oct-2017',0.0269894824,0.0038058121
'08-Oct-2017',0.0266669519,0.0038275518
'09-Oct-2017',0.026770204,0.0039952567
'10-Oct-2017',0.0264485414,0.0039224367
'11-Oct-2017',0.026716774,0.0040667959
'12-Oct-2017',0.0313934592,0.0038344942
'13-Oct-2017',0.0312967854,0.003621147
'14-Oct-2017',0.0307076466,0.0037787082
'15-Oct-2017',0.0300798882,0.0040009381
'16-Oct-2017',0.0296231108,0.0041497294
'17-Oct-2017',0.0290781197,0.0039971955
'18-Oct-2017',0.0283986926,0.0040689018
'19-Oct-2017',0.0283227767,0.0044631065
'20-Oct-2017',0.0281353992,0.0047268525
'21-Oct-2017',0.0276619527,0.0046511767
'22-Oct-2017',0.0273773287,0.004649309
'23-Oct-2017',0.0270629079,0.0046204975
'24-Oct-2017',0.0268919898,0.00471673
'25-Oct-2017',0.03184498,0.0065703003
'26-Oct-2017',0.0324828305,0.0061817307
'27-Oct-2017',0.0319920054,0.0059843352
