Date (Day),Daily Transpiration (mm/day)
'29-Oct-2017',0.6865720273
'30-Oct-2017',0.4905473072
'31-Oct-2017',0.52306482
'01-Nov-2017',0.4729581929
'02-Nov-2017',0.4823901018
'03-Nov-2017',0.5224890431
'04-Nov-2017',0.5359674717
'05-Nov-2017',0.5759459256
'06-Nov-2017',0.5639509346
'07-Nov-2017',0.5783789762
'08-Nov-2017',0.5708650552
'09-Nov-2017',0.6306049467
'10-Nov-2017',0.6624375094
'11-Nov-2017',0.6423261466
'12-Nov-2017',0.6913417335
'13-Nov-2017',0.7359705141
'14-Nov-2017',0.8232400241
'15-Nov-2017',NaN
'16-Nov-2017',0.6641445842
'17-Nov-2017',0.6876558418
'18-Nov-2017',0.6886268981
'19-Nov-2017',0.7187576709
'20-Nov-2017',0.7287054771
'21-Nov-2017',0.7116730135
'22-Nov-2017',0.7707220308
'23-Nov-2017',0.7232242597
'24-Nov-2017',0.7342814105
'25-Nov-2017',0.6568897445
'26-Nov-2017',0.4528993115
'27-Nov-2017',0.5969661049
'28-Nov-2017',0.6979082252
'29-Nov-2017',0.7198575258
'30-Nov-2017',0.7569723926
'01-Dec-2017',0.1721140655
'02-Dec-2017',0.0137870405
'03-Dec-2017',0.4348339345
'04-Dec-2017',0.5592846082
'05-Dec-2017',0.5984457976
'06-Dec-2017',0.6499017029
'07-Dec-2017',0.512154243
'08-Dec-2017',0.620508945
'09-Dec-2017',0.6633401601
'10-Dec-2017',0.6483602563
'11-Dec-2017',0.6594421042
'12-Dec-2017',0.7285591119
'13-Dec-2017',0.7852517121
'14-Dec-2017',0.6967783005
'15-Dec-2017',0.77425581
'16-Dec-2017',0.8000985847
'17-Dec-2017',0.7440892858
'18-Dec-2017',0.7970779608
'19-Dec-2017',0.6280536163
'20-Dec-2017',0.6167091982
'21-Dec-2017',0.6549497078
'22-Dec-2017',0.6810479177
'23-Dec-2017',0.6340623574
'24-Dec-2017',0.6255189951
'25-Dec-2017',0.6697686904
'26-Dec-2017',0.7452414814
'27-Dec-2017',0.3288223839
'28-Dec-2017',0.2994614667
'29-Dec-2017',0.1756590494
'30-Dec-2017',0.2822189984
'31-Dec-2017',0.3138392613
'01-Jan-2018',0.6701600322
'02-Jan-2018',0.6711523194
'03-Jan-2018',0.6503846391
'04-Jan-2018',0.7097587134
'05-Jan-2018',0.8126147254
'06-Jan-2018',0.7112757739
'07-Jan-2018',0.661346478
'08-Jan-2018',0.6099704789
'09-Jan-2018',0.6577994252
'10-Jan-2018',0.7345908337
'11-Jan-2018',0.7552498749
'12-Jan-2018',0.6134473563
'13-Jan-2018',0.5239800932
'14-Jan-2018',0.6534620029
'15-Jan-2018',0.6470548393
'16-Jan-2018',0.6814318254
'17-Jan-2018',0.8504484161
'18-Jan-2018',0.9103803164
'19-Jan-2018',0.9561677868
'20-Jan-2018',0.714363005
'21-Jan-2018',0.8324711808
'22-Jan-2018',0.7872197411
'23-Jan-2018',0.826607622
'24-Jan-2018',0.765234707
'25-Jan-2018',0.736819788
'26-Jan-2018',0.5835886926
'27-Jan-2018',0.7797975184
'28-Jan-2018',0.9242874504
'29-Jan-2018',0.6862831275
'30-Jan-2018',0.6061180007
'31-Jan-2018',0.6296738617
'01-Feb-2018',0.6666579168
'02-Feb-2018',0.7313490148
'03-Feb-2018',0.7263494055
'04-Feb-2018',0.7319887588
'05-Feb-2018',0.3519998079
'06-Feb-2018',0.8143116589
'07-Feb-2018',0.777929747
'08-Feb-2018',0.7469785147
'09-Feb-2018',0.7347976473
'10-Feb-2018',0.673532385
'11-Feb-2018',0.6712794124
'12-Feb-2018',0.6859469674
