TIMESTAMP,solar_TIMESTAMP,ITA_TOR_Lde_Js_1,ITA_TOR_Lde_Js_2,ITA_TOR_Lde_Js_3,ITA_TOR_Lde_Js_4
2015-03-04T22:00:00Z,2015-03-04T22:18:39Z,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT
2015-03-04T22:30:00Z,2015-03-04T22:48:39Z,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT
2015-03-04T23:00:00Z,2015-03-04T23:18:39Z,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT
2015-03-04T23:30:00Z,2015-03-04T23:48:52Z,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT
2015-03-05T00:00:00Z,2015-03-05T00:18:52Z,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT
2015-03-05T00:30:00Z,2015-03-05T00:48:52Z,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT
2015-03-05T01:00:00Z,2015-03-05T01:18:52Z,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT
2015-03-05T01:30:00Z,2015-03-05T01:48:52Z,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT
2015-03-05T02:00:00Z,2015-03-05T02:18:52Z,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT
2015-03-05T02:30:00Z,2015-03-05T02:48:52Z,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT
2015-03-05T03:00:00Z,2015-03-05T03:18:52Z,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT
2015-03-05T03:30:00Z,2015-03-05T03:48:52Z,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT
2015-03-05T04:00:00Z,2015-03-05T04:18:52Z,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT
2015-03-05T04:30:00Z,2015-03-05T04:48:52Z,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT
2015-03-05T05:00:00Z,2015-03-05T05:18:52Z,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT
2015-03-05T05:30:00Z,2015-03-05T05:48:52Z,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT
2015-03-05T06:00:00Z,2015-03-05T06:18:52Z,,,,
2015-03-05T06:30:00Z,2015-03-05T06:48:52Z,,,,
2015-03-05T07:00:00Z,2015-03-05T07:18:52Z,,,,
2015-03-05T07:30:00Z,2015-03-05T07:48:52Z,,,,
2015-03-05T08:00:00Z,2015-03-05T08:18:52Z,,,,
2015-03-05T08:30:00Z,2015-03-05T08:48:52Z,,,,
2015-03-05T09:00:00Z,2015-03-05T09:18:52Z,,,,
2015-03-05T09:30:00Z,2015-03-05T09:48:52Z,,,,
2015-03-05T10:00:00Z,2015-03-05T10:18:52Z,,,,
2015-03-05T10:30:00Z,2015-03-05T10:48:52Z,,,,
2015-03-05T11:00:00Z,2015-03-05T11:18:52Z,,,,
2015-03-05T11:30:00Z,2015-03-05T11:48:52Z,,,,
2015-03-05T12:00:00Z,2015-03-05T12:18:52Z,,,,
2015-03-05T12:30:00Z,2015-03-05T12:48:52Z,,,,
2015-03-05T13:00:00Z,2015-03-05T13:18:52Z,,,,
2015-03-05T13:30:00Z,2015-03-05T13:48:52Z,,,,
2015-03-05T14:00:00Z,2015-03-05T14:18:52Z,,,,
2015-03-05T14:30:00Z,2015-03-05T14:48:52Z,,,,
2015-03-05T15:00:00Z,2015-03-05T15:18:52Z,,,,
2015-03-05T15:30:00Z,2015-03-05T15:48:52Z,,,,
2015-03-05T16:00:00Z,2015-03-05T16:18:52Z,,,,
2015-03-05T16:30:00Z,2015-03-05T16:48:52Z,,,,
2015-03-05T17:00:00Z,2015-03-05T17:18:52Z,,,,
2015-03-05T17:30:00Z,2015-03-05T17:48:52Z,,,,
2015-03-05T18:00:00Z,2015-03-05T18:18:52Z,,,,
2015-03-05T18:30:00Z,2015-03-05T18:48:52Z,,,,
2015-03-05T19:00:00Z,2015-03-05T19:18:52Z,,,,
2015-03-05T19:30:00Z,2015-03-05T19:48:52Z,,,,
2015-03-05T20:00:00Z,2015-03-05T20:18:52Z,,,,
2015-03-05T20:30:00Z,2015-03-05T20:48:52Z,,,,
2015-03-05T21:00:00Z,2015-03-05T21:18:52Z,,,,
2015-03-05T21:30:00Z,2015-03-05T21:48:52Z,,,,
2015-03-05T22:00:00Z,2015-03-05T22:18:52Z,,,,
2015-03-05T22:30:00Z,2015-03-05T22:48:52Z,,,,
2015-03-05T23:00:00Z,2015-03-05T23:18:52Z,,,,
2015-03-05T23:30:00Z,2015-03-05T23:49:06Z,,,,
2015-03-06T00:00:00Z,2015-03-06T00:19:06Z,,,,
2015-03-06T00:30:00Z,2015-03-06T00:49:06Z,,,,
2015-03-06T01:00:00Z,2015-03-06T01:19:06Z,,,,
2015-03-06T01:30:00Z,2015-03-06T01:49:06Z,,,,
2015-03-06T02:00:00Z,2015-03-06T02:19:06Z,,,,
2015-03-06T02:30:00Z,2015-03-06T02:49:06Z,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT
2015-03-06T03:00:00Z,2015-03-06T03:19:06Z,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT
2015-03-06T03:30:00Z,2015-03-06T03:49:06Z,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT
2015-03-06T04:00:00Z,2015-03-06T04:19:06Z,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT
2015-03-06T04:30:00Z,2015-03-06T04:49:06Z,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT
2015-03-06T05:00:00Z,2015-03-06T05:19:06Z,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT
2015-03-06T05:30:00Z,2015-03-06T05:49:06Z,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT
2015-03-06T06:00:00Z,2015-03-06T06:19:06Z,,,,
2015-03-06T06:30:00Z,2015-03-06T06:49:06Z,,,,
2015-03-06T07:00:00Z,2015-03-06T07:19:06Z,,,,
2015-03-06T07:30:00Z,2015-03-06T07:49:06Z,,,,
2015-03-06T08:00:00Z,2015-03-06T08:19:06Z,,,,
2015-03-06T08:30:00Z,2015-03-06T08:49:06Z,,,,
2015-03-06T09:00:00Z,2015-03-06T09:19:06Z,,,,
2015-03-06T09:30:00Z,2015-03-06T09:49:06Z,,,,
2015-03-06T10:00:00Z,2015-03-06T10:19:06Z,,,,
2015-03-06T10:30:00Z,2015-03-06T10:49:06Z,,,,
2015-03-06T11:00:00Z,2015-03-06T11:19:06Z,,,,
2015-03-06T11:30:00Z,2015-03-06T11:49:06Z,,,,
2015-03-06T12:00:00Z,2015-03-06T12:19:06Z,,,,
2015-03-06T12:30:00Z,2015-03-06T12:49:06Z,,,,
2015-03-06T13:00:00Z,2015-03-06T13:19:06Z,,,,
2015-03-06T13:30:00Z,2015-03-06T13:49:06Z,,,,
2015-03-06T14:00:00Z,2015-03-06T14:19:06Z,,,,
2015-03-06T14:30:00Z,2015-03-06T14:49:06Z,,,,
2015-03-06T15:00:00Z,2015-03-06T15:19:06Z,,,,
2015-03-06T15:30:00Z,2015-03-06T15:49:06Z,,,,
2015-03-06T16:00:00Z,2015-03-06T16:19:06Z,,,,
2015-03-06T16:30:00Z,2015-03-06T16:49:06Z,,,,
2015-03-06T17:00:00Z,2015-03-06T17:19:06Z,,,,
2015-03-06T17:30:00Z,2015-03-06T17:49:06Z,,,,
2015-03-06T18:00:00Z,2015-03-06T18:19:06Z,,,,
2015-03-06T18:30:00Z,2015-03-06T18:49:06Z,,,,
2015-03-06T19:00:00Z,2015-03-06T19:19:06Z,,,,
2015-03-06T19:30:00Z,2015-03-06T19:49:06Z,,,,
2015-03-06T20:00:00Z,2015-03-06T20:19:06Z,,,,
