TIMESTAMP,solar_TIMESTAMP,CHN_YIN_ST2_DRO_Peu_Js_1,CHN_YIN_ST2_DRO_Peu_Js_2
2012-05-26T19:00:00Z,2012-05-27T00:42:43Z,,
2012-05-26T19:10:00Z,2012-05-27T00:52:43Z,,
2012-05-26T19:20:00Z,2012-05-27T01:02:43Z,,
2012-05-26T19:30:00Z,2012-05-27T01:12:43Z,,
2012-05-26T19:40:00Z,2012-05-27T01:22:43Z,,
2012-05-26T19:49:59Z,2012-05-27T01:32:42Z,,
2012-05-26T19:59:59Z,2012-05-27T01:42:42Z,,
2012-05-26T20:09:59Z,2012-05-27T01:52:42Z,,
2012-05-26T20:20:00Z,2012-05-27T02:02:43Z,,
2012-05-26T20:30:00Z,2012-05-27T02:12:43Z,,
2012-05-26T20:40:00Z,2012-05-27T02:22:43Z,,
2012-05-26T20:50:00Z,2012-05-27T02:32:43Z,,
2012-05-26T21:00:00Z,2012-05-27T02:42:43Z,,
2012-05-26T21:10:00Z,2012-05-27T02:52:43Z,,
2012-05-26T21:19:59Z,2012-05-27T03:02:42Z,,
2012-05-26T21:29:59Z,2012-05-27T03:12:42Z,,
2012-05-26T21:39:59Z,2012-05-27T03:22:42Z,,
2012-05-26T21:50:00Z,2012-05-27T03:32:43Z,,
2012-05-26T22:00:00Z,2012-05-27T03:42:43Z,,
2012-05-26T22:10:00Z,2012-05-27T03:52:43Z,,
2012-05-26T22:20:00Z,2012-05-27T04:02:43Z,,
2012-05-26T22:30:00Z,2012-05-27T04:12:43Z,,
2012-05-26T22:40:00Z,2012-05-27T04:22:43Z,,
2012-05-26T22:49:59Z,2012-05-27T04:32:42Z,,
2012-05-26T22:59:59Z,2012-05-27T04:42:42Z,,
2012-05-26T23:09:59Z,2012-05-27T04:52:42Z,,
2012-05-26T23:20:00Z,2012-05-27T05:02:43Z,,
2012-05-26T23:30:00Z,2012-05-27T05:12:43Z,,
2012-05-26T23:40:00Z,2012-05-27T05:22:43Z,,
2012-05-26T23:50:00Z,2012-05-27T05:32:43Z,,
2012-05-27T00:00:00Z,2012-05-27T05:42:43Z,,
2012-05-27T00:10:00Z,2012-05-27T05:52:43Z,,
2012-05-27T00:19:59Z,2012-05-27T06:02:42Z,,
2012-05-27T00:29:59Z,2012-05-27T06:12:42Z,,
