TIMESTAMP,solar_TIMESTAMP,CZE_RAJ_RAJ_Fsy_Jt_1,CZE_RAJ_RAJ_Fsy_Jt_2,CZE_RAJ_RAJ_Fsy_Jt_3,CZE_RAJ_RAJ_Fsy_Jt_4,CZE_RAJ_RAJ_Fsy_Jt_5,CZE_RAJ_RAJ_Fsy_Jt_6
2012-05-21T13:10:00Z,2012-05-21T14:19:41Z,2759.2782974243164,2647.4757194519043,4535.308837890625,4697.7996826171875,3552.894115447998,7991.606712341309
2012-05-21T13:20:00Z,2012-05-21T14:29:41Z,2657.61661529541,2655.5099487304688,4447.904109954834,4588.208198547363,3501.695394515991,7901.337146759033
2012-05-21T13:30:00Z,2012-05-21T14:39:41Z,2439.204454421997,2465.6195640563965,4169.264316558838,4371.367454528809,3190.8135414123535,7400.625705718994
2012-05-21T13:40:00Z,2012-05-21T14:49:41Z,2455.7299613952637,2504.5385360717773,4213.23823928833,4438.307285308838,3276.867389678955,7572.6094245910645
2012-05-21T13:50:00Z,2012-05-21T14:59:41Z,2350.2554893493652,2394.8330879211426,4074.66983795166,4310.153961181641,3236.6409301757812,7364.809989929199
2012-05-21T14:00:00Z,2012-05-21T15:09:41Z,2261.531352996826,2306.6599369049072,3916.886329650879,4134.843826293945,3154.737949371338,7061.655044555664
2012-05-21T14:10:00Z,2012-05-21T15:19:41Z,2155.1191806793213,2211.8165493011475,3674.3130683898926,3898.7841606140137,3030.19642829895,6852.395534515381
2012-05-21T14:20:00Z,2012-05-21T15:29:41Z,2182.5826168060303,2231.4515113830566,3695.030450820923,3854.9110889434814,3146.28005027771,7085.60848236084
2012-05-21T14:30:00Z,2012-05-21T15:39:41Z,2277.670383453369,2256.5231323242188,3829.6658992767334,3867.570400238037,3295.473337173462,7331.321239471436
2012-05-21T14:40:00Z,2012-05-21T15:49:41Z,2123.633623123169,2083.235263824463,3575.9599208831787,3566.4477348327637,3142.249584197998,7016.395092010498
2012-05-21T14:50:00Z,2012-05-21T15:59:41Z,1959.0970277786255,1934.8145723342896,3327.5914192199707,3269.5441246032715,2959.765911102295,6579.649925231934
2012-05-21T15:00:00Z,2012-05-21T16:09:41Z,1913.6849641799927,1939.5140409469604,3240.720510482788,3164.2651557922363,2987.8768920898438,6578.440189361572
2012-05-21T15:10:00Z,2012-05-21T16:19:41Z,1743.8981533050537,1753.4657716751099,2987.624406814575,2963.9248847961426,2655.627727508545,5992.227554321289
2012-05-21T15:20:00Z,2012-05-21T16:29:41Z,1481.6737174987793,1482.9554557800293,2579.969644546509,2645.6458568573,2187.762498855591,5066.473960876465
2012-05-21T15:30:00Z,2012-05-21T16:39:41Z,1285.6992483139038,1292.4847602844238,2296.0684299468994,2419.5234775543213,1889.2971277236938,4563.663482666016
2012-05-21T15:40:00Z,2012-05-21T16:49:41Z,1199.2874145507812,1182.1991205215454,2151.705265045166,2212.057113647461,1772.8408575057983,4318.2692527771
2012-05-21T15:50:00Z,2012-05-21T16:59:41Z,1242.9380416870117,1325.590968132019,2214.817762374878,2237.560033798218,1962.3628854751587,4569.548606872559
2012-05-21T16:00:00Z,2012-05-21T17:09:41Z,1289.0260219573975,1290.4880046844482,2273.8895416259766,2251.6250610351562,1884.7914934158325,4550.2729415893555
2012-05-21T16:10:00Z,2012-05-21T17:19:41Z,1069.2392587661743,1014.3947601318359,1913.8908386230469,1962.5964164733887,1459.3725204467773,3793.604612350464
2012-05-21T16:20:00Z,2012-05-21T17:29:41Z,919.452428817749,873.1517791748047,1636.39497756958,1722.2237586975098,1256.3872337341309,3368.7219619750977
