TIMESTAMP,solar_TIMESTAMP,AUS_CAR_THI_00F_Eni_Js_1,AUS_CAR_THI_00F_Eni_Js_2,AUS_CAR_THI_00F_Eni_Js_3,AUS_CAR_THI_00F_Eni_Js_4,AUS_CAR_THI_00F_Eni_Js_5,AUS_CAR_THI_00F_Eni_Js_6,AUS_CAR_THI_00F_Eni_Js_7,AUS_CAR_THI_00F_Eni_Js_8,AUS_CAR_THI_00F_Eni_Js_9,AUS_CAR_THI_00F_Eni_Js_10
2008-09-11T07:30:00Z,2008-09-11T17:22:02Z,967.3559999999999,800.4420000000001,NA,NA,NA,NA,NA,NA,NA,NA
2008-09-11T08:00:00Z,2008-09-11T17:52:02Z,872.2739999999999,613.8180000000001,NA,NA,NA,NA,NA,NA,NA,NA
2008-09-11T08:30:00Z,2008-09-11T18:22:02Z,971.49,618.1920000000001,NA,NA,NA,NA,NA,NA,NA,NA
2008-09-11T09:00:00Z,2008-09-11T18:52:02Z,601.497,425.73600000000005,NA,NA,NA,NA,NA,NA,NA,NA
2008-09-11T09:30:00Z,2008-09-11T19:22:02Z,950.8199999999998,628.398,NA,NA,NA,NA,NA,NA,NA,NA
2008-09-11T10:00:00Z,2008-09-11T19:52:02Z,965.289,669.222,NA,NA,NA,NA,NA,NA,NA,NA
2008-09-11T10:30:00Z,2008-09-11T20:22:02Z,888.81,638.604,NA,NA,NA,NA,NA,NA,NA,NA
2008-09-11T11:00:00Z,2008-09-11T20:52:02Z,961.155,594.864,NA,NA,NA,NA,NA,NA,NA,NA
2008-09-11T11:30:00Z,2008-09-11T21:22:02Z,843.336,613.8180000000001,NA,NA,NA,NA,NA,NA,NA,NA
2008-09-11T12:00:00Z,2008-09-11T21:52:02Z,965.289,638.604,NA,NA,NA,NA,NA,NA,NA,NA
2008-09-11T12:30:00Z,2008-09-11T22:22:02Z,950.8199999999998,670.68,NA,NA,NA,NA,NA,NA,NA,NA
2008-09-11T13:00:00Z,2008-09-11T22:52:02Z,985.9589999999998,574.452,NA,NA,NA,NA,NA,NA,NA,NA
2008-09-11T13:30:00Z,2008-09-11T23:22:02Z,944.619,645.894,NA,NA,NA,NA,NA,NA,NA,NA
2008-09-11T14:00:00Z,2008-09-11T23:52:02Z,988.026,679.4280000000001,NA,NA,NA,NA,NA,NA,NA,NA
2008-09-11T14:30:00Z,2008-09-12T00:22:24Z,926.0160000000001,695.466,NA,NA,NA,NA,NA,NA,NA,NA
2008-09-11T15:00:00Z,2008-09-12T00:52:24Z,944.619,602.154,NA,NA,NA,NA,NA,NA,NA,NA
2008-09-11T15:30:00Z,2008-09-12T01:22:24Z,890.8769999999998,641.5200000000001,NA,NA,NA,NA,NA,NA,NA,NA
2008-09-11T16:00:00Z,2008-09-12T01:52:24Z,890.8769999999998,621.1080000000001,NA,NA,NA,NA,NA,NA,NA,NA
2008-09-11T16:30:00Z,2008-09-12T02:22:24Z,973.5569999999999,621.1080000000001,NA,NA,NA,NA,NA,NA,NA,NA
2008-09-11T17:00:00Z,2008-09-12T02:52:24Z,1093.443,621.1080000000001,NA,NA,NA,NA,NA,NA,NA,NA
2008-09-11T17:30:00Z,2008-09-12T03:22:24Z,1016.9639999999999,774.198,NA,NA,NA,NA,NA,NA,NA,NA
2008-09-11T18:00:00Z,2008-09-12T03:52:24Z,1074.84,765.45,NA,NA,NA,NA,NA,NA,NA,NA
2008-09-11T18:30:00Z,2008-09-12T04:22:24Z,909.48,602.154,NA,NA,NA,NA,NA,NA,NA,NA
2008-09-11T19:00:00Z,2008-09-12T04:52:24Z,1068.639,829.6020000000001,NA,NA,NA,NA,NA,NA,NA,NA
2008-09-11T19:30:00Z,2008-09-12T05:22:24Z,866.073,672.1380000000001,NA,NA,NA,NA,NA,NA,NA,NA
2008-09-11T20:00:00Z,2008-09-12T05:52:24Z,1033.5,815.022,NA,NA,NA,NA,NA,NA,NA,NA
2008-09-11T20:30:00Z,2008-09-12T06:22:24Z,857.8050000000001,781.488,NA,NA,NA,NA,NA,NA,NA,NA
2008-09-11T21:00:00Z,2008-09-12T06:52:24Z,1246.401,1667.952,NA,NA,NA,NA,NA,NA,NA,NA
2008-09-11T21:30:00Z,2008-09-12T07:22:24Z,1575.0539999999999,2948.076,NA,NA,NA,NA,NA,NA,NA,NA
2008-09-11T22:00:00Z,2008-09-12T07:52:24Z,2445.261,3652.2900000000004,NA,NA,NA,NA,NA,NA,NA,NA
2008-09-11T22:30:00Z,2008-09-12T08:22:24Z,3933.501,4721.004000000001,NA,NA,NA,NA,NA,NA,NA,NA
2008-09-11T23:00:00Z,2008-09-12T08:52:24Z,4462.652999999999,4433.778,NA,NA,NA,NA,NA,NA,NA,NA
2008-09-11T23:30:00Z,2008-09-12T09:22:24Z,6428.37,5744.52,NA,NA,NA,NA,NA,NA,NA,NA
2008-09-12T00:00:00Z,2008-09-12T09:52:24Z,7013.330999999999,6267.942000000001,NA,NA,NA,NA,NA,NA,NA,NA
2008-09-12T00:30:00Z,2008-09-12T10:22:24Z,6949.253999999999,6227.118,NA,NA,NA,NA,NA,NA,NA,NA
2008-09-12T01:00:00Z,2008-09-12T10:52:24Z,6453.173999999999,6053.616000000001,NA,NA,NA,NA,NA,NA,NA,NA
2008-09-12T01:30:00Z,2008-09-12T11:22:24Z,7075.3409999999985,6956.118,NA,NA,NA,NA,NA,NA,NA,NA
2008-09-12T02:00:00Z,2008-09-12T11:52:24Z,7224.165,7112.124000000001,NA,NA,NA,NA,NA,NA,NA,NA
2008-09-12T02:30:00Z,2008-09-12T12:22:24Z,7217.964,7068.384,NA,NA,NA,NA,NA,NA,NA,NA
2008-09-12T03:00:00Z,2008-09-12T12:52:24Z,8373.417,8135.64,NA,NA,NA,NA,NA,NA,NA,NA
2008-09-12T03:30:00Z,2008-09-12T13:22:24Z,6645.405,6826.356000000001,NA,NA,NA,NA,NA,NA,NA,NA
2008-09-12T04:00:00Z,2008-09-12T13:52:24Z,5729.723999999999,6002.586000000001,NA,NA,NA,NA,NA,NA,NA,NA
2008-09-12T04:30:00Z,2008-09-12T14:22:24Z,5293.5869999999995,5522.904,NA,NA,NA,NA,NA,NA,NA,NA
2008-09-12T05:00:00Z,2008-09-12T14:52:24Z,4210.479,4815.774,NA,NA,NA,NA,NA,NA,NA,NA
2008-09-12T05:30:00Z,2008-09-12T15:22:24Z,5312.19,5536.026,NA,NA,NA,NA,NA,NA,NA,NA
2008-09-12T06:00:00Z,2008-09-12T15:52:24Z,3807.414,4378.374000000001,NA,NA,NA,NA,NA,NA,NA,NA
2008-09-12T06:30:00Z,2008-09-12T16:22:24Z,2726.3729999999996,3211.9740000000006,NA,NA,NA,NA,NA,NA,NA,NA
2008-09-12T07:00:00Z,2008-09-12T16:52:24Z,1744.5479999999998,1533.816,NA,NA,NA,NA,NA,NA,NA,NA
2008-09-12T07:30:00Z,2008-09-12T17:22:24Z,1397.292,1393.8480000000002,NA,NA,NA,NA,NA,NA,NA,NA
2008-09-12T08:00:00Z,2008-09-12T17:52:24Z,1320.8129999999999,953.532,NA,NA,NA,NA,NA,NA,NA,NA
2008-09-12T08:30:00Z,2008-09-12T18:22:24Z,1250.5349999999999,747.9540000000001,NA,NA,NA,NA,NA,NA,NA,NA
2008-09-12T09:00:00Z,2008-09-12T18:52:24Z,1120.3139999999999,736.2900000000001,NA,NA,NA,NA,NA,NA,NA,NA
2008-09-12T09:30:00Z,2008-09-12T19:22:24Z,932.2169999999999,677.9700000000001,NA,NA,NA,NA,NA,NA,NA,NA
2008-09-12T10:00:00Z,2008-09-12T19:52:24Z,959.0879999999999,644.436,NA,NA,NA,NA,NA,NA,NA,NA
2008-09-12T10:30:00Z,2008-09-12T20:22:24Z,1151.319,771.282,NA,NA,NA,NA,NA,NA,NA,NA
2008-09-12T11:00:00Z,2008-09-12T20:52:24Z,1089.3089999999997,784.404,NA,NA,NA,NA,NA,NA,NA,NA
