TIMESTAMP,solar_TIMESTAMP,ta,ppfd_in,ws,precip,sw_in,ext_rad
2008-04-29T07:00:00Z,2008-04-29T14:55:37Z,,OUT_WARN,,,CALCULATED,CALCULATED
2008-04-29T08:00:00Z,2008-04-29T15:55:37Z,,OUT_WARN,,,CALCULATED,CALCULATED
2008-04-29T09:00:00Z,2008-04-29T16:55:37Z,,OUT_WARN,,,CALCULATED,CALCULATED
2008-04-29T10:00:00Z,2008-04-29T17:55:37Z,,,,,CALCULATED,CALCULATED
2008-04-29T11:00:00Z,2008-04-29T18:55:37Z,,,,,CALCULATED,CALCULATED
2008-04-29T12:00:00Z,2008-04-29T19:55:37Z,,,,,CALCULATED,CALCULATED
2008-04-29T13:00:00Z,2008-04-29T20:55:37Z,,,,,CALCULATED,CALCULATED
2008-04-29T14:00:00Z,2008-04-29T21:55:37Z,,,,,CALCULATED,CALCULATED
2008-04-29T15:00:00Z,2008-04-29T22:55:37Z,,,,,CALCULATED,CALCULATED
2008-04-29T16:00:00Z,2008-04-29T23:55:37Z,,,,,CALCULATED,CALCULATED
2008-04-29T17:00:00Z,2008-04-30T00:55:44Z,,,,,CALCULATED,CALCULATED
2008-04-29T18:00:00Z,2008-04-30T01:55:44Z,,,,,CALCULATED,CALCULATED
2008-04-29T19:00:00Z,2008-04-30T02:55:44Z,,,,,CALCULATED,CALCULATED
2008-04-29T20:00:00Z,2008-04-30T03:55:44Z,,,,,CALCULATED,CALCULATED
2008-04-29T21:00:00Z,2008-04-30T04:55:44Z,,,,,CALCULATED,CALCULATED
2008-04-29T22:00:00Z,2008-04-30T05:55:44Z,,,,,CALCULATED,CALCULATED
2008-04-29T23:00:00Z,2008-04-30T06:55:44Z,NA_ADDED,NA_ADDED,NA_ADDED,NA_ADDED,CALCULATED,CALCULATED
2008-04-29T23:00:01Z,2008-04-30T06:55:45Z,,,,,CALCULATED,CALCULATED
2008-04-30T00:00:00Z,2008-04-30T07:55:44Z,NA_ADDED,NA_ADDED,NA_ADDED,NA_ADDED,CALCULATED,CALCULATED
2008-04-30T00:00:01Z,2008-04-30T07:55:45Z,,,,,CALCULATED,CALCULATED
2008-04-30T01:00:00Z,2008-04-30T08:55:44Z,NA_ADDED,NA_ADDED,NA_ADDED,NA_ADDED,CALCULATED,CALCULATED
2008-04-30T01:00:01Z,2008-04-30T08:55:45Z,,OUT_WARN,,,CALCULATED,CALCULATED
2008-04-30T02:00:00Z,2008-04-30T09:55:44Z,NA_ADDED,NA_ADDED,NA_ADDED,NA_ADDED,CALCULATED,CALCULATED
2008-04-30T02:00:01Z,2008-04-30T09:55:45Z,,OUT_WARN,,,CALCULATED,CALCULATED
2008-04-30T03:00:00Z,2008-04-30T10:55:44Z,NA_ADDED,NA_ADDED,NA_ADDED,NA_ADDED,CALCULATED,CALCULATED
2008-04-30T03:00:01Z,2008-04-30T10:55:45Z,,OUT_WARN,,,CALCULATED,CALCULATED
2008-04-30T04:00:00Z,2008-04-30T11:55:44Z,NA_ADDED,NA_ADDED,NA_ADDED,NA_ADDED,CALCULATED,CALCULATED
2008-04-30T04:00:01Z,2008-04-30T11:55:45Z,,OUT_WARN,,,CALCULATED,CALCULATED
2008-04-30T05:00:00Z,2008-04-30T12:55:44Z,NA_ADDED,NA_ADDED,NA_ADDED,NA_ADDED,CALCULATED,CALCULATED
2008-04-30T05:00:01Z,2008-04-30T12:55:45Z,,OUT_WARN,,,CALCULATED,CALCULATED
2008-04-30T06:00:00Z,2008-04-30T13:55:44Z,NA_ADDED,NA_ADDED,NA_ADDED,NA_ADDED,CALCULATED,CALCULATED
2008-04-30T06:00:01Z,2008-04-30T13:55:45Z,,OUT_WARN,,,CALCULATED,CALCULATED
2008-04-30T07:00:00Z,2008-04-30T14:55:44Z,NA_ADDED,NA_ADDED,NA_ADDED,NA_ADDED,CALCULATED,CALCULATED
2008-04-30T07:00:01Z,2008-04-30T14:55:45Z,,OUT_WARN,,,CALCULATED,CALCULATED
2008-04-30T08:00:00Z,2008-04-30T15:55:44Z,NA_ADDED,NA_ADDED,NA_ADDED,NA_ADDED,CALCULATED,CALCULATED
2008-04-30T08:00:01Z,2008-04-30T15:55:45Z,,OUT_WARN,,,CALCULATED,CALCULATED
2008-04-30T09:00:00Z,2008-04-30T16:55:44Z,NA_ADDED,NA_ADDED,NA_ADDED,NA_ADDED,CALCULATED,CALCULATED
2008-04-30T09:00:01Z,2008-04-30T16:55:45Z,,OUT_WARN,,,CALCULATED,CALCULATED
2008-04-30T10:00:00Z,2008-04-30T17:55:44Z,NA_ADDED,NA_ADDED,NA_ADDED,NA_ADDED,CALCULATED,CALCULATED
2008-04-30T10:00:01Z,2008-04-30T17:55:45Z,,,,,CALCULATED,CALCULATED
2008-04-30T11:00:00Z,2008-04-30T18:55:44Z,NA_ADDED,NA_ADDED,NA_ADDED,NA_ADDED,CALCULATED,CALCULATED
2008-04-30T11:00:01Z,2008-04-30T18:55:45Z,,,,,CALCULATED,CALCULATED
2008-04-30T12:00:00Z,2008-04-30T19:55:44Z,NA_ADDED,NA_ADDED,NA_ADDED,NA_ADDED,CALCULATED,CALCULATED
2008-04-30T12:00:01Z,2008-04-30T19:55:45Z,,,,,CALCULATED,CALCULATED
2008-04-30T13:00:00Z,2008-04-30T20:55:44Z,NA_ADDED,NA_ADDED,NA_ADDED,NA_ADDED,CALCULATED,CALCULATED
2008-04-30T13:00:01Z,2008-04-30T20:55:45Z,,,,,CALCULATED,CALCULATED
2008-04-30T14:00:00Z,2008-04-30T21:55:44Z,NA_ADDED,NA_ADDED,NA_ADDED,NA_ADDED,CALCULATED,CALCULATED
2008-04-30T14:00:01Z,2008-04-30T21:55:45Z,,,,,CALCULATED,CALCULATED
2008-04-30T15:00:00Z,2008-04-30T22:55:44Z,NA_ADDED,NA_ADDED,NA_ADDED,NA_ADDED,CALCULATED,CALCULATED
2008-04-30T15:00:01Z,2008-04-30T22:55:45Z,,,,,CALCULATED,CALCULATED
2008-04-30T16:00:00Z,2008-04-30T23:55:44Z,NA_ADDED,NA_ADDED,NA_ADDED,NA_ADDED,CALCULATED,CALCULATED
2008-04-30T16:00:01Z,2008-04-30T23:55:45Z,,,,,CALCULATED,CALCULATED
2008-04-30T17:00:00Z,2008-05-01T00:55:49Z,NA_ADDED,NA_ADDED,NA_ADDED,NA_ADDED,CALCULATED,CALCULATED
2008-04-30T17:00:01Z,2008-05-01T00:55:50Z,,,,,CALCULATED,CALCULATED
2008-04-30T18:00:00Z,2008-05-01T01:55:49Z,NA_ADDED,NA_ADDED,NA_ADDED,NA_ADDED,CALCULATED,CALCULATED
2008-04-30T18:00:01Z,2008-05-01T01:55:50Z,,,,,CALCULATED,CALCULATED
2008-04-30T19:00:00Z,2008-05-01T02:55:49Z,NA_ADDED,NA_ADDED,NA_ADDED,NA_ADDED,CALCULATED,CALCULATED
2008-04-30T19:00:01Z,2008-05-01T02:55:50Z,,,,,CALCULATED,CALCULATED
2008-04-30T20:00:00Z,2008-05-01T03:55:49Z,NA_ADDED,NA_ADDED,NA_ADDED,NA_ADDED,CALCULATED,CALCULATED
2008-04-30T20:00:01Z,2008-05-01T03:55:50Z,,,,,CALCULATED,CALCULATED
2008-04-30T21:00:00Z,2008-05-01T04:55:49Z,NA_ADDED,NA_ADDED,NA_ADDED,NA_ADDED,CALCULATED,CALCULATED
2008-04-30T21:00:01Z,2008-05-01T04:55:50Z,,,,,CALCULATED,CALCULATED
2008-04-30T22:00:00Z,2008-05-01T05:55:49Z,NA_ADDED,NA_ADDED,NA_ADDED,NA_ADDED,CALCULATED,CALCULATED
2008-04-30T22:00:01Z,2008-05-01T05:55:50Z,,OUT_WARN,,,CALCULATED,CALCULATED
2008-04-30T23:00:00Z,2008-05-01T06:55:49Z,NA_ADDED,NA_ADDED,NA_ADDED,NA_ADDED,CALCULATED,CALCULATED
2008-04-30T23:00:01Z,2008-05-01T06:55:50Z,,OUT_WARN,,,CALCULATED,CALCULATED
2008-05-01T00:00:00Z,2008-05-01T07:55:49Z,NA_ADDED,NA_ADDED,NA_ADDED,NA_ADDED,CALCULATED,CALCULATED
2008-05-01T00:00:01Z,2008-05-01T07:55:50Z,,OUT_WARN,,,CALCULATED,CALCULATED
2008-05-01T01:00:00Z,2008-05-01T08:55:49Z,NA_ADDED,NA_ADDED,NA_ADDED,NA_ADDED,CALCULATED,CALCULATED
2008-05-01T01:00:01Z,2008-05-01T08:55:50Z,,OUT_WARN,,,CALCULATED,CALCULATED
2008-05-01T02:00:00Z,2008-05-01T09:55:49Z,NA_ADDED,NA_ADDED,NA_ADDED,NA_ADDED,CALCULATED,CALCULATED
2008-05-01T02:00:01Z,2008-05-01T09:55:50Z,,OUT_WARN,OUT_WARN,,CALCULATED,CALCULATED
2008-05-01T03:00:00Z,2008-05-01T10:55:49Z,NA_ADDED,NA_ADDED,NA_ADDED,NA_ADDED,CALCULATED,CALCULATED
2008-05-01T03:00:01Z,2008-05-01T10:55:50Z,,OUT_WARN,OUT_WARN,,CALCULATED,CALCULATED
2008-05-01T04:00:00Z,2008-05-01T11:55:49Z,NA_ADDED,NA_ADDED,NA_ADDED,NA_ADDED,CALCULATED,CALCULATED
2008-05-01T04:00:01Z,2008-05-01T11:55:50Z,,OUT_WARN,OUT_WARN,,CALCULATED,CALCULATED
2008-05-01T05:00:00Z,2008-05-01T12:55:49Z,NA_ADDED,NA_ADDED,NA_ADDED,NA_ADDED,CALCULATED,CALCULATED
2008-05-01T05:00:01Z,2008-05-01T12:55:50Z,,OUT_WARN,OUT_WARN,,CALCULATED,CALCULATED
2008-05-01T06:00:00Z,2008-05-01T13:55:49Z,NA_ADDED,NA_ADDED,NA_ADDED,NA_ADDED,CALCULATED,CALCULATED
2008-05-01T06:00:01Z,2008-05-01T13:55:50Z,,OUT_WARN,,,CALCULATED,CALCULATED
2008-05-01T07:00:00Z,2008-05-01T14:55:49Z,NA_ADDED,NA_ADDED,NA_ADDED,NA_ADDED,CALCULATED,CALCULATED
2008-05-01T07:00:01Z,2008-05-01T14:55:50Z,,OUT_WARN,,,CALCULATED,CALCULATED
2008-05-01T08:00:00Z,2008-05-01T15:55:49Z,NA_ADDED,NA_ADDED,NA_ADDED,NA_ADDED,CALCULATED,CALCULATED
2008-05-01T08:00:01Z,2008-05-01T15:55:50Z,,OUT_WARN,,,CALCULATED,CALCULATED
2008-05-01T09:00:00Z,2008-05-01T16:55:49Z,NA_ADDED,NA_ADDED,NA_ADDED,NA_ADDED,CALCULATED,CALCULATED
2008-05-01T09:00:01Z,2008-05-01T16:55:50Z,,OUT_WARN,,,CALCULATED,CALCULATED
