TIMESTAMP,solar_TIMESTAMP,MEX_VER_BSJ_Pme_Jt_1,MEX_VER_BSJ_Spe_Jt_2,MEX_VER_BSJ_Lst_Jt_3,MEX_VER_BSJ_Cma_Jt_4,MEX_VER_BSJ_Pme_Jt_5,MEX_VER_BSJ_Lst_Jt_6,MEX_VER_BSJ_Tin_Jt_7,MEX_VER_BSJ_Pme_Jt_8
2016-02-26T21:15:00Z,2016-02-26T14:34:17Z,-209.1349150884435,NA,6.681209123586697,-0.35434678233221656,-97.39265996467344,NA,25.780062033956636,861.2016905205044
2016-02-26T21:30:00Z,2016-02-26T14:49:17Z,213.93390690358905,NA,15.788644838744665,-8.154978892544534,-126.74977048466843,NA,24.101215131559623,684.7670009607255
2016-02-26T21:45:00Z,2016-02-26T15:04:17Z,53.52414246661759,NA,8.89492975945684,-9.657088011496946,-18.52503609676151,NA,18.5877248792731,601.78981914487
2016-02-26T22:00:00Z,2016-02-26T15:19:17Z,97.85259474908801,NA,-18.305749157331736,-13.443912694579376,-84.04146502168027,NA,-1.8868932022216476,466.2790699785231
2016-02-26T22:15:00Z,2016-02-26T15:34:17Z,-42.82259620862608,NA,0.8376534699790732,-14.154874998415991,-164.92343035683894,NA,-17.098202528296248,546.7806717297117
2016-02-26T22:30:00Z,2016-02-26T15:49:17Z,76.05087034085675,NA,-20.64019350996289,-13.581874759050152,-80.48327367395231,NA,6.174682006789068,589.5558561807103
2016-02-26T22:45:00Z,2016-02-26T16:04:17Z,65.70803200306463,NA,11.905457558327992,-10.663287584320852,-68.10104715762097,NA,3.5166174239562555,538.7172108818327
2016-02-26T23:00:00Z,2016-02-26T16:19:17Z,86.1417883515997,NA,2.348431022069193,-18.984109128938307,-138.34443746130407,NA,-21.275483305536422,400.12222234296416
2016-02-26T23:15:00Z,2016-02-26T16:34:17Z,5.451170287731031,NA,19.130149946654775,-0.4349919186932021,-2.8865730143954167,NA,7.4462748419887985,279.45798922822144
2016-02-26T23:30:00Z,2016-02-26T16:49:17Z,-95.28319466778586,NA,-5.271831347646938,-27.197733723954148,15.907671377356678,NA,-7.867603941277692,510.276079244712
2016-02-26T23:45:00Z,2016-02-26T17:04:17Z,167.49595325742717,NA,-12.93863314459471,-5.719497452213875,-88.31243178346985,NA,-8.96602608918764,439.31555563113704
2016-02-27T00:00:00Z,2016-02-26T17:19:17Z,193.04198314913725,NA,-19.59178756277852,-15.786751948164587,-116.59363778659929,NA,1.6532445589547167,529.065679493593
2016-02-27T00:15:00Z,2016-02-26T17:34:17Z,-9.575790951286779,NA,-16.75657548519709,-14.033610509329076,-96.35646280624263,NA,-2.561296296702787,281.4910323005446
2016-02-27T00:30:00Z,2016-02-26T17:49:17Z,-73.61801793164324,NA,17.855720405143593,-4.786814476147052,-186.07202021408483,NA,2.8596018360278337,134.33276011766404
2016-02-27T00:45:00Z,2016-02-26T18:04:17Z,-46.98178662879763,NA,8.335367285052493,-19.88058922065504,-109.41356097904571,NA,-1.348629123745154,280.8259108654451
2016-02-27T01:00:00Z,2016-02-26T18:19:17Z,-43.62973572691192,NA,21.923349009488362,-13.135741188898885,-29.06197028257874,NA,22.651881559162796,354.04719116597835
2016-02-27T01:15:00Z,2016-02-26T18:34:17Z,-41.170382209379724,NA,-3.2662216508953503,-14.858814956442492,-182.83552437986154,NA,-17.878498564581466,287.3471764404458
2016-02-27T01:30:00Z,2016-02-26T18:49:17Z,97.78826888347011,NA,-9.7742238282578,-25.56602943076132,-67.86960710790984,NA,-17.73506202693083,145.09683614231648
2016-02-27T01:45:00Z,2016-02-26T19:04:17Z,91.3910591712399,NA,-7.583364834377596,-18.794359414732625,-127.86115370315696,NA,-18.242302153599237,28.31101571898622
2016-02-27T02:00:00Z,2016-02-26T19:19:17Z,-105.02684145515923,NA,-11.235685373658152,-20.04581089174947,-215.48698640237373,NA,-19.712603253728453,-18.22494015446201
2016-02-27T02:15:00Z,2016-02-26T19:34:17Z,-23.277961345133207,NA,-9.710447832173463,-30.058300320199905,-44.677369731373396,NA,8.054390123760589,177.74820926857748
