TIMESTAMP,solar_TIMESTAMP,ta,rh,vpd,ppfd_in,swc_shallow,swc_deep,sw_in,ext_rad
2007-10-01T20:45:00Z,2007-10-01T20:21:47Z,,,,,,,CALCULATED,CALCULATED
2007-10-01T21:00:00Z,2007-10-01T20:36:47Z,,,,,,,CALCULATED,CALCULATED
2007-10-01T21:15:00Z,2007-10-01T20:51:47Z,,,,,,,CALCULATED,CALCULATED
2007-10-01T21:30:00Z,2007-10-01T21:06:47Z,,,,,,,CALCULATED,CALCULATED
2007-10-01T21:45:00Z,2007-10-01T21:21:47Z,,,,,,,CALCULATED,CALCULATED
2007-10-01T22:00:00Z,2007-10-01T21:36:47Z,,,,,,,CALCULATED,CALCULATED
2007-10-01T22:15:00Z,2007-10-01T21:51:47Z,,,,,,,CALCULATED,CALCULATED
2007-10-01T22:30:00Z,2007-10-01T22:06:47Z,,,,,,,CALCULATED,CALCULATED
2007-10-01T22:45:00Z,2007-10-01T22:21:47Z,,,,,,,CALCULATED,CALCULATED
2007-10-01T23:00:00Z,2007-10-01T22:36:47Z,,,,,,,CALCULATED,CALCULATED
2007-10-01T23:15:00Z,2007-10-01T22:51:47Z,,,,,,,CALCULATED,CALCULATED
2007-10-01T23:30:00Z,2007-10-01T23:06:47Z,,,,,,,CALCULATED,CALCULATED
2007-10-01T23:45:00Z,2007-10-01T23:21:47Z,,,,,,,CALCULATED,CALCULATED
2007-10-02T00:00:00Z,2007-10-01T23:36:47Z,,,,,,,CALCULATED,CALCULATED
2007-10-02T00:15:00Z,2007-10-01T23:51:47Z,,,,OUT_WARN,,,CALCULATED,CALCULATED
2007-10-02T00:30:00Z,2007-10-02T00:06:47Z,,,,,,,CALCULATED,CALCULATED
2007-10-02T00:45:00Z,2007-10-02T00:22:04Z,,,,,,,CALCULATED,CALCULATED
2007-10-02T01:00:00Z,2007-10-02T00:37:04Z,,,,,,,CALCULATED,CALCULATED
2007-10-02T01:15:00Z,2007-10-02T00:52:04Z,,,,,,,CALCULATED,CALCULATED
2007-10-02T01:30:00Z,2007-10-02T01:07:04Z,,,,OUT_WARN,,,CALCULATED,CALCULATED
2007-10-02T01:45:00Z,2007-10-02T01:22:04Z,,,,,,,CALCULATED,CALCULATED
2007-10-02T02:00:00Z,2007-10-02T01:37:04Z,,,,,,,CALCULATED,CALCULATED
2007-10-02T02:15:00Z,2007-10-02T01:52:04Z,,,,,,,CALCULATED,CALCULATED
2007-10-02T02:30:00Z,2007-10-02T02:07:04Z,,,,,,,CALCULATED,CALCULATED
2007-10-02T02:45:00Z,2007-10-02T02:22:04Z,,,,,,,CALCULATED,CALCULATED
2007-10-02T03:00:00Z,2007-10-02T02:37:04Z,,,,,,,CALCULATED,CALCULATED
2007-10-02T03:15:00Z,2007-10-02T02:52:04Z,,,,,,,CALCULATED,CALCULATED
2007-10-02T03:30:00Z,2007-10-02T03:07:04Z,,,,,,,CALCULATED,CALCULATED
2007-10-02T03:45:00Z,2007-10-02T03:22:04Z,,,,,,,CALCULATED,CALCULATED
2007-10-02T04:00:00Z,2007-10-02T03:37:04Z,,,,,,,CALCULATED,CALCULATED
2007-10-02T04:15:00Z,2007-10-02T03:52:04Z,,,,,,,CALCULATED,CALCULATED
2007-10-02T04:30:00Z,2007-10-02T04:07:04Z,,,,,,,CALCULATED,CALCULATED
2007-10-02T04:45:00Z,2007-10-02T04:22:04Z,,,,,,,CALCULATED,CALCULATED
2007-10-02T05:00:00Z,2007-10-02T04:37:04Z,,,,,,,CALCULATED,CALCULATED
2007-10-02T05:15:00Z,2007-10-02T04:52:04Z,,,,,,,CALCULATED,CALCULATED
2007-10-02T05:30:00Z,2007-10-02T05:07:04Z,,,,,,,CALCULATED,CALCULATED
2007-10-02T05:45:00Z,2007-10-02T05:22:04Z,,,,,,,CALCULATED,CALCULATED
2007-10-02T06:00:00Z,2007-10-02T05:37:04Z,,,,,,,CALCULATED,CALCULATED
2007-10-02T06:15:00Z,2007-10-02T05:52:04Z,,,,,,,CALCULATED,CALCULATED
2007-10-02T06:30:00Z,2007-10-02T06:07:04Z,,,,,,,CALCULATED,CALCULATED
2007-10-02T06:45:00Z,2007-10-02T06:22:04Z,,,,,,,CALCULATED,CALCULATED
2007-10-02T07:00:00Z,2007-10-02T06:37:04Z,,,,,,,CALCULATED,CALCULATED
2007-10-02T07:15:00Z,2007-10-02T06:52:04Z,,,,,,,CALCULATED,CALCULATED
2007-10-02T07:30:00Z,2007-10-02T07:07:04Z,,,,,,,CALCULATED,CALCULATED
2007-10-02T07:45:00Z,2007-10-02T07:22:04Z,,,,,,,CALCULATED,CALCULATED
2007-10-02T08:00:00Z,2007-10-02T07:37:04Z,,,,,,,CALCULATED,CALCULATED
2007-10-02T08:15:00Z,2007-10-02T07:52:04Z,,,,,,,CALCULATED,CALCULATED
2007-10-02T08:30:00Z,2007-10-02T08:07:04Z,,,,,,,CALCULATED,CALCULATED
2007-10-02T08:45:00Z,2007-10-02T08:22:04Z,,,,,,,CALCULATED,CALCULATED
2007-10-02T09:00:00Z,2007-10-02T08:37:04Z,,,,,,,CALCULATED,CALCULATED
2007-10-02T09:15:00Z,2007-10-02T08:52:04Z,,,,,,,CALCULATED,CALCULATED
2007-10-02T09:30:00Z,2007-10-02T09:07:04Z,,,,,,,CALCULATED,CALCULATED
2007-10-02T09:45:00Z,2007-10-02T09:22:04Z,,,,,,,CALCULATED,CALCULATED
2007-10-02T10:00:00Z,2007-10-02T09:37:04Z,,,,,,,CALCULATED,CALCULATED
2007-10-02T10:15:00Z,2007-10-02T09:52:04Z,,,,,,,CALCULATED,CALCULATED
2007-10-02T10:30:00Z,2007-10-02T10:07:04Z,,,,,,,CALCULATED,CALCULATED
2007-10-02T10:45:00Z,2007-10-02T10:22:04Z,,,,,,,CALCULATED,CALCULATED
2007-10-02T11:00:00Z,2007-10-02T10:37:04Z,,,,,,,CALCULATED,CALCULATED
2007-10-02T11:15:00Z,2007-10-02T10:52:04Z,,,,,,,CALCULATED,CALCULATED
2007-10-02T11:30:00Z,2007-10-02T11:07:04Z,,,,,,,CALCULATED,CALCULATED
2007-10-02T11:45:00Z,2007-10-02T11:22:04Z,,,,,,,CALCULATED,CALCULATED
2007-10-02T12:00:00Z,2007-10-02T11:37:04Z,,,,,,,CALCULATED,CALCULATED
2007-10-02T12:15:00Z,2007-10-02T11:52:04Z,,,,,,,CALCULATED,CALCULATED
2007-10-02T12:30:00Z,2007-10-02T12:07:04Z,,,,,,,CALCULATED,CALCULATED
2007-10-02T12:45:00Z,2007-10-02T12:22:04Z,,,,,,,CALCULATED,CALCULATED
2007-10-02T13:00:00Z,2007-10-02T12:37:04Z,,,,,,,CALCULATED,CALCULATED
2007-10-02T13:15:00Z,2007-10-02T12:52:04Z,,,,,,,CALCULATED,CALCULATED
2007-10-02T13:30:00Z,2007-10-02T13:07:04Z,,,,,,,CALCULATED,CALCULATED
2007-10-02T13:45:00Z,2007-10-02T13:22:04Z,,,,,,,CALCULATED,CALCULATED
2007-10-02T14:00:00Z,2007-10-02T13:37:04Z,,,,,,,CALCULATED,CALCULATED
2007-10-02T14:15:00Z,2007-10-02T13:52:04Z,,,,,,,CALCULATED,CALCULATED
2007-10-02T14:30:00Z,2007-10-02T14:07:04Z,,,,,,,CALCULATED,CALCULATED
2007-10-02T14:45:00Z,2007-10-02T14:22:04Z,,,,,,,CALCULATED,CALCULATED
2007-10-02T15:00:00Z,2007-10-02T14:37:04Z,,,,,,,CALCULATED,CALCULATED
2007-10-02T15:15:00Z,2007-10-02T14:52:04Z,,,,,,,CALCULATED,CALCULATED
2007-10-02T15:30:00Z,2007-10-02T15:07:04Z,,,,,,,CALCULATED,CALCULATED
2007-10-02T15:45:00Z,2007-10-02T15:22:04Z,,,,,,,CALCULATED,CALCULATED
2007-10-02T16:00:00Z,2007-10-02T15:37:04Z,,,,,,,CALCULATED,CALCULATED
2007-10-02T16:15:00Z,2007-10-02T15:52:04Z,,,,,,,CALCULATED,CALCULATED
2007-10-02T16:30:00Z,2007-10-02T16:07:04Z,,,,,,,CALCULATED,CALCULATED
2007-10-02T16:45:00Z,2007-10-02T16:22:04Z,,,,,,,CALCULATED,CALCULATED
2007-10-02T17:00:00Z,2007-10-02T16:37:04Z,,,,,,,CALCULATED,CALCULATED
2007-10-02T17:15:00Z,2007-10-02T16:52:04Z,,,,,,,CALCULATED,CALCULATED
2007-10-02T17:30:00Z,2007-10-02T17:07:04Z,,,,,,,CALCULATED,CALCULATED
2007-10-02T17:45:00Z,2007-10-02T17:22:04Z,,,,,,,CALCULATED,CALCULATED
2007-10-02T18:00:00Z,2007-10-02T17:37:04Z,,,,,,,CALCULATED,CALCULATED
2007-10-02T18:15:00Z,2007-10-02T17:52:04Z,,,,,,,CALCULATED,CALCULATED
2007-10-02T18:30:00Z,2007-10-02T18:07:04Z,,,,,,,CALCULATED,CALCULATED
2007-10-02T18:45:00Z,2007-10-02T18:22:04Z,,,,,,,CALCULATED,CALCULATED
2007-10-02T19:00:00Z,2007-10-02T18:37:04Z,,,,,,,CALCULATED,CALCULATED
2007-10-02T19:15:00Z,2007-10-02T18:52:04Z,,,,,,,CALCULATED,CALCULATED
2007-10-02T19:30:00Z,2007-10-02T19:07:04Z,,,,,,,CALCULATED,CALCULATED
2007-10-02T19:45:00Z,2007-10-02T19:22:04Z,,,,,,,CALCULATED,CALCULATED
2007-10-02T20:00:00Z,2007-10-02T19:37:04Z,,,,,,,CALCULATED,CALCULATED
2007-10-02T20:15:00Z,2007-10-02T19:52:04Z,,,,,,,CALCULATED,CALCULATED
2007-10-02T20:30:00Z,2007-10-02T20:07:04Z,,,,,,,CALCULATED,CALCULATED
