TIMESTAMP,solar_TIMESTAMP,BRA_CAX_CON_Pan_Jt_1,BRA_CAX_CON_Pan_Jt_2,BRA_CAX_CON_Mbi_Jt_3,BRA_CAX_CON_Sra_Jt_4,BRA_CAX_CON_Eco_Jt_5,BRA_CAX_CON_Lme_Jt_6,BRA_CAX_CON_Egr_Jt_7,BRA_CAX_CON_Pte_Jt_8,BRA_CAX_CON_Egr_Jt_9,BRA_CAX_CON_Pte_Jt_10,BRA_CAX_CON_Loc_Jt_11,BRA_CAX_CON_Loc_Jt_12,BRA_CAX_CON_Pte_Jt_13,BRA_CAX_CON_Sra_Jt_14,BRA_CAX_CON_Pan_Jt_15,BRA_CAX_CON_Mbi_Jt_16
2014-12-13T05:00:00Z,2014-12-13T01:38:21Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-12-13T06:00:00Z,2014-12-13T02:38:21Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-12-13T07:00:00Z,2014-12-13T03:38:21Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-12-13T08:00:00Z,2014-12-13T04:38:21Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-12-13T09:00:00Z,2014-12-13T05:38:21Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-12-13T10:00:00Z,2014-12-13T06:38:21Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-12-13T11:00:00Z,2014-12-13T07:38:21Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-12-13T12:00:00Z,2014-12-13T08:38:21Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-12-13T13:00:00Z,2014-12-13T09:38:21Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-12-13T14:00:00Z,2014-12-13T10:38:21Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-12-13T15:00:00Z,2014-12-13T11:38:21Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
