TIMESTAMP,solar_TIMESTAMP,ITA_REN_Pab_Jt_1,ITA_REN_Pab_Jt_2,ITA_REN_Pab_Jt_3,ITA_REN_Pab_Jt_4,ITA_REN_Pab_Jt_5,ITA_REN_Lde_Jt_6,ITA_REN_Pce_Jt_7,ITA_REN_Pab_Jt_8
2016-01-05T06:00:00Z,2016-01-05T06:39:30Z,NA,NA,NA,NA,NA,NA,NA,NA
2016-01-05T06:30:00Z,2016-01-05T07:09:30Z,NA,NA,NA,NA,NA,NA,NA,NA
2016-01-05T07:00:00Z,2016-01-05T07:39:30Z,NA,NA,NA,NA,NA,NA,NA,NA
2016-01-05T07:30:00Z,2016-01-05T08:09:30Z,NA,NA,NA,NA,NA,NA,NA,NA
2016-01-05T08:00:00Z,2016-01-05T08:39:30Z,NA,NA,NA,NA,NA,NA,NA,NA
2016-01-05T08:30:00Z,2016-01-05T09:09:30Z,NA,NA,NA,NA,NA,NA,NA,NA
2016-01-05T09:00:00Z,2016-01-05T09:39:30Z,NA,NA,NA,NA,NA,NA,NA,NA
2016-01-05T09:30:00Z,2016-01-05T10:09:30Z,NA,NA,NA,NA,NA,NA,NA,NA
2016-01-05T10:00:00Z,2016-01-05T10:39:30Z,NA,NA,NA,NA,NA,NA,NA,NA
2016-01-05T10:30:00Z,2016-01-05T11:09:30Z,NA,NA,NA,NA,NA,NA,NA,NA
2016-01-05T11:00:00Z,2016-01-05T11:39:30Z,NA,NA,NA,NA,NA,NA,NA,NA
2016-01-05T11:30:00Z,2016-01-05T12:09:30Z,NA,NA,NA,NA,NA,NA,NA,NA
2016-01-05T12:00:00Z,2016-01-05T12:39:30Z,NA,NA,NA,NA,NA,NA,NA,NA
2016-01-05T12:30:00Z,2016-01-05T13:09:30Z,NA,NA,NA,NA,NA,NA,NA,NA
2016-01-05T13:00:00Z,2016-01-05T13:39:30Z,NA,NA,NA,NA,NA,NA,NA,NA
2016-01-05T13:30:00Z,2016-01-05T14:09:30Z,NA,NA,NA,NA,NA,NA,NA,NA
2016-01-05T14:00:00Z,2016-01-05T14:39:30Z,NA,NA,NA,NA,NA,NA,NA,NA
2016-01-05T14:30:00Z,2016-01-05T15:09:30Z,NA,NA,NA,NA,NA,NA,NA,NA
2016-01-05T15:00:00Z,2016-01-05T15:39:30Z,NA,NA,NA,NA,NA,NA,NA,NA
2016-01-05T15:30:00Z,2016-01-05T16:09:30Z,NA,NA,NA,NA,NA,NA,NA,NA
2016-01-05T16:00:00Z,2016-01-05T16:39:30Z,NA,NA,NA,NA,NA,NA,NA,NA
2016-01-05T16:30:00Z,2016-01-05T17:09:30Z,NA,NA,NA,NA,NA,NA,NA,NA
