TIMESTAMP,TIMESTAMP_solar,USA_TNO_Aru_Js_1,USA_TNO_Aru_Js_2,USA_TNO_Aru_Js_3,USA_TNO_Ltu_Js_4,USA_TNO_Qal_Js_5,USA_TNO_Qal_Js_6,USA_TNO_Qpr_Js_7,USA_TNO_Qpr_Js_8,USA_TNO_Qru_Js_9
1998-04-05T05:00:00Z,1998-04-04T23:20:09Z,,,,,,,,,
1998-04-05T06:00:00Z,1998-04-05T00:20:26Z,,,,,,,,,
1998-04-05T07:00:00Z,1998-04-05T01:20:26Z,,,,,,,,,
1998-04-05T08:00:00Z,1998-04-05T02:20:26Z,,,,,,,,,
1998-04-05T09:00:00Z,1998-04-05T03:20:26Z,,,,,,,,,
1998-04-05T10:00:00Z,1998-04-05T04:20:26Z,,,,,,,,,
1998-04-05T11:00:00Z,1998-04-05T05:20:26Z,,,,,,,,,
1998-04-05T12:00:00Z,1998-04-05T06:20:26Z,,,,,,,,,
1998-04-05T13:00:00Z,1998-04-05T07:20:26Z,,,,,,,,,
1998-04-05T14:00:00Z,1998-04-05T08:20:26Z,,,,,,,,,
1998-04-05T15:00:00Z,1998-04-05T09:20:26Z,,,,,,,,,
1998-04-05T16:00:00Z,1998-04-05T10:20:26Z,,,,,,,,,
1998-04-05T17:00:00Z,1998-04-05T11:20:26Z,,,,,,,,,
1998-04-05T18:00:00Z,1998-04-05T12:20:26Z,,,,,,,,,
1998-04-05T19:00:00Z,1998-04-05T13:20:26Z,,,,,,,,,
1998-04-05T20:00:00Z,1998-04-05T14:20:26Z,,,,,,,,,
1998-04-05T21:00:00Z,1998-04-05T15:20:26Z,,,,,,,,,
1998-04-05T22:00:00Z,1998-04-05T16:20:26Z,,,,,,,,,
1998-04-05T23:00:00Z,1998-04-05T17:20:26Z,,,,,,,,,
1998-04-06T00:00:00Z,1998-04-05T18:20:26Z,,,,,,,,,
1998-04-06T01:00:00Z,1998-04-05T19:20:26Z,,,,,,,,,
1998-04-06T02:00:00Z,1998-04-05T20:20:26Z,,,,,,,,,
1998-04-06T03:00:00Z,1998-04-05T21:20:26Z,,,,,,,,,
1998-04-06T04:00:00Z,1998-04-05T22:20:26Z,,,,,,,,,
1998-04-06T05:00:00Z,1998-04-05T23:20:26Z,,,,,,,,,
1998-04-06T06:00:00Z,1998-04-06T00:20:43Z,,,,,,,,,
1998-04-06T07:00:00Z,1998-04-06T01:20:43Z,,,,,,,,,
1998-04-06T08:00:00Z,1998-04-06T02:20:43Z,,,,,,,,,
1998-04-06T09:00:00Z,1998-04-06T03:20:43Z,,,,,,,,,
1998-04-06T10:00:00Z,1998-04-06T04:20:43Z,,,,,NA_PRESENT,,,,
1998-04-06T11:00:00Z,1998-04-06T05:20:43Z,,,,,NA_PRESENT,,,,
1998-04-06T12:00:00Z,1998-04-06T06:20:43Z,,,,,,,,,
1998-04-06T13:00:00Z,1998-04-06T07:20:43Z,,,,,,,,,
1998-04-06T14:00:00Z,1998-04-06T08:20:43Z,,,,,,,,,
1998-04-06T15:00:00Z,1998-04-06T09:20:43Z,,,,,,,,,
1998-04-06T16:00:00Z,1998-04-06T10:20:43Z,,,,,,,,,
1998-04-06T17:00:00Z,1998-04-06T11:20:43Z,,,,,,,,,
1998-04-06T18:00:00Z,1998-04-06T12:20:43Z,,,,,,,,,
1998-04-06T19:00:00Z,1998-04-06T13:20:43Z,,,,,,,,,
1998-04-06T20:00:00Z,1998-04-06T14:20:43Z,,,,,,,,,
1998-04-06T21:00:00Z,1998-04-06T15:20:43Z,,,,,,,,,
1998-04-06T22:00:00Z,1998-04-06T16:20:43Z,,,,,,,,,
1998-04-06T23:00:00Z,1998-04-06T17:20:43Z,,,,,,,,,
1998-04-07T00:00:00Z,1998-04-06T18:20:43Z,,,,,,,,,
1998-04-07T01:00:00Z,1998-04-06T19:20:43Z,,,,,,,,,
1998-04-07T02:00:00Z,1998-04-06T20:20:43Z,,,,,,,,,
1998-04-07T03:00:00Z,1998-04-06T21:20:43Z,,,,,,,,,
1998-04-07T04:00:00Z,1998-04-06T22:20:43Z,,,,,,,,,
1998-04-07T05:00:00Z,1998-04-06T23:20:43Z,,,,,,,,,
1998-04-07T06:00:00Z,1998-04-07T00:21:00Z,,,,,,,,,
1998-04-07T07:00:00Z,1998-04-07T01:21:00Z,,,,,,,,,
1998-04-07T08:00:00Z,1998-04-07T02:21:00Z,,,,,,,,,
1998-04-07T09:00:00Z,1998-04-07T03:21:00Z,,,,,,,,,
1998-04-07T10:00:00Z,1998-04-07T04:21:00Z,,,,,,,,,
1998-04-07T11:00:00Z,1998-04-07T05:21:00Z,,,,,,,,,
1998-04-07T12:00:00Z,1998-04-07T06:21:00Z,,,,,,,,,
1998-04-07T13:00:00Z,1998-04-07T07:21:00Z,,,,,,,,,
1998-04-07T14:00:00Z,1998-04-07T08:21:00Z,,,,,,,,,
1998-04-07T15:00:00Z,1998-04-07T09:21:00Z,,,,,,,,,
1998-04-07T16:00:00Z,1998-04-07T10:21:00Z,,,,,,,,,
1998-04-07T17:00:00Z,1998-04-07T11:21:00Z,,,,,,,,,
1998-04-07T18:00:00Z,1998-04-07T12:21:00Z,,OUT_WARN,,,,,,,
1998-04-07T19:00:00Z,1998-04-07T13:21:00Z,,OUT_WARN,,,,,,,
1998-04-07T20:00:00Z,1998-04-07T14:21:00Z,,,,,,,,,
1998-04-07T21:00:00Z,1998-04-07T15:21:00Z,,,,,,,,,
1998-04-07T22:00:00Z,1998-04-07T16:21:00Z,,,,,,,,,
1998-04-07T23:00:00Z,1998-04-07T17:21:00Z,,,,,,,,,
1998-04-08T00:00:00Z,1998-04-07T18:21:00Z,,,,,,,,,
1998-04-08T01:00:00Z,1998-04-07T19:21:00Z,,,,,,,,,
1998-04-08T02:00:00Z,1998-04-07T20:21:00Z,,,,,,,,,
1998-04-08T03:00:00Z,1998-04-07T21:21:00Z,,,,,,,,,
1998-04-08T04:00:00Z,1998-04-07T22:21:00Z,,,,,,,,,
1998-04-08T05:00:00Z,1998-04-07T23:21:00Z,,,,,,,,,
1998-04-08T06:00:00Z,1998-04-08T00:21:16Z,,,,,,,,,
1998-04-08T07:00:00Z,1998-04-08T01:21:16Z,,,,,,,,,
1998-04-08T08:00:00Z,1998-04-08T02:21:16Z,,,,,,,,,
1998-04-08T09:00:00Z,1998-04-08T03:21:16Z,,,,,,,,,
1998-04-08T10:00:00Z,1998-04-08T04:21:16Z,,,,,,,,,
1998-04-08T11:00:00Z,1998-04-08T05:21:16Z,,,,,,,,,
