TIMESTAMP,solar_TIMESTAMP,AUT_PAT_FOR_Pce_Js_1,AUT_PAT_FOR_Pce_Js_2,AUT_PAT_FOR_Pce_Js_3
2007-10-02T17:00:00Z,2007-10-02T17:57:55Z,3363.7011248168137,914.9993988370804,1012.6002888889967
2007-10-02T17:30:00Z,2007-10-02T18:27:55Z,2449.658061673111,708.8733945914611,760.3070006318281
2007-10-02T18:00:00Z,2007-10-02T18:57:55Z,1699.8958489634103,519.5413806527898,530.0169017697972
2007-10-02T18:30:00Z,2007-10-02T19:27:55Z,1091.0947390427134,410.07188071418324,398.003855737377
2007-10-02T19:00:00Z,2007-10-02T19:57:55Z,759.2987323202069,269.1037960115176,276.07672233510107
2007-10-02T19:30:00Z,2007-10-02T20:27:55Z,497.75615434168924,213.47276476727194,186.72552774118415
2007-10-02T20:00:00Z,2007-10-02T20:57:55Z,361.633513794588,144.34976308222883,125.30361439349518
2007-10-02T20:30:00Z,2007-10-02T21:27:55Z,236.6081540033499,112.22504391779604,87.53470584731691
2007-10-02T21:00:00Z,2007-10-02T21:57:55Z,178.88298733590818,67.65024769766575,52.89754703399586
2007-10-02T21:30:00Z,2007-10-02T22:27:55Z,124.91475472488099,67.65024769766575,37.038251823217955
2007-10-02T22:00:00Z,2007-10-02T22:57:55Z,99.55590377311128,40.87671492235416,22.433574842075757
2007-10-02T22:30:00Z,2007-10-02T23:27:55Z,75.45679287454418,28.619809473489703,0
2007-10-02T23:00:00Z,2007-10-02T23:57:55Z,98.82255989784788,95.50508330190286,86.15779908341791
2007-10-02T23:30:00Z,2007-10-03T00:28:12Z,98.82255989784788,80.84116008458221,68.68248716068057
2007-10-03T00:00:00Z,2007-10-03T00:58:12Z,52.436094782699406,80.84116008458221,68.68248716068057
2007-10-03T00:30:00Z,2007-10-03T01:28:12Z,52.436094782699406,66.71401282414418,52.06850389525413
2007-10-03T01:00:00Z,2007-10-03T01:58:12Z,52.436094782699406,53.17932947540824,36.458819253199366
2007-10-03T01:30:00Z,2007-10-03T02:28:12Z,31.754128590708564,53.17932947540824,36.458819253199366
2007-10-03T02:00:00Z,2007-10-03T02:58:12Z,13.494990351842583,28.225944134696917,22.083256266142634
2007-10-03T02:30:00Z,2007-10-03T03:28:12Z,31.754128590708564,17.09557246200136,9.386978023491018
2007-10-03T03:00:00Z,2007-10-03T03:58:12Z,13.494990351842583,17.09557246200136,9.386978023491018
2007-10-03T03:30:00Z,2007-10-03T04:28:12Z,0,7.266429893581902,0
2007-10-03T04:00:00Z,2007-10-03T04:58:12Z,0,7.266429893581902,0
2007-10-03T04:30:00Z,2007-10-03T05:28:12Z,0,0,9.386978023491018
2007-10-03T05:00:00Z,2007-10-03T05:58:12Z,0,0,0
2007-10-03T05:30:00Z,2007-10-03T06:28:12Z,0,7.266429893581902,0
2007-10-03T06:00:00Z,2007-10-03T06:58:12Z,0,0,9.386978023491018
2007-10-03T06:30:00Z,2007-10-03T07:28:12Z,0,7.266429893581902,22.083256266142634
2007-10-03T07:00:00Z,2007-10-03T07:58:12Z,52.436094782699406,28.225944134696917,36.458819253199366
2007-10-03T07:30:00Z,2007-10-03T08:28:12Z,177.55737585824298,53.17932947540824,52.06850389525413
2007-10-03T08:00:00Z,2007-10-03T08:58:12Z,565.2530860077206,126.28161776722177,104.39611806795928
2007-10-03T08:30:00Z,2007-10-03T09:28:12Z,1636.8656316689762,323.0175261637049,205.0024665021912
2007-10-03T09:00:00Z,2007-10-03T09:58:12Z,3082.0736805663587,674.2238570078332,391.57912909677947
2007-10-03T09:30:00Z,2007-10-03T10:28:12Z,4216.13425192217,1092.06482081562,689.0752664601255
2007-10-03T10:00:00Z,2007-10-03T10:58:12Z,4882.124807292103,1325.1936779866262,1028.0318126779762
2007-10-03T10:30:00Z,2007-10-03T11:28:12Z,5272.973829200205,1416.8105553179475,1370.1013090410604
2007-10-03T11:00:00Z,2007-10-03T11:58:12Z,5679.342505810901,1542.5661750724719,1705.2371721610434
2007-10-03T11:30:00Z,2007-10-03T12:28:12Z,6188.232171280323,1574.6528978928186,2066.472237832903
2007-10-03T12:00:00Z,2007-10-03T12:58:12Z,7090.547427415718,1639.6095956826246,2365.858300622387
2007-10-03T12:30:00Z,2007-10-03T13:28:12Z,6997.15475470887,1806.6141245956642,2544.3406919900744
2007-10-03T13:00:00Z,2007-10-03T13:58:12Z,7090.547427415718,1910.0209365715764,2681.80278566281
2007-10-03T13:30:00Z,2007-10-03T14:28:12Z,7090.547427415718,1910.0209365715764,2775.181037115241
2007-10-03T14:00:00Z,2007-10-03T14:58:12Z,6812.513982987734,1875.282435691235,2681.80278566281
2007-10-03T14:30:00Z,2007-10-03T15:28:12Z,6721.255059364387,1910.0209365715764,2681.80278566281
2007-10-03T15:00:00Z,2007-10-03T15:58:12Z,6101.769555648673,1672.4813835382358,2454.4185046807042
2007-10-03T15:30:00Z,2007-10-03T16:28:12Z,5114.80071867627,1447.8623422768987,2108.2442717699196
2007-10-03T16:00:00Z,2007-10-03T16:58:12Z,3730.1178242896704,1206.6049772408412,1628.522480341018
2007-10-03T16:30:00Z,2007-10-03T17:28:12Z,2659.6041335917466,901.3104415961077,1229.4449362170794
2007-10-03T17:00:00Z,2007-10-03T17:58:12Z,2207.1869598424687,650.2678133363071,995.5851530773122
2007-10-03T17:30:00Z,2007-10-03T18:28:12Z,1837.379206097615,468.0577899943422,807.7196234543051
2007-10-03T18:00:00Z,2007-10-03T18:58:12Z,1304.8639328600823,404.18725996680746,660.2577253267142
2007-10-03T18:30:00Z,2007-10-03T19:28:12Z,913.860856779696,303.4666540931449,468.33452702554195
2007-10-03T19:00:00Z,2007-10-03T19:58:12Z,638.8544801705486,228.40740981238315,342.3653102785479
2007-10-03T19:30:00Z,2007-10-03T20:28:12Z,425.17193437744675,175.64867773749862,271.6615437825162
2007-10-03T20:00:00Z,2007-10-03T20:58:12Z,295.4054508000314,142.3331647702167,163.04752680407483
2007-10-03T20:30:00Z,2007-10-03T21:28:12Z,205.7700103628155,110.66314354952915,104.39611806795928
2007-10-03T21:00:00Z,2007-10-03T21:58:12Z,123.99277470838268,80.84116008458221,68.68248716068057
2007-10-03T21:30:00Z,2007-10-03T22:28:12Z,123.99277470838268,53.17932947540824,52.06850389525413
2007-10-03T22:00:00Z,2007-10-03T22:58:12Z,98.82255989784788,53.17932947540824,36.458819253199366
2007-10-03T22:30:00Z,2007-10-03T23:28:12Z,52.436094782699406,53.17932947540824,36.458819253199366
2007-10-03T23:00:00Z,2007-10-03T23:58:12Z,98.09894794237023,53.17932947540824,22.132692983502164
2007-10-03T23:30:00Z,2007-10-04T00:28:29Z,98.09894794237023,28.225944134696917,22.132692983502164
2007-10-04T00:00:00Z,2007-10-04T00:58:29Z,98.09894794237023,28.225944134696917,9.407954050795219
2007-10-04T00:30:00Z,2007-10-04T01:28:29Z,52.053656659736994,17.09557246200136,0
2007-10-04T01:00:00Z,2007-10-04T01:58:29Z,74.35470034434229,28.225944134696917,0
2007-10-04T01:30:00Z,2007-10-04T02:28:29Z,52.053656659736994,17.09557246200136,0
2007-10-04T02:00:00Z,2007-10-04T02:58:29Z,52.053656659736994,17.09557246200136,9.407954050795219
2007-10-04T02:30:00Z,2007-10-04T03:28:29Z,31.522989083194997,0,9.407954050795219
