TIMESTAMP,solar_TIMESTAMP,AUS_BRI_BRI_Ncu_Jt_1,AUS_BRI_BRI_Ncu_Jt_2,AUS_BRI_BRI_Ncu_Jt_3,AUS_BRI_BRI_Ncu_Jt_4,AUS_BRI_BRI_Ncu_Jt_5
2009-09-10T20:00:00Z,2009-09-11T05:48:20Z,,,,,
2009-09-10T20:29:59Z,2009-09-11T06:18:19Z,,,,,
2009-09-10T21:00:00Z,2009-09-11T06:48:20Z,,,,,
2009-09-10T21:30:00Z,2009-09-11T07:18:20Z,,,,,
2009-09-10T21:59:59Z,2009-09-11T07:48:19Z,,,,,
2009-09-10T22:30:00Z,2009-09-11T08:18:20Z,,,,,
2009-09-10T23:00:00Z,2009-09-11T08:48:20Z,,,,,
2009-09-10T23:29:59Z,2009-09-11T09:18:19Z,,,,,
2009-09-11T00:00:00Z,2009-09-11T09:48:20Z,,,,,
2009-09-11T00:30:00Z,2009-09-11T10:18:20Z,,,,,
2009-09-11T00:59:59Z,2009-09-11T10:48:19Z,,,,,
2009-09-11T01:30:00Z,2009-09-11T11:18:20Z,,,,,
2009-09-11T02:00:00Z,2009-09-11T11:48:20Z,,,,,
2009-09-11T02:29:59Z,2009-09-11T12:18:19Z,,,,,
2009-09-11T03:00:00Z,2009-09-11T12:48:20Z,,,,,
2009-09-11T03:30:00Z,2009-09-11T13:18:20Z,,,,,
2009-09-11T03:59:59Z,2009-09-11T13:48:19Z,,,,,
2009-09-11T04:30:00Z,2009-09-11T14:18:20Z,,,,,
2009-09-11T05:00:00Z,2009-09-11T14:48:20Z,,,,,
2009-09-11T05:29:59Z,2009-09-11T15:18:19Z,,,,,
2009-09-11T06:00:00Z,2009-09-11T15:48:20Z,,,,,
2009-09-11T06:30:00Z,2009-09-11T16:18:20Z,,,,,
2009-09-11T06:59:59Z,2009-09-11T16:48:19Z,,,,,
2009-09-11T07:30:00Z,2009-09-11T17:18:20Z,,,,,
2009-09-11T08:00:00Z,2009-09-11T17:48:20Z,,,,,
2009-09-11T08:29:59Z,2009-09-11T18:18:19Z,,,,,
2009-09-11T09:00:00Z,2009-09-11T18:48:20Z,,,,,
2009-09-11T09:30:00Z,2009-09-11T19:18:20Z,,,,,
2009-09-11T09:59:59Z,2009-09-11T19:48:19Z,,,,,
2009-09-11T10:30:00Z,2009-09-11T20:18:20Z,,,,,
2009-09-11T11:00:00Z,2009-09-11T20:48:20Z,,,,,
2009-09-11T11:29:59Z,2009-09-11T21:18:19Z,,,,,
2009-09-11T12:00:00Z,2009-09-11T21:48:20Z,,,,,
2009-09-11T12:30:00Z,2009-09-11T22:18:20Z,,,,,
2009-09-11T12:59:59Z,2009-09-11T22:48:19Z,,,,,
2009-09-11T13:30:00Z,2009-09-11T23:18:20Z,,,,,
2009-09-11T14:00:00Z,2009-09-11T23:48:20Z,,,,,
2009-09-11T14:29:59Z,2009-09-12T00:18:41Z,,,,,
2009-09-11T15:00:00Z,2009-09-12T00:48:42Z,,,,,
2009-09-11T15:30:00Z,2009-09-12T01:18:42Z,,,,,
2009-09-11T15:59:59Z,2009-09-12T01:48:41Z,,,,,
2009-09-11T16:30:00Z,2009-09-12T02:18:42Z,,,,,
2009-09-11T17:00:00Z,2009-09-12T02:48:42Z,,,,,
2009-09-11T17:29:59Z,2009-09-12T03:18:41Z,,,,,
2009-09-11T18:00:00Z,2009-09-12T03:48:42Z,,,,,
2009-09-11T18:30:00Z,2009-09-12T04:18:42Z,,,,,
2009-09-11T18:59:59Z,2009-09-12T04:48:41Z,,,,,
2009-09-11T19:30:00Z,2009-09-12T05:18:42Z,,,,,
2009-09-11T20:00:00Z,2009-09-12T05:48:42Z,,,,,
2009-09-11T20:29:59Z,2009-09-12T06:18:41Z,,,,,
2009-09-11T21:00:00Z,2009-09-12T06:48:42Z,,,,,
2009-09-11T21:30:00Z,2009-09-12T07:18:42Z,,,,,
2009-09-11T21:59:59Z,2009-09-12T07:48:41Z,,,,,
2009-09-11T22:30:00Z,2009-09-12T08:18:42Z,,,,,
