TIMESTAMP,solar_TIMESTAMP,ta,rh,vpd,sw_in,precip,ppfd_in,ext_rad
2008-06-30T23:30:00Z,2008-06-30T20:25:13Z,,,,NA_PRESENT,NA_PRESENT,CALCULATED,CALCULATED
2008-07-01T00:00:00Z,2008-06-30T20:55:13Z,,,,,,CALCULATED,CALCULATED
2008-07-01T00:30:00Z,2008-06-30T21:25:13Z,,,,NA_PRESENT,NA_PRESENT,CALCULATED,CALCULATED
2008-07-01T01:00:00Z,2008-06-30T21:55:13Z,,,,,,CALCULATED,CALCULATED
2008-07-01T01:30:00Z,2008-06-30T22:25:13Z,,,,NA_PRESENT,NA_PRESENT,CALCULATED,CALCULATED
2008-07-01T02:00:00Z,2008-06-30T22:55:13Z,,,,,,CALCULATED,CALCULATED
2008-07-01T02:30:00Z,2008-06-30T23:25:13Z,,,,NA_PRESENT,NA_PRESENT,CALCULATED,CALCULATED
2008-07-01T03:00:00Z,2008-06-30T23:55:13Z,,,,,,CALCULATED,CALCULATED
2008-07-01T03:30:00Z,2008-07-01T00:25:03Z,,,,NA_PRESENT,NA_PRESENT,CALCULATED,CALCULATED
2008-07-01T04:00:00Z,2008-07-01T00:55:03Z,,,,,,CALCULATED,CALCULATED
2008-07-01T04:30:00Z,2008-07-01T01:25:03Z,,,,NA_PRESENT,NA_PRESENT,CALCULATED,CALCULATED
2008-07-01T05:00:00Z,2008-07-01T01:55:03Z,,,,,,CALCULATED,CALCULATED
2008-07-01T05:30:00Z,2008-07-01T02:25:03Z,,,,NA_PRESENT,NA_PRESENT,CALCULATED,CALCULATED
2008-07-01T06:00:00Z,2008-07-01T02:55:03Z,,,,,,CALCULATED,CALCULATED
2008-07-01T06:30:00Z,2008-07-01T03:25:03Z,,,,NA_PRESENT,NA_PRESENT,CALCULATED,CALCULATED
2008-07-01T07:00:00Z,2008-07-01T03:55:03Z,,,,,,CALCULATED,CALCULATED
2008-07-01T07:30:00Z,2008-07-01T04:25:03Z,,,,NA_PRESENT,NA_PRESENT,CALCULATED,CALCULATED
2008-07-01T08:00:00Z,2008-07-01T04:55:03Z,,,,,,CALCULATED,CALCULATED
2008-07-01T08:30:00Z,2008-07-01T05:25:03Z,,,,NA_PRESENT,NA_PRESENT,CALCULATED,CALCULATED
2008-07-01T09:00:00Z,2008-07-01T05:55:03Z,,,,,,CALCULATED,CALCULATED
2008-07-01T09:30:00Z,2008-07-01T06:25:03Z,,,,NA_PRESENT,NA_PRESENT,CALCULATED,CALCULATED
2008-07-01T10:00:00Z,2008-07-01T06:55:03Z,,,,OUT_WARN,,CALCULATED,CALCULATED
