TIMESTAMP,solar_TIMESTAMP,AUS_KAR_Evi_Js_1,AUS_KAR_Evi_Js_2,AUS_KAR_Evi_Js_3,AUS_KAR_Evi_Js_4,AUS_KAR_Evi_Js_5,AUS_KAR_Evi_Js_6,AUS_KAR_Evi_Js_7,AUS_KAR_Evi_Js_8,AUS_KAR_Evi_Js_9,AUS_KAR_Evi_Js_10,AUS_KAR_Evi_Js_11,AUS_KAR_Evi_Js_12,AUS_KAR_Evi_Js_13,AUS_KAR_Evi_Js_14
2008-06-08T07:00:00Z,2008-06-08T14:53:05Z,725.508835857263,771.4972208951574,2691.907394739531,452.8015702134641,1976.3254165385008,962.1295189482073,8799.436749859871,1873.7084920942152,413.7736335934872,7178.755368121504,2934.392869624113,6790.7830859527985,14328.605303635053,4398.340411348452
2008-06-08T08:00:00Z,2008-06-08T15:53:05Z,650.471784921247,642.8622718192134,2372.267892283625,374.4412005867297,1927.7333781795294,961.793368602689,7916.9219688189,1641.175652636344,382.5940906654804,6812.787645692164,2913.5384340686023,6127.945388800763,13648.34194723454,4417.953969481567
2008-06-08T09:00:00Z,2008-06-08T16:53:05Z,288.3954126336036,387.6755307373803,778.5935805105275,157.82886569263067,1496.6347814563412,758.7585599084273,3655.4874060363336,778.2731769610426,231.61946175091583,5495.317853477615,1588.4128414784968,3520.2800806236746,10196.248661511694,3351.4667459940547
2008-06-08T10:00:00Z,2008-06-08T17:53:05Z,122.50024580518294,204.3577085724719,525.2943521492401,58.09748616769845,831.2976408488768,351.34434113782015,1417.930244656802,253.09696811741208,83.22359202588561,3025.4192323741386,600.4339570359086,1377.7625735265854,3899.7027750968,2239.623169323758
2008-06-08T11:00:00Z,2008-06-08T18:53:05Z,97.18654187496018,156.96588522870255,412.9682062390261,50.97381620163192,701.7188718916185,262.60064992046017,945.4026453592656,213.5505668490662,63.062383816797684,2178.451405862131,541.3463896286122,1037.9283428638967,2820.6023003623854,1352.1096638008219
2008-06-08T12:00:00Z,2008-06-08T19:53:05Z,89.50202461042852,154.36193889113332,410.7066059858003,40.15639143834565,695.4891233840585,226.63256294978788,1028.7898687647132,297.3889375379584,59.07702870569888,1835.2846473340753,536.1327807397332,962.8894533760712,2054.6507672759417,1143.7156086365972
2008-06-08T13:00:00Z,2008-06-08T20:53:05Z,80.91344649124606,139.25905013322878,405.4295387282736,35.143438499261784,676.7998778613763,214.53115051105675,756.0441588760607,275.2429528276858,52.981779712253925,1566.3336849758089,512.6715407397767,867.3813021086631,1865.5689617683147,1395.0143222169845
2008-06-08T14:00:00Z,2008-06-08T21:53:05Z,71.42080751741273,130.92642185300582,328.53513011859735,29.07512704668652,692.9972239810328,180.91611595902657,542.3643988995993,292.6433693857568,47.589828679591015,1468.2957604793248,527.4434325916005,965.1975726660055,1355.4466770601819,1337.3994952009932
2008-06-08T15:00:00Z,2008-06-08T22:53:05Z,54.69568170637297,103.32459067476688,351.15113265085466,25.381372249466814,624.4699903978683,169.15085386581592,669.1824678287202,271.2883127008508,53.68507767303597,1353.905854802137,501.37538814720523,727.0140198017217,1342.7255891606535,990.484685721725
2008-06-08T16:00:00Z,2008-06-08T23:53:05Z,57.859894697650795,116.34432236261566,306.6729943374153,22.479136337365606,628.2078395024048,188.6475739059939,469.4005784198334,324.28049040043373,56.0294042089764,1509.7395487069723,533.5259762952929,867.3813021086631,1323.6683100579837,1097.1334080704762
2008-06-08T17:00:00Z,2008-06-09T00:52:53Z,66.44847281683333,114.26116529255992,321.75032935892017,30.130485560177874,643.1592359205484,205.11894083648824,653.5473634401991,208.01407067149802,50.40302052271922,1179.1778637725877,555.2493466656226,742.7494972205334,1894.17227524133,1205.0079778025447
2008-06-08T18:00:00Z,2008-06-09T01:52:53Z,69.16065538078577,116.34432236261566,343.61246514010224,29.602806303432175,646.8970850250848,206.12739187304965,808.1611735044662,270.4973846754842,48.99642460115511,1313.687367742086,470.0937348139309,800.7382037440289,1156.7962239174767,1189.0719618193987
2008-06-08T19:00:00Z,2008-06-09T02:52:53Z,67.35253367148412,139.77983940074316,325.5196631142964,33.29656110065193,639.4213868160119,210.83349671033392,962.7749835687332,336.1444107809378,67.28217158149077,1328.7726287060566,490.0792355546337,696.8577705096126,1228.3245116418916,1086.1007816206056
2008-06-08T20:00:00Z,2008-06-09T03:52:53Z,69.61268580811115,138.7382608657153,317.98099560354393,42.003268836955506,678.0458275628891,210.49734636481344,1105.228156886372,341.68090695850594,59.54589401288704,1495.9594685053721,508.3268666657111,829.7599843546485,1236.2421414229618,1197.6528935026304
2008-06-08T21:00:00Z,2008-06-09T04:52:53Z,68.7086249534603,140.30062866825665,337.5815311315003,45.43318400580241,655.6187329356706,237.72552435195817,1292.8494095486308,359.08132351657804,58.13929809132294,1588.9334706384145,502.24432296201866,884.1728843550371,1150.4287220401052,1110.6177292869836
2008-06-08T22:00:00Z,2008-06-09T05:52:53Z,75.03705093601587,145.50852134339598,306.6729943374153,45.69702363417539,655.6187329356706,235.70862227883592,1527.3759753764525,351.96297128827564,56.96713482335273,1610.337540168521,490.0792355546337,756.0279640269471,1158.395057314427,1234.4283150022002
2008-06-08T23:00:00Z,2008-06-09T06:52:53Z,143.293645462151,222.06454366794566,1459.335256731493,65.22115613376498,853.7247354760952,462.6101055050401,5748.854160277257,556.8133298583075,128.4690941695362,2837.032459786899,841.1289007391598,1083.655505481569,4536.985493825061,2015.2930981763832
