TIMESTAMP,solar_TIMESTAMP,SWE_SVA_MIX_NON_Psy_Jt_1,SWE_SVA_MIX_NON_Psy_Jt_2,SWE_SVA_MIX_NON_Psy_Jt_3,SWE_SVA_MIX_NON_Psy_Jt_4,SWE_SVA_MIX_NON_Psy_Jt_5,SWE_SVA_MIX_NON_Psy_Jt_6,SWE_SVA_MIX_NON_Psy_Jt_7,SWE_SVA_MIX_NON_Psy_Jt_8,SWE_SVA_MIX_NON_Psy_Jt_9,SWE_SVA_MIX_NON_Psy_Jt_10,SWE_SVA_MIX_NON_Pab_Jt_11,SWE_SVA_MIX_NON_Pab_Jt_12,SWE_SVA_MIX_NON_Pab_Jt_13,SWE_SVA_MIX_NON_Pab_Jt_14,SWE_SVA_MIX_NON_Pab_Jt_15,SWE_SVA_MIX_NON_Pab_Jt_16,SWE_SVA_MIX_NON_Pab_Jt_17,SWE_SVA_MIX_NON_Pab_Jt_18,SWE_SVA_MIX_NON_Pab_Jt_19,SWE_SVA_MIX_NON_Pab_Jt_20
2016-06-25T15:30:00Z,2016-06-25T16:45:57Z,,,,,,,,,,,,,,,,,,,,
2016-06-25T16:00:00Z,2016-06-25T17:15:57Z,,,,,,,,,,,,,,,,,,,,
2016-06-25T16:30:00Z,2016-06-25T17:45:57Z,,,,,,,,,,,,,,,,,,,,
2016-06-25T17:00:00Z,2016-06-25T18:15:57Z,,,,,,,,,,,,,,,,,,,,
2016-06-25T17:30:00Z,2016-06-25T18:45:57Z,,,,,,,,,,,,,,,,,,,,
2016-06-25T18:00:00Z,2016-06-25T19:15:57Z,,,,,,,,,,,,,,,,,,,,
2016-06-25T18:30:00Z,2016-06-25T19:45:57Z,,,,,,,,,,,,,,,,,,,,
2016-06-25T19:00:00Z,2016-06-25T20:15:57Z,,,,,,,,,,,,,,,,,,,,
2016-06-25T19:30:00Z,2016-06-25T20:45:57Z,,,,,,,,,,,,,,,,,,,,
2016-06-25T20:00:00Z,2016-06-25T21:15:57Z,,,,,,,,,,,,,,,,,,,,
2016-06-25T20:30:00Z,2016-06-25T21:45:57Z,,,,,,,,,,,,,,,,,,,,
2016-06-25T21:00:00Z,2016-06-25T22:15:57Z,,,,,,,,,,,,,,,,,,,,
2016-06-25T21:30:00Z,2016-06-25T22:45:57Z,,,,,,,,,,,,,,,,,,,,
2016-06-25T22:00:00Z,2016-06-25T23:15:57Z,,,,,,,,,,,,,,,,,,,,
2016-06-25T22:30:00Z,2016-06-25T23:45:57Z,,,,,,,,,,,,,,,,,,,,
2016-06-25T23:00:00Z,2016-06-26T00:15:46Z,,,,,,,,,,,,,,,,,,,,
2016-06-25T23:30:00Z,2016-06-26T00:45:46Z,,,,,,,,,,,,,,,,,,,,
2016-06-26T00:00:00Z,2016-06-26T01:15:46Z,,,,,,,,,,,,,,,,,,,,
2016-06-26T00:30:00Z,2016-06-26T01:45:46Z,,,,,,,,,,,,,,,,,,,,
2016-06-26T01:00:00Z,2016-06-26T02:15:46Z,,,,,,,,,,,,,,,,,,,,
2016-06-26T01:30:00Z,2016-06-26T02:45:46Z,,,,,,,,,,,,,,,,,,,,
2016-06-26T02:00:00Z,2016-06-26T03:15:46Z,,,,,,,,,,,,,,,,,,,,
2016-06-26T02:30:00Z,2016-06-26T03:45:46Z,,,,,,,,,,,,,,,,,,,,
2016-06-26T03:00:00Z,2016-06-26T04:15:46Z,,,,,,,,,,,,,,,,,,,,
2016-06-26T03:30:00Z,2016-06-26T04:45:46Z,,,,,,,,,,,,,,,,,,,,
2016-06-26T04:00:00Z,2016-06-26T05:15:46Z,,,,,,,,,,,,,,,,,,,,
2016-06-26T04:30:00Z,2016-06-26T05:45:46Z,,,,,,,,,,,,,,,,,,,,
2016-06-26T05:00:00Z,2016-06-26T06:15:46Z,,,,,,,,,,,,,,,,,,,,
2016-06-26T05:30:00Z,2016-06-26T06:45:46Z,,,,,,,,,,,,,,,,,,,,
2016-06-26T06:00:00Z,2016-06-26T07:15:46Z,,,,,,,,,,,,,,,,,,,,
2016-06-26T06:30:00Z,2016-06-26T07:45:46Z,,,,,,,,,,,,,,,,,,,,
2016-06-26T07:00:00Z,2016-06-26T08:15:46Z,,,,,,,,,,,,,,,,,,,,
2016-06-26T07:30:00Z,2016-06-26T08:45:46Z,,,,,,,,,,,,,,,,,,,,
2016-06-26T08:00:00Z,2016-06-26T09:15:46Z,,,,,,,,,,,,,,,,,,,,
2016-06-26T08:30:00Z,2016-06-26T09:45:46Z,,,,,,,,,,,,,,,,,,,,
2016-06-26T09:00:00Z,2016-06-26T10:15:46Z,,,,,,,,,,,,,,,,,,,,
2016-06-26T09:30:00Z,2016-06-26T10:45:46Z,,,,,,,,,,,,,,,,,,,,
2016-06-26T10:00:00Z,2016-06-26T11:15:46Z,,,,,,,,,,,,,,,,,,,,
2016-06-26T10:30:00Z,2016-06-26T11:45:46Z,,,,,,,,,,,,,,,,,,,,
2016-06-26T11:00:00Z,2016-06-26T12:15:46Z,,,,,,,,,,,,,,,,,,,,
2016-06-26T11:30:00Z,2016-06-26T12:45:46Z,,,,,,,,,,,,,,,,,,,,
2016-06-26T12:00:00Z,2016-06-26T13:15:46Z,,,,,,,,,,,,,,,,,,,,
2016-06-26T12:30:00Z,2016-06-26T13:45:46Z,,,,,,,,,,,,,,,,,,,,
2016-06-26T13:00:00Z,2016-06-26T14:15:46Z,,,,,,,,,,,,,,,,,,,,
2016-06-26T13:30:00Z,2016-06-26T14:45:46Z,,,,,,,,,,,,,,,,,,,,
2016-06-26T14:00:00Z,2016-06-26T15:15:46Z,,,,,,,,,,,,,,,,,,,,
2016-06-26T14:30:00Z,2016-06-26T15:45:46Z,,,,,,,,,,,,,,,,,,,,
2016-06-26T15:00:00Z,2016-06-26T16:15:46Z,,,,,,,,,,,,,,,,,,,,
2016-06-26T15:30:00Z,2016-06-26T16:45:46Z,,,,,,,,,,,,,,,,,,,,
2016-06-26T16:00:00Z,2016-06-26T17:15:46Z,,,,,,,,,,,,,,,,,,,,
2016-06-26T16:30:00Z,2016-06-26T17:45:46Z,,,,,,,,,,,,,,,,,,,,
2016-06-26T17:00:00Z,2016-06-26T18:15:46Z,,,,,,,,,,,,,,,,,,,,
2016-06-26T17:30:00Z,2016-06-26T18:45:46Z,,,,,,,,,,,,,,,,,,,,
2016-06-26T18:00:00Z,2016-06-26T19:15:46Z,,,,,,,,,,,,,,,,,,,,
2016-06-26T18:30:00Z,2016-06-26T19:45:46Z,,,,,,,,,,,,,,,,,,,,
2016-06-26T19:00:00Z,2016-06-26T20:15:46Z,,,,,,,,,,,,,,,,,,,,
2016-06-26T19:30:00Z,2016-06-26T20:45:46Z,,,,,,,,,,,,,,,,,,,,
2016-06-26T20:00:00Z,2016-06-26T21:15:46Z,,,,,,,,,,,,,,,,,,,,
2016-06-26T20:30:00Z,2016-06-26T21:45:46Z,,,,,,,,,,,,,,,,,,,,
2016-06-26T21:00:00Z,2016-06-26T22:15:46Z,,,,,,,,,,,,,,,,,,,,
2016-06-26T21:30:00Z,2016-06-26T22:45:46Z,,,,,,,,,,,,,,,,,,,,
2016-06-26T22:00:00Z,2016-06-26T23:15:46Z,,,,,,,,,,,,,,,,,,,,
2016-06-26T22:30:00Z,2016-06-26T23:45:46Z,,,,,,,,,,,,,,,,,,,,
2016-06-26T23:00:00Z,2016-06-27T00:15:35Z,,,,,,,,,,,,,,,,,,,,
2016-06-26T23:30:00Z,2016-06-27T00:45:35Z,,,,,,,,,,,,,,,,,,,,
2016-06-27T00:00:00Z,2016-06-27T01:15:35Z,,,,,,,,,,,,,,,,,,,,
