TIMESTAMP,solar_TIMESTAMP,USA_SWH_Qly_Jt_1,USA_SWH_Qly_Jt_2,USA_SWH_Qly_Jt_3,USA_SWH_Qly_Jt_4,USA_SWH_Qly_Jt_5,USA_SWH_Qly_Jt_6,USA_SWH_Qly_Jt_7,USA_SWH_Qly_Jt_8,USA_SWH_Cla_Jt_9,USA_SWH_Cla_Jt_10,USA_SWH_Cla_Jt_11,USA_SWH_Cla_Jt_12,USA_SWH_Cla_Jt_13,USA_SWH_Cla_Jt_14,USA_SWH_Cla_Jt_15,USA_SWH_Cla_Jt_16
2013-06-08T06:30:00Z,2013-06-08T00:25:54Z,,,,,,,,,,,,,,,,
2013-06-08T07:00:00Z,2013-06-08T00:55:54Z,,,,,,,,,,,,,,,,
2013-06-08T07:30:00Z,2013-06-08T01:25:54Z,,,,,,,,,,,,,,,,
2013-06-08T08:00:00Z,2013-06-08T01:55:54Z,,,,,,,,,,,,,,,,
2013-06-08T08:30:00Z,2013-06-08T02:25:54Z,,,,,,,,,,,,,,,,
2013-06-08T09:00:00Z,2013-06-08T02:55:54Z,,,,,,,,,,,,,,,,
2013-06-08T09:30:00Z,2013-06-08T03:25:54Z,,,,,,,,,,,,,,,,
2013-06-08T10:00:00Z,2013-06-08T03:55:54Z,,,,,,,,,,,,,,,,
2013-06-08T10:30:00Z,2013-06-08T04:25:54Z,,,,,,,,,,,,,,,,
2013-06-08T11:00:00Z,2013-06-08T04:55:54Z,,,,,,,,,,,,,,,,
2013-06-08T11:30:00Z,2013-06-08T05:25:54Z,,,,,,,,,,,,,,,,
2013-06-08T12:00:00Z,2013-06-08T05:55:54Z,,,,,,,,,,,,,,,,
2013-06-08T12:30:00Z,2013-06-08T06:25:54Z,,,,,,,,,,,,,,,,
2013-06-08T13:00:00Z,2013-06-08T06:55:54Z,,,,,,,,,,,,,,,,
2013-06-08T13:30:00Z,2013-06-08T07:25:54Z,,,,,,,,,,,,,,,,
2013-06-08T14:00:00Z,2013-06-08T07:55:54Z,,,,,,,,,,,,,,,,
2013-06-08T14:30:00Z,2013-06-08T08:25:54Z,,,,,,,,,,,,,,,,
2013-06-08T15:00:00Z,2013-06-08T08:55:54Z,,,,,,,,,,,,,,,,
2013-06-08T15:30:00Z,2013-06-08T09:25:54Z,,,,,,,OUT_WARN,OUT_WARN,,,,,,,,
2013-06-08T16:00:00Z,2013-06-08T09:55:54Z,,OUT_WARN,,,,,OUT_WARN,OUT_WARN,,,,,,,,
2013-06-08T16:30:00Z,2013-06-08T10:25:54Z,,OUT_WARN,,,,,OUT_WARN,OUT_WARN,,,,,,,,
2013-06-08T17:00:00Z,2013-06-08T10:55:54Z,,OUT_WARN,,,,,OUT_WARN,OUT_WARN,,,,,,,,
2013-06-08T17:30:00Z,2013-06-08T11:25:54Z,,OUT_WARN,,,,,OUT_WARN,OUT_WARN,,,,,,,,
2013-06-08T18:00:00Z,2013-06-08T11:55:54Z,,OUT_WARN,,,,,OUT_WARN,OUT_WARN,,,,,,,,
2013-06-08T18:30:00Z,2013-06-08T12:25:54Z,,,,,,,OUT_WARN,OUT_WARN,,,,,,,,
2013-06-08T19:00:00Z,2013-06-08T12:55:54Z,,,,,,,OUT_WARN,OUT_WARN,,,,,,,,
2013-06-08T19:30:00Z,2013-06-08T13:25:54Z,,,,,,,OUT_WARN,OUT_WARN,,,,,,,,
2013-06-08T20:00:00Z,2013-06-08T13:55:54Z,,,,,,,OUT_WARN,OUT_WARN,,,,,,,,
2013-06-08T20:30:00Z,2013-06-08T14:25:54Z,,,,,,,OUT_WARN,OUT_WARN,,,,,,,,
2013-06-08T21:00:00Z,2013-06-08T14:55:54Z,,,,,,,OUT_WARN,,,,,,,,,
2013-06-08T21:30:00Z,2013-06-08T15:25:54Z,,,,,,,,,,,,,,,,
2013-06-08T22:00:00Z,2013-06-08T15:55:54Z,,,,,,,,,,,,,,,,
2013-06-08T22:30:00Z,2013-06-08T16:25:54Z,,,,,,,,,,,,,,,,
2013-06-08T23:00:00Z,2013-06-08T16:55:54Z,,,,,,,,,,,,,,,,
2013-06-08T23:30:00Z,2013-06-08T17:25:54Z,,,,,,,,,,,,,,,,
2013-06-09T00:00:00Z,2013-06-08T17:55:54Z,,,,,,,,,,,,,,,,
2013-06-09T00:30:00Z,2013-06-08T18:25:54Z,,,,,,,,,,,,,,,,
2013-06-09T01:00:00Z,2013-06-08T18:55:54Z,,,,,,,,,,,,,,,,
2013-06-09T01:30:00Z,2013-06-08T19:25:54Z,,,,,,,,,,,,,,,,
2013-06-09T02:00:00Z,2013-06-08T19:55:54Z,,,,,,,,,,,,,,,,
2013-06-09T02:30:00Z,2013-06-08T20:25:54Z,,,,,,,,,,,,,,,,
2013-06-09T03:00:00Z,2013-06-08T20:55:54Z,,,,,,,,,,,,,,,,
