TIMESTAMP,solar_TIMESTAMP,ta,rh,sw_in,netrad,ws,precip,ppfd_in,vpd,ext_rad
2001-01-02T12:30:00Z,2001-01-02T13:36:18Z,,,OUT_WARN,,,NA_PRESENT,CALCULATED,CALCULATED,CALCULATED
2001-01-02T13:00:00Z,2001-01-02T14:06:18Z,,,OUT_WARN,,,NA_PRESENT,CALCULATED,CALCULATED,CALCULATED
2001-01-02T13:30:00Z,2001-01-02T14:36:18Z,,,OUT_WARN,,,NA_PRESENT,CALCULATED,CALCULATED,CALCULATED
2001-01-02T14:00:00Z,2001-01-02T15:06:18Z,,,OUT_WARN,,,NA_PRESENT,CALCULATED,CALCULATED,CALCULATED
2001-01-02T14:30:00Z,2001-01-02T15:36:18Z,,,OUT_WARN,,,NA_PRESENT,CALCULATED,CALCULATED,CALCULATED
2001-01-02T15:00:00Z,2001-01-02T16:06:18Z,,,OUT_WARN,,,NA_PRESENT,CALCULATED,CALCULATED,CALCULATED
2001-01-02T15:30:00Z,2001-01-02T16:36:18Z,,,,,,NA_PRESENT,CALCULATED,CALCULATED,CALCULATED
2001-01-02T16:00:00Z,2001-01-02T17:06:18Z,,,,,,NA_PRESENT,CALCULATED,CALCULATED,CALCULATED
2001-01-02T16:30:00Z,2001-01-02T17:36:18Z,,,,,,NA_PRESENT,CALCULATED,CALCULATED,CALCULATED
2001-01-02T17:00:00Z,2001-01-02T18:06:18Z,,,,,,NA_PRESENT,CALCULATED,CALCULATED,CALCULATED
2001-01-02T17:30:00Z,2001-01-02T18:36:18Z,,,,,,NA_PRESENT,CALCULATED,CALCULATED,CALCULATED
2001-01-02T18:00:00Z,2001-01-02T19:06:18Z,,,,,,NA_PRESENT,CALCULATED,CALCULATED,CALCULATED
2001-01-02T18:30:00Z,2001-01-02T19:36:18Z,,,,,,NA_PRESENT,CALCULATED,CALCULATED,CALCULATED
2001-01-02T19:00:00Z,2001-01-02T20:06:18Z,,,,,,NA_PRESENT,CALCULATED,CALCULATED,CALCULATED
2001-01-02T19:30:00Z,2001-01-02T20:36:18Z,,,,,,NA_PRESENT,CALCULATED,CALCULATED,CALCULATED
2001-01-02T20:00:00Z,2001-01-02T21:06:18Z,,,,,,NA_PRESENT,CALCULATED,CALCULATED,CALCULATED
2001-01-02T20:30:00Z,2001-01-02T21:36:18Z,,,,,,NA_PRESENT,CALCULATED,CALCULATED,CALCULATED
2001-01-02T21:00:00Z,2001-01-02T22:06:18Z,,,,,,NA_PRESENT,CALCULATED,CALCULATED,CALCULATED
2001-01-02T21:30:00Z,2001-01-02T22:36:18Z,,,,,,NA_PRESENT,CALCULATED,CALCULATED,CALCULATED
2001-01-02T22:00:00Z,2001-01-02T23:06:18Z,,,,,,NA_PRESENT,CALCULATED,CALCULATED,CALCULATED
2001-01-02T22:30:00Z,2001-01-02T23:36:18Z,,,,,,NA_PRESENT,CALCULATED,CALCULATED,CALCULATED
2001-01-02T23:00:00Z,2001-01-03T00:05:53Z,,,,,,NA_PRESENT,CALCULATED,CALCULATED,CALCULATED
2001-01-02T23:30:00Z,2001-01-03T00:35:53Z,,,,,,NA_PRESENT,CALCULATED,CALCULATED,CALCULATED
2001-01-03T00:00:00Z,2001-01-03T01:05:53Z,,,,,,NA_PRESENT,CALCULATED,CALCULATED,CALCULATED
2001-01-03T00:30:00Z,2001-01-03T01:35:53Z,,,,,,NA_PRESENT,CALCULATED,CALCULATED,CALCULATED
2001-01-03T01:00:00Z,2001-01-03T02:05:53Z,,,,,,NA_PRESENT,CALCULATED,CALCULATED,CALCULATED
2001-01-03T01:30:00Z,2001-01-03T02:35:53Z,,,,,,NA_PRESENT,CALCULATED,CALCULATED,CALCULATED
2001-01-03T02:00:00Z,2001-01-03T03:05:53Z,,,,,,NA_PRESENT,CALCULATED,CALCULATED,CALCULATED
2001-01-03T02:30:00Z,2001-01-03T03:35:53Z,,,,,,NA_PRESENT,CALCULATED,CALCULATED,CALCULATED
2001-01-03T03:00:00Z,2001-01-03T04:05:53Z,,,,,,NA_PRESENT,CALCULATED,CALCULATED,CALCULATED
2001-01-03T03:30:00Z,2001-01-03T04:35:53Z,,,,,,NA_PRESENT,CALCULATED,CALCULATED,CALCULATED
2001-01-03T04:00:00Z,2001-01-03T05:05:53Z,,,,,,NA_PRESENT,CALCULATED,CALCULATED,CALCULATED
2001-01-03T04:30:00Z,2001-01-03T05:35:53Z,,,,,,NA_PRESENT,CALCULATED,CALCULATED,CALCULATED
2001-01-03T05:00:00Z,2001-01-03T06:05:53Z,,,,,,NA_PRESENT,CALCULATED,CALCULATED,CALCULATED
2001-01-03T05:30:00Z,2001-01-03T06:35:53Z,,,,,,NA_PRESENT,CALCULATED,CALCULATED,CALCULATED
2001-01-03T06:00:00Z,2001-01-03T07:05:53Z,,,,,,NA_PRESENT,CALCULATED,CALCULATED,CALCULATED
2001-01-03T06:30:00Z,2001-01-03T07:35:53Z,,,,,,NA_PRESENT,CALCULATED,CALCULATED,CALCULATED
2001-01-03T07:00:00Z,2001-01-03T08:05:53Z,,,,,,NA_PRESENT,CALCULATED,CALCULATED,CALCULATED
2001-01-03T07:30:00Z,2001-01-03T08:35:53Z,,,OUT_WARN,,,NA_PRESENT,CALCULATED,CALCULATED,CALCULATED
2001-01-03T08:00:00Z,2001-01-03T09:05:53Z,,,OUT_WARN,,,NA_PRESENT,CALCULATED,CALCULATED,CALCULATED
2001-01-03T08:30:00Z,2001-01-03T09:35:53Z,,,OUT_WARN,,,NA_PRESENT,CALCULATED,CALCULATED,CALCULATED
2001-01-03T09:00:00Z,2001-01-03T10:05:53Z,,,OUT_WARN,,,NA_PRESENT,CALCULATED,CALCULATED,CALCULATED
2001-01-03T09:30:00Z,2001-01-03T10:35:53Z,,,OUT_WARN,,,NA_PRESENT,CALCULATED,CALCULATED,CALCULATED
2001-01-03T10:00:00Z,2001-01-03T11:05:53Z,,,OUT_WARN,,,NA_PRESENT,CALCULATED,CALCULATED,CALCULATED
2001-01-03T10:30:00Z,2001-01-03T11:35:53Z,,,OUT_WARN,,,NA_PRESENT,CALCULATED,CALCULATED,CALCULATED
2001-01-03T11:00:00Z,2001-01-03T12:05:53Z,,,OUT_WARN,,,NA_PRESENT,CALCULATED,CALCULATED,CALCULATED
2001-01-03T11:30:00Z,2001-01-03T12:35:53Z,,,OUT_WARN,,,NA_PRESENT,CALCULATED,CALCULATED,CALCULATED
2001-01-03T12:00:00Z,2001-01-03T13:05:53Z,,,OUT_WARN,,,NA_PRESENT,CALCULATED,CALCULATED,CALCULATED
2001-01-03T12:30:00Z,2001-01-03T13:35:53Z,,,OUT_WARN,,,NA_PRESENT,CALCULATED,CALCULATED,CALCULATED
2001-01-03T13:00:00Z,2001-01-03T14:05:53Z,,,OUT_WARN,,,NA_PRESENT,CALCULATED,CALCULATED,CALCULATED
2001-01-03T13:30:00Z,2001-01-03T14:35:53Z,,,OUT_WARN,,,NA_PRESENT,CALCULATED,CALCULATED,CALCULATED
2001-01-03T14:00:00Z,2001-01-03T15:05:53Z,,,OUT_WARN,,,NA_PRESENT,CALCULATED,CALCULATED,CALCULATED
2001-01-03T14:30:00Z,2001-01-03T15:35:53Z,,,OUT_WARN,,,NA_PRESENT,CALCULATED,CALCULATED,CALCULATED
2001-01-03T15:00:00Z,2001-01-03T16:05:53Z,,,OUT_WARN,,,NA_PRESENT,CALCULATED,CALCULATED,CALCULATED
2001-01-03T15:30:00Z,2001-01-03T16:35:53Z,,,OUT_WARN,,,NA_PRESENT,CALCULATED,CALCULATED,CALCULATED
2001-01-03T16:00:00Z,2001-01-03T17:05:53Z,,,,,,NA_PRESENT,CALCULATED,CALCULATED,CALCULATED
2001-01-03T16:30:00Z,2001-01-03T17:35:53Z,,,,,,NA_PRESENT,CALCULATED,CALCULATED,CALCULATED
2001-01-03T17:00:00Z,2001-01-03T18:05:53Z,,,,,,NA_PRESENT,CALCULATED,CALCULATED,CALCULATED
2001-01-03T17:30:00Z,2001-01-03T18:35:53Z,,,,,,NA_PRESENT,CALCULATED,CALCULATED,CALCULATED
2001-01-03T18:00:00Z,2001-01-03T19:05:53Z,,,,,,NA_PRESENT,CALCULATED,CALCULATED,CALCULATED
2001-01-03T18:30:00Z,2001-01-03T19:35:53Z,,,,,,NA_PRESENT,CALCULATED,CALCULATED,CALCULATED
2001-01-03T19:00:00Z,2001-01-03T20:05:53Z,,,,,,NA_PRESENT,CALCULATED,CALCULATED,CALCULATED
2001-01-03T19:30:00Z,2001-01-03T20:35:53Z,,,,,,NA_PRESENT,CALCULATED,CALCULATED,CALCULATED
2001-01-03T20:00:00Z,2001-01-03T21:05:53Z,,,,,,NA_PRESENT,CALCULATED,CALCULATED,CALCULATED
2001-01-03T20:30:00Z,2001-01-03T21:35:53Z,,,,,,NA_PRESENT,CALCULATED,CALCULATED,CALCULATED
2001-01-03T21:00:00Z,2001-01-03T22:05:53Z,,,,,,NA_PRESENT,CALCULATED,CALCULATED,CALCULATED
2001-01-03T21:30:00Z,2001-01-03T22:35:53Z,,,,,,NA_PRESENT,CALCULATED,CALCULATED,CALCULATED
2001-01-03T22:00:00Z,2001-01-03T23:05:53Z,,,,,,NA_PRESENT,CALCULATED,CALCULATED,CALCULATED
2001-01-03T22:30:00Z,2001-01-03T23:35:53Z,,,,,,NA_PRESENT,CALCULATED,CALCULATED,CALCULATED
2001-01-03T23:00:00Z,2001-01-04T00:05:29Z,,,,,,NA_PRESENT,CALCULATED,CALCULATED,CALCULATED
2001-01-03T23:30:00Z,2001-01-04T00:35:29Z,,,,,,NA_PRESENT,CALCULATED,CALCULATED,CALCULATED
2001-01-04T00:00:00Z,2001-01-04T01:05:29Z,,,,,,NA_PRESENT,CALCULATED,CALCULATED,CALCULATED
2001-01-04T00:30:00Z,2001-01-04T01:35:29Z,,,,,,NA_PRESENT,CALCULATED,CALCULATED,CALCULATED
2001-01-04T01:00:00Z,2001-01-04T02:05:29Z,,,,,,NA_PRESENT,CALCULATED,CALCULATED,CALCULATED
