TIMESTAMP,solar_TIMESTAMP,ta,rh,vpd,ppfd_in,swc_shallow,sw_in,ext_rad
2011-03-11T18:00:00Z,2011-03-11T14:48:03Z,NA_ADDED,NA_ADDED,NA_ADDED,NA_ADDED,NA_ADDED,CALCULATED,CALCULATED
2011-03-11T18:30:00Z,2011-03-11T15:18:03Z,NA_ADDED,NA_ADDED,NA_ADDED,NA_ADDED,NA_ADDED,CALCULATED,CALCULATED
2011-03-11T18:59:59Z,2011-03-11T15:48:02Z,NA_ADDED,NA_ADDED,NA_ADDED,NA_ADDED,NA_ADDED,CALCULATED,CALCULATED
2011-03-11T19:30:00Z,2011-03-11T16:18:03Z,NA_ADDED,NA_ADDED,NA_ADDED,NA_ADDED,NA_ADDED,CALCULATED,CALCULATED
2011-03-11T20:00:00Z,2011-03-11T16:48:03Z,NA_ADDED,NA_ADDED,NA_ADDED,NA_ADDED,NA_ADDED,CALCULATED,CALCULATED
2011-03-11T20:29:59Z,2011-03-11T17:18:02Z,NA_ADDED,NA_ADDED,NA_ADDED,NA_ADDED,NA_ADDED,CALCULATED,CALCULATED
2011-03-11T21:00:00Z,2011-03-11T17:48:03Z,NA_ADDED,NA_ADDED,NA_ADDED,NA_ADDED,NA_ADDED,CALCULATED,CALCULATED
2011-03-11T21:30:00Z,2011-03-11T18:18:03Z,NA_ADDED,NA_ADDED,NA_ADDED,NA_ADDED,NA_ADDED,CALCULATED,CALCULATED
2011-03-11T21:59:59Z,2011-03-11T18:48:02Z,NA_ADDED,NA_ADDED,NA_ADDED,NA_ADDED,NA_ADDED,CALCULATED,CALCULATED
2011-03-11T22:30:00Z,2011-03-11T19:18:03Z,NA_ADDED,NA_ADDED,NA_ADDED,NA_ADDED,NA_ADDED,CALCULATED,CALCULATED
2011-03-11T23:00:00Z,2011-03-11T19:48:03Z,NA_ADDED,NA_ADDED,NA_ADDED,NA_ADDED,NA_ADDED,CALCULATED,CALCULATED
2011-03-11T23:29:59Z,2011-03-11T20:18:02Z,NA_ADDED,NA_ADDED,NA_ADDED,NA_ADDED,NA_ADDED,CALCULATED,CALCULATED
2011-03-12T00:00:00Z,2011-03-11T20:48:03Z,NA_ADDED,NA_ADDED,NA_ADDED,NA_ADDED,NA_ADDED,CALCULATED,CALCULATED
2011-03-12T00:30:00Z,2011-03-11T21:18:03Z,NA_ADDED,NA_ADDED,NA_ADDED,NA_ADDED,NA_ADDED,CALCULATED,CALCULATED
2011-03-12T00:59:59Z,2011-03-11T21:48:02Z,NA_ADDED,NA_ADDED,NA_ADDED,NA_ADDED,NA_ADDED,CALCULATED,CALCULATED
2011-03-12T01:30:00Z,2011-03-11T22:18:03Z,NA_ADDED,NA_ADDED,NA_ADDED,NA_ADDED,NA_ADDED,CALCULATED,CALCULATED
2011-03-12T02:00:00Z,2011-03-11T22:48:03Z,NA_ADDED,NA_ADDED,NA_ADDED,NA_ADDED,NA_ADDED,CALCULATED,CALCULATED
2011-03-12T02:29:59Z,2011-03-11T23:18:02Z,NA_ADDED,NA_ADDED,NA_ADDED,NA_ADDED,NA_ADDED,CALCULATED,CALCULATED
2011-03-12T03:00:00Z,2011-03-11T23:48:03Z,NA_ADDED,NA_ADDED,NA_ADDED,NA_ADDED,NA_ADDED,CALCULATED,CALCULATED
2011-03-12T03:30:00Z,2011-03-12T00:18:20Z,NA_ADDED,NA_ADDED,NA_ADDED,NA_ADDED,NA_ADDED,CALCULATED,CALCULATED
2011-03-12T03:59:59Z,2011-03-12T00:48:19Z,NA_ADDED,NA_ADDED,NA_ADDED,NA_ADDED,NA_ADDED,CALCULATED,CALCULATED
2011-03-12T04:30:00Z,2011-03-12T01:18:20Z,NA_ADDED,NA_ADDED,NA_ADDED,NA_ADDED,NA_ADDED,CALCULATED,CALCULATED
