TIMESTAMP,solar_TIMESTAMP,CHN_YIN_ST1_Peu_Js_1,CHN_YIN_ST1_Peu_Js_2,CHN_YIN_ST1_Peu_Js_3,CHN_YIN_ST1_Peu_Js_4,CHN_YIN_ST1_Peu_Js_5
2012-05-26T11:40:00Z,2012-05-26T17:25:11Z,,,,,
2012-05-26T11:50:00Z,2012-05-26T17:35:11Z,,,,,
2012-05-26T12:00:00Z,2012-05-26T17:45:11Z,,,,,
2012-05-26T12:10:00Z,2012-05-26T17:55:11Z,,,,,
2012-05-26T12:19:59Z,2012-05-26T18:05:10Z,,,,,
2012-05-26T12:29:59Z,2012-05-26T18:15:10Z,,,,,
2012-05-26T12:39:59Z,2012-05-26T18:25:10Z,,,,,
2012-05-26T12:50:00Z,2012-05-26T18:35:11Z,,,,,
2012-05-26T13:00:00Z,2012-05-26T18:45:11Z,,,,,
2012-05-26T13:10:00Z,2012-05-26T18:55:11Z,,,,,
2012-05-26T13:20:00Z,2012-05-26T19:05:11Z,,,,,
2012-05-26T13:30:00Z,2012-05-26T19:15:11Z,,,,,
2012-05-26T13:40:00Z,2012-05-26T19:25:11Z,,,,,
2012-05-26T13:49:59Z,2012-05-26T19:35:10Z,,,,,
2012-05-26T13:59:59Z,2012-05-26T19:45:10Z,,,,,
2012-05-26T14:09:59Z,2012-05-26T19:55:10Z,,,,,
2012-05-26T14:20:00Z,2012-05-26T20:05:11Z,,,,,
2012-05-26T14:30:00Z,2012-05-26T20:15:11Z,,,,,
2012-05-26T14:40:00Z,2012-05-26T20:25:11Z,,,,,
2012-05-26T14:50:00Z,2012-05-26T20:35:11Z,,,,,
2012-05-26T15:00:00Z,2012-05-26T20:45:11Z,,,,,
2012-05-26T15:10:00Z,2012-05-26T20:55:11Z,,,,,
2012-05-26T15:19:59Z,2012-05-26T21:05:10Z,,,,,
2012-05-26T15:29:59Z,2012-05-26T21:15:10Z,,,,,
2012-05-26T15:39:59Z,2012-05-26T21:25:10Z,,,,,
2012-05-26T15:50:00Z,2012-05-26T21:35:11Z,,,,,
2012-05-26T16:00:00Z,2012-05-26T21:45:11Z,,,,,
2012-05-26T16:10:00Z,2012-05-26T21:55:11Z,,,,,
2012-05-26T16:20:00Z,2012-05-26T22:05:11Z,,,,,
2012-05-26T16:30:00Z,2012-05-26T22:15:11Z,,,,,
2012-05-26T16:40:00Z,2012-05-26T22:25:11Z,,,,,
2012-05-26T16:49:59Z,2012-05-26T22:35:10Z,,,,,
2012-05-26T16:59:59Z,2012-05-26T22:45:10Z,,,,,
2012-05-26T17:09:59Z,2012-05-26T22:55:10Z,,,,,
2012-05-26T17:20:00Z,2012-05-26T23:05:11Z,,,,,
2012-05-26T17:30:00Z,2012-05-26T23:15:11Z,,,,,
2012-05-26T17:40:00Z,2012-05-26T23:25:11Z,,,,,
2012-05-26T17:50:00Z,2012-05-26T23:35:11Z,,,,,
2012-05-26T18:00:00Z,2012-05-26T23:45:11Z,,,,,
2012-05-26T18:10:00Z,2012-05-26T23:55:11Z,,,,,
2012-05-26T18:19:59Z,2012-05-27T00:05:03Z,,,,,
2012-05-26T18:29:59Z,2012-05-27T00:15:03Z,,,,,
2012-05-26T18:39:59Z,2012-05-27T00:25:03Z,,,,,
2012-05-26T18:50:00Z,2012-05-27T00:35:04Z,,,,,
2012-05-26T19:00:00Z,2012-05-27T00:45:04Z,,,,,
2012-05-26T19:10:00Z,2012-05-27T00:55:04Z,,,,,
2012-05-26T19:20:00Z,2012-05-27T01:05:04Z,,,,,
2012-05-26T19:30:00Z,2012-05-27T01:15:04Z,,,,,
2012-05-26T19:40:00Z,2012-05-27T01:25:04Z,,,,,
2012-05-26T19:49:59Z,2012-05-27T01:35:03Z,,,,,
2012-05-26T19:59:59Z,2012-05-27T01:45:03Z,,,,,
2012-05-26T20:09:59Z,2012-05-27T01:55:03Z,,,,,
2012-05-26T20:20:00Z,2012-05-27T02:05:04Z,,,,,
2012-05-26T20:30:00Z,2012-05-27T02:15:04Z,,,,,
