TIMESTAMP,solar_TIMESTAMP,CHN_YIN_ST3_DRO_Peu_Js_1,CHN_YIN_ST3_DRO_Peu_Js_2,CHN_YIN_ST3_DRO_Peu_Js_3
2012-05-26T15:29:59Z,2012-05-26T21:16:16Z,,,
2012-05-26T15:39:59Z,2012-05-26T21:26:16Z,,,
2012-05-26T15:50:00Z,2012-05-26T21:36:17Z,,,
2012-05-26T16:00:00Z,2012-05-26T21:46:17Z,,,
2012-05-26T16:10:00Z,2012-05-26T21:56:17Z,,,
2012-05-26T16:20:00Z,2012-05-26T22:06:17Z,,,
2012-05-26T16:30:00Z,2012-05-26T22:16:17Z,,,
2012-05-26T16:40:00Z,2012-05-26T22:26:17Z,,,
2012-05-26T16:49:59Z,2012-05-26T22:36:16Z,,,
2012-05-26T16:59:59Z,2012-05-26T22:46:16Z,,,
2012-05-26T17:09:59Z,2012-05-26T22:56:16Z,,,
2012-05-26T17:20:00Z,2012-05-26T23:06:17Z,,,
2012-05-26T17:30:00Z,2012-05-26T23:16:17Z,,,
2012-05-26T17:40:00Z,2012-05-26T23:26:17Z,,,
2012-05-26T17:50:00Z,2012-05-26T23:36:17Z,,,
2012-05-26T18:00:00Z,2012-05-26T23:46:17Z,,,
2012-05-26T18:10:00Z,2012-05-26T23:56:17Z,,,
2012-05-26T18:19:59Z,2012-05-27T00:06:08Z,,,
2012-05-26T18:29:59Z,2012-05-27T00:16:08Z,,,
2012-05-26T18:39:59Z,2012-05-27T00:26:08Z,,,
2012-05-26T18:50:00Z,2012-05-27T00:36:09Z,,,
2012-05-26T19:00:00Z,2012-05-27T00:46:09Z,,,
2012-05-26T19:10:00Z,2012-05-27T00:56:09Z,,,
2012-05-26T19:20:00Z,2012-05-27T01:06:09Z,,,
2012-05-26T19:30:00Z,2012-05-27T01:16:09Z,,,
2012-05-26T19:40:00Z,2012-05-27T01:26:09Z,,,
2012-05-26T19:49:59Z,2012-05-27T01:36:08Z,,,
2012-05-26T19:59:59Z,2012-05-27T01:46:08Z,,,
2012-05-26T20:09:59Z,2012-05-27T01:56:08Z,,,
2012-05-26T20:20:00Z,2012-05-27T02:06:09Z,,,
2012-05-26T20:30:00Z,2012-05-27T02:16:09Z,,,
2012-05-26T20:40:00Z,2012-05-27T02:26:09Z,,,
2012-05-26T20:50:00Z,2012-05-27T02:36:09Z,,,
2012-05-26T21:00:00Z,2012-05-27T02:46:09Z,,,
2012-05-26T21:10:00Z,2012-05-27T02:56:09Z,,,
2012-05-26T21:19:59Z,2012-05-27T03:06:08Z,,,
2012-05-26T21:29:59Z,2012-05-27T03:16:08Z,,,
2012-05-26T21:39:59Z,2012-05-27T03:26:08Z,,,
2012-05-26T21:50:00Z,2012-05-27T03:36:09Z,,,
2012-05-26T22:00:00Z,2012-05-27T03:46:09Z,,,
2012-05-26T22:10:00Z,2012-05-27T03:56:09Z,,,
2012-05-26T22:20:00Z,2012-05-27T04:06:09Z,,,
2012-05-26T22:30:00Z,2012-05-27T04:16:09Z,,,
2012-05-26T22:40:00Z,2012-05-27T04:26:09Z,,,
2012-05-26T22:49:59Z,2012-05-27T04:36:08Z,,,
2012-05-26T22:59:59Z,2012-05-27T04:46:08Z,,,
2012-05-26T23:09:59Z,2012-05-27T04:56:08Z,,,
2012-05-26T23:20:00Z,2012-05-27T05:06:09Z,,,
2012-05-26T23:30:00Z,2012-05-27T05:16:09Z,,,
2012-05-26T23:40:00Z,2012-05-27T05:26:09Z,,,
2012-05-26T23:50:00Z,2012-05-27T05:36:09Z,,,
2012-05-27T00:00:00Z,2012-05-27T05:46:09Z,,,
2012-05-27T00:10:00Z,2012-05-27T05:56:09Z,,,
2012-05-27T00:19:59Z,2012-05-27T06:06:08Z,,,
2012-05-27T00:29:59Z,2012-05-27T06:16:08Z,,,
2012-05-27T00:39:59Z,2012-05-27T06:26:08Z,,,
2012-05-27T00:50:00Z,2012-05-27T06:36:09Z,,,
