TIMESTAMP,solar_TIMESTAMP,ta,rh,ppfd_in,precip,sw_in,vpd,ext_rad
2013-01-05T05:30:00Z,2013-01-04T23:48:42Z,,,,,CALCULATED,CALCULATED,CALCULATED
2013-01-05T06:00:00Z,2013-01-05T00:18:18Z,,,,,CALCULATED,CALCULATED,CALCULATED
2013-01-05T06:30:00Z,2013-01-05T00:48:18Z,,,,,CALCULATED,CALCULATED,CALCULATED
2013-01-05T07:00:00Z,2013-01-05T01:18:18Z,,,,,CALCULATED,CALCULATED,CALCULATED
2013-01-05T07:30:00Z,2013-01-05T01:48:18Z,,,,,CALCULATED,CALCULATED,CALCULATED
2013-01-05T08:00:00Z,2013-01-05T02:18:18Z,,,,,CALCULATED,CALCULATED,CALCULATED
2013-01-05T08:30:00Z,2013-01-05T02:48:18Z,,,,,CALCULATED,CALCULATED,CALCULATED
2013-01-05T09:00:00Z,2013-01-05T03:18:18Z,,,,,CALCULATED,CALCULATED,CALCULATED
2013-01-05T09:30:00Z,2013-01-05T03:48:18Z,,,,,CALCULATED,CALCULATED,CALCULATED
2013-01-05T10:00:00Z,2013-01-05T04:18:18Z,,,,,CALCULATED,CALCULATED,CALCULATED
2013-01-05T10:30:00Z,2013-01-05T04:48:18Z,,,,,CALCULATED,CALCULATED,CALCULATED
2013-01-05T11:00:00Z,2013-01-05T05:18:18Z,,,,,CALCULATED,CALCULATED,CALCULATED
2013-01-05T11:30:00Z,2013-01-05T05:48:18Z,,,,,CALCULATED,CALCULATED,CALCULATED
2013-01-05T12:00:00Z,2013-01-05T06:18:18Z,,,,,CALCULATED,CALCULATED,CALCULATED
2013-01-05T12:30:00Z,2013-01-05T06:48:18Z,,,,,CALCULATED,CALCULATED,CALCULATED
2013-01-05T13:00:00Z,2013-01-05T07:18:18Z,,,,,CALCULATED,CALCULATED,CALCULATED
2013-01-05T13:30:00Z,2013-01-05T07:48:18Z,,,OUT_WARN,,CALCULATED,CALCULATED,CALCULATED
2013-01-05T14:00:00Z,2013-01-05T08:18:18Z,,,OUT_WARN,,CALCULATED,CALCULATED,CALCULATED
2013-01-05T14:30:00Z,2013-01-05T08:48:18Z,,,OUT_WARN,,CALCULATED,CALCULATED,CALCULATED
2013-01-05T15:00:00Z,2013-01-05T09:18:18Z,,,OUT_WARN,,CALCULATED,CALCULATED,CALCULATED
2013-01-05T15:30:00Z,2013-01-05T09:48:18Z,,,OUT_WARN,,CALCULATED,CALCULATED,CALCULATED
2013-01-05T16:00:00Z,2013-01-05T10:18:18Z,,,OUT_WARN,,CALCULATED,CALCULATED,CALCULATED
2013-01-05T16:30:00Z,2013-01-05T10:48:18Z,,,OUT_WARN,,CALCULATED,CALCULATED,CALCULATED
2013-01-05T17:00:00Z,2013-01-05T11:18:18Z,,,OUT_WARN,,CALCULATED,CALCULATED,CALCULATED
2013-01-05T17:30:00Z,2013-01-05T11:48:18Z,,,OUT_WARN,,CALCULATED,CALCULATED,CALCULATED
2013-01-05T18:00:00Z,2013-01-05T12:18:18Z,,,OUT_WARN,,CALCULATED,CALCULATED,CALCULATED
2013-01-05T18:30:00Z,2013-01-05T12:48:18Z,,,OUT_WARN,,CALCULATED,CALCULATED,CALCULATED
2013-01-05T19:00:00Z,2013-01-05T13:18:18Z,,,OUT_WARN,,CALCULATED,CALCULATED,CALCULATED
2013-01-05T19:30:00Z,2013-01-05T13:48:18Z,,,OUT_WARN,,CALCULATED,CALCULATED,CALCULATED
2013-01-05T20:00:00Z,2013-01-05T14:18:18Z,,,OUT_WARN,,CALCULATED,CALCULATED,CALCULATED
2013-01-05T20:30:00Z,2013-01-05T14:48:18Z,,,OUT_WARN,,CALCULATED,CALCULATED,CALCULATED
2013-01-05T21:00:00Z,2013-01-05T15:18:18Z,,,OUT_WARN,,CALCULATED,CALCULATED,CALCULATED
2013-01-05T21:30:00Z,2013-01-05T15:48:18Z,,,OUT_WARN,,CALCULATED,CALCULATED,CALCULATED
2013-01-05T22:00:00Z,2013-01-05T16:18:18Z,,,OUT_WARN,,CALCULATED,CALCULATED,CALCULATED
2013-01-05T22:30:00Z,2013-01-05T16:48:18Z,,,OUT_WARN,,CALCULATED,CALCULATED,CALCULATED
2013-01-05T23:00:00Z,2013-01-05T17:18:18Z,,,OUT_WARN,,CALCULATED,CALCULATED,CALCULATED
2013-01-05T23:30:00Z,2013-01-05T17:48:18Z,,,OUT_WARN,,CALCULATED,CALCULATED,CALCULATED
2013-01-06T00:00:00Z,2013-01-05T18:18:18Z,,,OUT_WARN,,CALCULATED,CALCULATED,CALCULATED
2013-01-06T00:30:00Z,2013-01-05T18:48:18Z,,,OUT_WARN,,CALCULATED,CALCULATED,CALCULATED
2013-01-06T01:00:00Z,2013-01-05T19:18:18Z,,,,,CALCULATED,CALCULATED,CALCULATED
2013-01-06T01:30:00Z,2013-01-05T19:48:18Z,,,,,CALCULATED,CALCULATED,CALCULATED
2013-01-06T02:00:00Z,2013-01-05T20:18:18Z,,,,,CALCULATED,CALCULATED,CALCULATED
2013-01-06T02:30:00Z,2013-01-05T20:48:18Z,,,,,CALCULATED,CALCULATED,CALCULATED
