TIMESTAMP,solar_TIMESTAMP,ESP_RIN_Qpy_Jt_1,ESP_RIN_Qpy_Jt_2,ESP_RIN_Qpy_Jt_3,ESP_RIN_Qpy_Jt_4,ESP_RIN_Qpy_Jt_5,ESP_RIN_Qpy_Jt_6,ESP_RIN_Qpy_Jt_7,ESP_RIN_Qpy_Jt_8
2007-06-04T12:00:00Z,2007-06-04T11:37:03Z,,,,,,,,
2007-06-04T13:00:00Z,2007-06-04T12:37:03Z,,,,,,,,
2007-06-04T14:00:00Z,2007-06-04T13:37:03Z,,,,,,,,
2007-06-04T15:00:00Z,2007-06-04T14:37:03Z,,,,,,,,
2007-06-04T16:00:00Z,2007-06-04T15:37:03Z,,,,,,,,
2007-06-04T17:00:00Z,2007-06-04T16:37:03Z,,,,,,,,
2007-06-04T18:00:00Z,2007-06-04T17:37:03Z,,,,,,,,
2007-06-04T19:00:00Z,2007-06-04T18:37:03Z,,,,,,,,
2007-06-04T20:00:00Z,2007-06-04T19:37:03Z,,,,,,,,
2007-06-04T21:00:00Z,2007-06-04T20:37:03Z,,,,,,,,
2007-06-04T22:00:00Z,2007-06-04T21:37:03Z,,,,,,,,
2007-06-04T23:00:00Z,2007-06-04T22:37:03Z,,,,,,,,
2007-06-05T00:00:00Z,2007-06-04T23:37:03Z,,,,,,,,
2007-06-05T01:00:00Z,2007-06-05T00:36:53Z,,,,,,,,
2007-06-05T02:00:00Z,2007-06-05T01:36:53Z,,,,,,,,
2007-06-05T03:00:00Z,2007-06-05T02:36:53Z,,,,,,,,
2007-06-05T04:00:00Z,2007-06-05T03:36:53Z,,,,,,,,
2007-06-05T05:00:00Z,2007-06-05T04:36:53Z,,,,,,,,
2007-06-05T06:00:00Z,2007-06-05T05:36:53Z,,,,,,,,
2007-06-05T07:00:00Z,2007-06-05T06:36:53Z,,,,,,,,
2007-06-05T08:00:00Z,2007-06-05T07:36:53Z,,,,,,,,
2007-06-05T09:00:00Z,2007-06-05T08:36:53Z,,,,,,,,
2007-06-05T10:00:00Z,2007-06-05T09:36:53Z,,,,,,,,
2007-06-05T11:00:00Z,2007-06-05T10:36:53Z,,,,,,,,
2007-06-05T12:00:00Z,2007-06-05T11:36:53Z,,,,,,,,
2007-06-05T13:00:00Z,2007-06-05T12:36:53Z,,,,,,,,
2007-06-05T14:00:00Z,2007-06-05T13:36:53Z,,,,,,,,
2007-06-05T15:00:00Z,2007-06-05T14:36:53Z,,,,,,,,
2007-06-05T16:00:00Z,2007-06-05T15:36:53Z,,,,,,,,
2007-06-05T17:00:00Z,2007-06-05T16:36:53Z,,,,,,,,
2007-06-05T18:00:00Z,2007-06-05T17:36:53Z,,,,,,,,
2007-06-05T19:00:00Z,2007-06-05T18:36:53Z,,,,,,,,
2007-06-05T20:00:00Z,2007-06-05T19:36:53Z,,,,,,,,
2007-06-05T21:00:00Z,2007-06-05T20:36:53Z,,,,,,,,
2007-06-05T22:00:00Z,2007-06-05T21:36:53Z,,,,,,,,
2007-06-05T23:00:00Z,2007-06-05T22:36:53Z,,,,,,,,
2007-06-06T00:00:00Z,2007-06-05T23:36:53Z,,,,,,,,
2007-06-06T01:00:00Z,2007-06-06T00:36:42Z,,,,,,,,
2007-06-06T02:00:00Z,2007-06-06T01:36:42Z,,,,,,,,
2007-06-06T03:00:00Z,2007-06-06T02:36:42Z,,,,,,,,
2007-06-06T04:00:00Z,2007-06-06T03:36:42Z,,,,,,,,
2007-06-06T05:00:00Z,2007-06-06T04:36:42Z,,,,,,,,
2007-06-06T06:00:00Z,2007-06-06T05:36:42Z,,,,,,,,
2007-06-06T07:00:00Z,2007-06-06T06:36:42Z,,,,,,,,
2007-06-06T08:00:00Z,2007-06-06T07:36:42Z,,,,,,,,
2007-06-06T09:00:00Z,2007-06-06T08:36:42Z,,,,,,,,
2007-06-06T10:00:00Z,2007-06-06T09:36:42Z,,,,,,,,
2007-06-06T11:00:00Z,2007-06-06T10:36:42Z,,,,,,,,
2007-06-06T12:00:00Z,2007-06-06T11:36:42Z,,,,,,,,
2007-06-06T13:00:00Z,2007-06-06T12:36:42Z,,,,,,,,
2007-06-06T14:00:00Z,2007-06-06T13:36:42Z,,,,,,,,
2007-06-06T15:00:00Z,2007-06-06T14:36:42Z,,,,,,,,
2007-06-06T16:00:00Z,2007-06-06T15:36:42Z,,,,,,,,
2007-06-06T17:00:00Z,2007-06-06T16:36:42Z,,,,,,,,
2007-06-06T18:00:00Z,2007-06-06T17:36:42Z,,,,,,,,
2007-06-06T19:00:00Z,2007-06-06T18:36:42Z,,,,,,,,
2007-06-06T20:00:00Z,2007-06-06T19:36:42Z,,,,,,,,
2007-06-06T21:00:00Z,2007-06-06T20:36:42Z,,,,,,,,
2007-06-06T22:00:00Z,2007-06-06T21:36:42Z,,,,,,,,
2007-06-06T23:00:00Z,2007-06-06T22:36:42Z,,,,,,,,
2007-06-07T00:00:00Z,2007-06-06T23:36:42Z,,,,,,,,
2007-06-07T01:00:00Z,2007-06-07T00:36:31Z,,,,,,,,
2007-06-07T02:00:00Z,2007-06-07T01:36:31Z,,,,,,,,
2007-06-07T03:00:00Z,2007-06-07T02:36:31Z,,,,,,,,
2007-06-07T04:00:00Z,2007-06-07T03:36:31Z,,,,,,,,
2007-06-07T05:00:00Z,2007-06-07T04:36:31Z,,,,,,,,
2007-06-07T06:00:00Z,2007-06-07T05:36:31Z,,,,,,,,
2007-06-07T07:00:00Z,2007-06-07T06:36:31Z,,,,,,,,
2007-06-07T08:00:00Z,2007-06-07T07:36:31Z,,,,,,,,
2007-06-07T09:00:00Z,2007-06-07T08:36:31Z,,,,,,,,
2007-06-07T10:00:00Z,2007-06-07T09:36:31Z,,,,,,,,
2007-06-07T11:00:00Z,2007-06-07T10:36:31Z,,,,,,,,
2007-06-07T12:00:00Z,2007-06-07T11:36:31Z,,,,,,,,
