TIMESTAMP,solar_TIMESTAMP,ta,rh,vpd,netrad,ws,precip,ext_rad
2015-03-05T16:10:00Z,2015-03-05T09:30:43Z,,,,,,,CALCULATED
2015-03-05T16:20:00Z,2015-03-05T09:40:43Z,,,,,,,CALCULATED
2015-03-05T16:30:00Z,2015-03-05T09:50:43Z,,,,,,,CALCULATED
2015-03-05T16:40:00Z,2015-03-05T10:00:43Z,,,,,,,CALCULATED
2015-03-05T16:50:00Z,2015-03-05T10:10:43Z,,,,,,,CALCULATED
2015-03-05T17:00:00Z,2015-03-05T10:20:43Z,,,,,,,CALCULATED
2015-03-05T17:10:00Z,2015-03-05T10:30:43Z,,,,,,,CALCULATED
2015-03-05T17:20:00Z,2015-03-05T10:40:43Z,,,,,,,CALCULATED
2015-03-05T17:30:00Z,2015-03-05T10:50:43Z,,,,,,,CALCULATED
2015-03-05T17:40:00Z,2015-03-05T11:00:43Z,,,,,,,CALCULATED
2015-03-05T17:50:00Z,2015-03-05T11:10:43Z,,,,,,,CALCULATED
2015-03-05T18:00:00Z,2015-03-05T11:20:43Z,,,,,,,CALCULATED
2015-03-05T18:10:00Z,2015-03-05T11:30:43Z,,,,,,,CALCULATED
2015-03-05T18:20:00Z,2015-03-05T11:40:43Z,,,,,,,CALCULATED
2015-03-05T18:30:00Z,2015-03-05T11:50:43Z,,,,,,,CALCULATED
2015-03-05T18:40:00Z,2015-03-05T12:00:43Z,,,,,,,CALCULATED
2015-03-05T18:50:00Z,2015-03-05T12:10:43Z,,,,,,,CALCULATED
2015-03-05T19:00:00Z,2015-03-05T12:20:43Z,,,,,,,CALCULATED
2015-03-05T19:10:00Z,2015-03-05T12:30:43Z,,,,,,,CALCULATED
2015-03-05T19:20:00Z,2015-03-05T12:40:43Z,,,,,,,CALCULATED
2015-03-05T19:30:00Z,2015-03-05T12:50:43Z,,,,,,,CALCULATED
2015-03-05T19:40:00Z,2015-03-05T13:00:43Z,,,,,,,CALCULATED
2015-03-05T19:50:00Z,2015-03-05T13:10:43Z,,,,,,,CALCULATED
2015-03-05T20:00:00Z,2015-03-05T13:20:43Z,,,,,,,CALCULATED
2015-03-05T20:10:00Z,2015-03-05T13:30:43Z,,,,,,,CALCULATED
2015-03-05T20:20:00Z,2015-03-05T13:40:43Z,,,,,,,CALCULATED
2015-03-05T20:30:00Z,2015-03-05T13:50:43Z,,,,,,,CALCULATED
2015-03-05T20:40:00Z,2015-03-05T14:00:43Z,,,,,,,CALCULATED
2015-03-05T20:50:00Z,2015-03-05T14:10:43Z,,,,,,,CALCULATED
2015-03-05T21:00:00Z,2015-03-05T14:20:43Z,,,,,,,CALCULATED
2015-03-05T21:10:00Z,2015-03-05T14:30:43Z,,,,,,,CALCULATED
2015-03-05T21:20:00Z,2015-03-05T14:40:43Z,,,,,,,CALCULATED
2015-03-05T21:30:00Z,2015-03-05T14:50:43Z,,,,,,,CALCULATED
2015-03-05T21:40:00Z,2015-03-05T15:00:43Z,,,,,,,CALCULATED
2015-03-05T21:50:00Z,2015-03-05T15:10:43Z,,,,,,,CALCULATED
2015-03-05T22:00:00Z,2015-03-05T15:20:43Z,,,,,,,CALCULATED
2015-03-05T22:10:00Z,2015-03-05T15:30:43Z,,,,,,,CALCULATED
2015-03-05T22:20:00Z,2015-03-05T15:40:43Z,,,,,,,CALCULATED
2015-03-05T22:30:00Z,2015-03-05T15:50:43Z,,,,,,,CALCULATED
2015-03-05T22:40:00Z,2015-03-05T16:00:43Z,,,,,,,CALCULATED
2015-03-05T22:50:00Z,2015-03-05T16:10:43Z,,,,,,,CALCULATED
2015-03-05T23:00:00Z,2015-03-05T16:20:43Z,,,,,,,CALCULATED
2015-03-05T23:10:00Z,2015-03-05T16:30:43Z,,,,,,,CALCULATED
2015-03-05T23:20:00Z,2015-03-05T16:40:43Z,,,,,,,CALCULATED
2015-03-05T23:30:00Z,2015-03-05T16:50:43Z,,,,,,,CALCULATED
2015-03-05T23:40:00Z,2015-03-05T17:00:43Z,,,,,,,CALCULATED
