TIMESTAMP,solar_TIMESTAMP,ta,rh,vpd,ppfd_in,netrad,ws,precip,sw_in,ext_rad
2011-01-05T01:30:00Z,2011-01-04T20:25:48Z,,,,,,,,CALCULATED,CALCULATED
2011-01-05T02:00:00Z,2011-01-04T20:55:48Z,,,,,,,,CALCULATED,CALCULATED
2011-01-05T02:30:00Z,2011-01-04T21:25:48Z,,,,,,,,CALCULATED,CALCULATED
2011-01-05T03:00:00Z,2011-01-04T21:55:48Z,,,,,,,,CALCULATED,CALCULATED
2011-01-05T03:30:00Z,2011-01-04T22:25:48Z,,,,,,,,CALCULATED,CALCULATED
2011-01-05T04:00:00Z,2011-01-04T22:55:48Z,,,,,,,,CALCULATED,CALCULATED
2011-01-05T04:30:00Z,2011-01-04T23:25:48Z,,,,,,,,CALCULATED,CALCULATED
2011-01-05T05:00:00Z,2011-01-04T23:55:23Z,,,,,,,,CALCULATED,CALCULATED
2011-01-05T05:30:00Z,2011-01-05T00:25:23Z,,,,,,,,CALCULATED,CALCULATED
2011-01-05T06:00:00Z,2011-01-05T00:55:23Z,,,,,,,,CALCULATED,CALCULATED
2011-01-05T06:30:00Z,2011-01-05T01:25:23Z,,,,,,,,CALCULATED,CALCULATED
2011-01-05T07:00:00Z,2011-01-05T01:55:23Z,,,,,,,,CALCULATED,CALCULATED
2011-01-05T07:30:00Z,2011-01-05T02:25:23Z,,,,,,,,CALCULATED,CALCULATED
2011-01-05T08:00:00Z,2011-01-05T02:55:23Z,,,,,,,,CALCULATED,CALCULATED
2011-01-05T08:30:00Z,2011-01-05T03:25:23Z,,,,,,,,CALCULATED,CALCULATED
2011-01-05T09:00:00Z,2011-01-05T03:55:23Z,,,,,,,,CALCULATED,CALCULATED
2011-01-05T09:30:00Z,2011-01-05T04:25:23Z,,,,,,,,CALCULATED,CALCULATED
2011-01-05T10:00:00Z,2011-01-05T04:55:23Z,,,,,,,,CALCULATED,CALCULATED
2011-01-05T10:30:00Z,2011-01-05T05:25:23Z,,,,,,,,CALCULATED,CALCULATED
2011-01-05T11:00:00Z,2011-01-05T05:55:23Z,,,,,,,,CALCULATED,CALCULATED
2011-01-05T11:30:00Z,2011-01-05T06:25:23Z,,,,,,,,CALCULATED,CALCULATED
2011-01-05T12:00:00Z,2011-01-05T06:55:23Z,,,,,,,,CALCULATED,CALCULATED
2011-01-05T12:30:00Z,2011-01-05T07:25:23Z,,,,OUT_WARN,,,,CALCULATED,CALCULATED
2011-01-05T13:00:00Z,2011-01-05T07:55:23Z,,,,OUT_WARN,,,,CALCULATED,CALCULATED
2011-01-05T13:30:00Z,2011-01-05T08:25:23Z,,,,OUT_WARN,,,,CALCULATED,CALCULATED
2011-01-05T14:00:00Z,2011-01-05T08:55:23Z,,,,OUT_WARN,,,,CALCULATED,CALCULATED
2011-01-05T14:30:00Z,2011-01-05T09:25:23Z,,,,OUT_WARN,,,,CALCULATED,CALCULATED
