TIMESTAMP,TIMESTAMP_solar,IDN_JAM_OIL_Egu_Js_1,IDN_JAM_OIL_Egu_Js_2,IDN_JAM_OIL_Egu_Js_3,IDN_JAM_OIL_Egu_Js_4,IDN_JAM_OIL_Egu_Js_5,IDN_JAM_OIL_Egu_Js_6,IDN_JAM_OIL_Egu_Js_7,IDN_JAM_OIL_Egu_Js_8,IDN_JAM_OIL_Egu_Js_9,IDN_JAM_OIL_Egu_Js_10
2013-07-04T16:00:00Z,2013-07-04T22:46:38Z,,,,NA_PRESENT,,,,,,
2013-07-04T17:00:00Z,2013-07-04T23:46:38Z,,,,NA_PRESENT,,,,,,
2013-07-04T18:00:00Z,2013-07-05T00:46:29Z,,,,NA_PRESENT,,,,,,
2013-07-04T19:00:00Z,2013-07-05T01:46:29Z,,,,NA_PRESENT,,,,,,
2013-07-04T20:00:00Z,2013-07-05T02:46:29Z,,,,NA_PRESENT,,,,,,
2013-07-04T21:00:00Z,2013-07-05T03:46:29Z,,,,NA_PRESENT,,,,,,
2013-07-04T22:00:00Z,2013-07-05T04:46:29Z,,,,NA_PRESENT,,,,,,
2013-07-04T23:00:00Z,2013-07-05T05:46:29Z,,,,NA_PRESENT,,,,,,
2013-07-05T00:00:00Z,2013-07-05T06:46:29Z,,,,NA_PRESENT,,,,,,
2013-07-05T01:00:00Z,2013-07-05T07:46:29Z,,,,NA_PRESENT,,,,,,
2013-07-05T02:00:00Z,2013-07-05T08:46:29Z,,,,NA_PRESENT,,,,,,
2013-07-05T03:00:00Z,2013-07-05T09:46:29Z,,,,NA_PRESENT,,,,,,
2013-07-05T04:00:00Z,2013-07-05T10:46:29Z,,,,NA_PRESENT,,,,,,
2013-07-05T05:00:00Z,2013-07-05T11:46:29Z,,,,NA_PRESENT,OUT_WARN,,OUT_WARN,,OUT_WARN,
2013-07-05T06:00:00Z,2013-07-05T12:46:29Z,OUT_WARN,,OUT_WARN,NA_PRESENT,OUT_WARN,,OUT_WARN,OUT_WARN,OUT_WARN,
2013-07-05T07:00:00Z,2013-07-05T13:46:29Z,OUT_WARN,OUT_WARN,OUT_WARN,NA_PRESENT,OUT_WARN,,OUT_WARN,OUT_WARN,OUT_WARN,
2013-07-05T08:00:00Z,2013-07-05T14:46:29Z,OUT_WARN,,OUT_WARN,NA_PRESENT,OUT_WARN,,OUT_WARN,OUT_WARN,OUT_WARN,
2013-07-05T09:00:00Z,2013-07-05T15:46:29Z,,,,NA_PRESENT,OUT_WARN,,OUT_WARN,OUT_WARN,OUT_WARN,
2013-07-05T10:00:00Z,2013-07-05T16:46:29Z,,,,NA_PRESENT,,,OUT_WARN,,OUT_WARN,
2013-07-05T11:00:00Z,2013-07-05T17:46:29Z,,,,NA_PRESENT,,,,,,
2013-07-05T12:00:00Z,2013-07-05T18:46:29Z,,,,NA_PRESENT,,,,,,
2013-07-05T13:00:00Z,2013-07-05T19:46:29Z,,,,NA_PRESENT,,,,,,
2013-07-05T14:00:00Z,2013-07-05T20:46:29Z,,,,NA_PRESENT,,,,,,
2013-07-05T15:00:00Z,2013-07-05T21:46:29Z,,,,NA_PRESENT,,,,,,
2013-07-05T16:00:00Z,2013-07-05T22:46:29Z,,,,NA_PRESENT,,,,,,
2013-07-05T17:00:00Z,2013-07-05T23:46:29Z,,,,NA_PRESENT,,,,,,
2013-07-05T18:00:00Z,2013-07-06T00:46:20Z,,,,NA_PRESENT,,,,,,
2013-07-05T19:00:00Z,2013-07-06T01:46:20Z,,,,NA_PRESENT,,,,,,
2013-07-05T20:00:00Z,2013-07-06T02:46:20Z,,,,NA_PRESENT,,,,,,
2013-07-05T21:00:00Z,2013-07-06T03:46:20Z,,,,NA_PRESENT,,,,,,
2013-07-05T22:00:00Z,2013-07-06T04:46:20Z,,,,NA_PRESENT,,,,,,
2013-07-05T23:00:00Z,2013-07-06T05:46:20Z,,,,NA_PRESENT,,,,,,
2013-07-06T00:00:00Z,2013-07-06T06:46:20Z,,,,NA_PRESENT,,,,,,
2013-07-06T01:00:00Z,2013-07-06T07:46:20Z,,,,NA_PRESENT,,,,,,
2013-07-06T02:00:00Z,2013-07-06T08:46:20Z,OUT_WARN,,OUT_WARN,NA_PRESENT,,OUT_WARN,OUT_WARN,OUT_WARN,OUT_WARN,OUT_WARN
2013-07-06T03:00:00Z,2013-07-06T09:46:20Z,OUT_WARN,OUT_WARN,OUT_WARN,NA_PRESENT,OUT_WARN,OUT_WARN,OUT_WARN,OUT_WARN,OUT_WARN,OUT_WARN
2013-07-06T04:00:00Z,2013-07-06T10:46:20Z,OUT_WARN,OUT_WARN,OUT_WARN,NA_PRESENT,OUT_WARN,OUT_WARN,OUT_WARN,OUT_WARN,OUT_WARN,OUT_WARN
2013-07-06T05:00:00Z,2013-07-06T11:46:20Z,OUT_WARN,OUT_WARN,OUT_WARN,NA_PRESENT,OUT_WARN,OUT_WARN,OUT_WARN,OUT_WARN,OUT_WARN,OUT_WARN
2013-07-06T06:00:00Z,2013-07-06T12:46:20Z,OUT_WARN,OUT_WARN,OUT_WARN,NA_PRESENT,OUT_WARN,OUT_WARN,OUT_WARN,OUT_WARN,OUT_WARN,OUT_WARN
2013-07-06T07:00:00Z,2013-07-06T13:46:20Z,OUT_WARN,OUT_WARN,OUT_WARN,NA_PRESENT,OUT_WARN,OUT_WARN,OUT_WARN,OUT_WARN,OUT_WARN,OUT_WARN
2013-07-06T08:00:00Z,2013-07-06T14:46:20Z,OUT_WARN,OUT_WARN,OUT_WARN,NA_PRESENT,OUT_WARN,OUT_WARN,OUT_WARN,OUT_WARN,OUT_WARN,OUT_WARN
2013-07-06T09:00:00Z,2013-07-06T15:46:20Z,OUT_WARN,OUT_WARN,OUT_WARN,NA_PRESENT,OUT_WARN,OUT_WARN,OUT_WARN,OUT_WARN,OUT_WARN,OUT_WARN
2013-07-06T10:00:00Z,2013-07-06T16:46:20Z,OUT_WARN,OUT_WARN,OUT_WARN,NA_PRESENT,,OUT_WARN,OUT_WARN,OUT_WARN,OUT_WARN,OUT_WARN
2013-07-06T11:00:00Z,2013-07-06T17:46:20Z,OUT_WARN,,,NA_PRESENT,,,,OUT_WARN,OUT_WARN,
2013-07-06T12:00:00Z,2013-07-06T18:46:20Z,,,,NA_PRESENT,,,,,,
2013-07-06T13:00:00Z,2013-07-06T19:46:20Z,,,,NA_PRESENT,,,,,,
2013-07-06T14:00:00Z,2013-07-06T20:46:20Z,,,,NA_PRESENT,,,,,,
2013-07-06T15:00:00Z,2013-07-06T21:46:20Z,,,,NA_PRESENT,,,,,,
2013-07-06T16:00:00Z,2013-07-06T22:46:20Z,,,,NA_PRESENT,,,,,,
2013-07-06T17:00:00Z,2013-07-06T23:46:20Z,,,,NA_PRESENT,,,,,,
2013-07-06T18:00:00Z,2013-07-07T00:46:12Z,,,,NA_PRESENT,,,,,,
2013-07-06T19:00:00Z,2013-07-07T01:46:12Z,,,,NA_PRESENT,,,,,,
2013-07-06T20:00:00Z,2013-07-07T02:46:12Z,,,,NA_PRESENT,,,,,,
2013-07-06T21:00:00Z,2013-07-07T03:46:12Z,,,,NA_PRESENT,,,,,,
2013-07-06T22:00:00Z,2013-07-07T04:46:12Z,,,,NA_PRESENT,,,,,,
2013-07-06T23:00:00Z,2013-07-07T05:46:12Z,,,,NA_PRESENT,,,,,,
2013-07-07T00:00:00Z,2013-07-07T06:46:12Z,,,,NA_PRESENT,,,,,,
2013-07-07T01:00:00Z,2013-07-07T07:46:12Z,,,,NA_PRESENT,,,,,,
2013-07-07T02:00:00Z,2013-07-07T08:46:12Z,OUT_WARN,,,NA_PRESENT,,OUT_WARN,OUT_WARN,,OUT_WARN,OUT_WARN
2013-07-07T03:00:00Z,2013-07-07T09:46:12Z,OUT_WARN,OUT_WARN,OUT_WARN,NA_PRESENT,OUT_WARN,OUT_WARN,OUT_WARN,OUT_WARN,OUT_WARN,OUT_WARN
2013-07-07T04:00:00Z,2013-07-07T10:46:12Z,OUT_WARN,OUT_WARN,OUT_WARN,NA_PRESENT,OUT_WARN,OUT_WARN,OUT_WARN,OUT_WARN,OUT_WARN,OUT_WARN
2013-07-07T05:00:00Z,2013-07-07T11:46:12Z,OUT_WARN,OUT_WARN,OUT_WARN,NA_PRESENT,OUT_WARN,OUT_WARN,OUT_WARN,OUT_WARN,OUT_WARN,OUT_WARN
2013-07-07T06:00:00Z,2013-07-07T12:46:12Z,OUT_WARN,OUT_WARN,OUT_WARN,NA_PRESENT,OUT_WARN,OUT_WARN,OUT_WARN,OUT_WARN,OUT_WARN,OUT_WARN
