TIMESTAMP,solar_TIMESTAMP,SWE_SKO_MIN_Pab_Jt_1,SWE_SKO_MIN_Pab_Jt_2,SWE_SKO_MIN_Pab_Jt_3,SWE_SKO_MIN_Pab_Jt_4,SWE_SKO_MIN_Pab_Jt_5,SWE_SKO_MIN_Pab_Jt_6,SWE_SKO_MIN_Pab_Jt_7,SWE_SKO_MIN_Pab_Jt_8,SWE_SKO_MIN_Pab_Jt_9,SWE_SKO_MIN_Pab_Jt_10,SWE_SKO_MIN_Pab_Jt_11
2015-01-02T19:00:00Z,2015-01-02T19:43:36Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-01-02T19:30:00Z,2015-01-02T20:13:36Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-01-02T20:00:00Z,2015-01-02T20:43:36Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-01-02T20:30:00Z,2015-01-02T21:13:36Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-01-02T21:00:00Z,2015-01-02T21:43:36Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-01-02T21:30:00Z,2015-01-02T22:13:36Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-01-02T22:00:00Z,2015-01-02T22:43:36Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-01-02T22:30:00Z,2015-01-02T23:13:36Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-01-02T23:00:00Z,2015-01-02T23:43:36Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-01-02T23:30:00Z,2015-01-03T00:13:11Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-01-03T00:00:00Z,2015-01-03T00:43:11Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-01-03T00:30:00Z,2015-01-03T01:13:11Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-01-03T01:00:00Z,2015-01-03T01:43:11Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-01-03T01:30:00Z,2015-01-03T02:13:11Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-01-03T02:00:00Z,2015-01-03T02:43:11Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-01-03T02:30:00Z,2015-01-03T03:13:11Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-01-03T03:00:00Z,2015-01-03T03:43:11Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-01-03T03:30:00Z,2015-01-03T04:13:11Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-01-03T04:00:00Z,2015-01-03T04:43:11Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-01-03T04:30:00Z,2015-01-03T05:13:11Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-01-03T05:00:00Z,2015-01-03T05:43:11Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-01-03T05:30:00Z,2015-01-03T06:13:11Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-01-03T06:00:00Z,2015-01-03T06:43:11Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-01-03T06:30:00Z,2015-01-03T07:13:11Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-01-03T07:00:00Z,2015-01-03T07:43:11Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-01-03T07:30:00Z,2015-01-03T08:13:11Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
