TIMESTAMP,solar_TIMESTAMP,ta,rh,sw_in,netrad,ws,precip,swc_shallow,swc_deep,ppfd_in,vpd,ext_rad
1999-01-03T12:00:00Z,1999-01-03T13:04:29Z,,,OUT_WARN,,,NA_PRESENT,NA_PRESENT,NA_PRESENT,CALCULATED,CALCULATED,CALCULATED
1999-01-03T12:30:00Z,1999-01-03T13:34:29Z,,,OUT_WARN,,,NA_PRESENT,NA_PRESENT,NA_PRESENT,CALCULATED,CALCULATED,CALCULATED
1999-01-03T13:00:00Z,1999-01-03T14:04:29Z,,,OUT_WARN,,,NA_PRESENT,NA_PRESENT,NA_PRESENT,CALCULATED,CALCULATED,CALCULATED
1999-01-03T13:30:00Z,1999-01-03T14:34:29Z,,,OUT_WARN,,,NA_PRESENT,NA_PRESENT,NA_PRESENT,CALCULATED,CALCULATED,CALCULATED
1999-01-03T14:00:00Z,1999-01-03T15:04:29Z,,,OUT_WARN,,,NA_PRESENT,NA_PRESENT,NA_PRESENT,CALCULATED,CALCULATED,CALCULATED
1999-01-03T14:30:00Z,1999-01-03T15:34:29Z,,,OUT_WARN,,,NA_PRESENT,NA_PRESENT,NA_PRESENT,CALCULATED,CALCULATED,CALCULATED
1999-01-03T15:00:00Z,1999-01-03T16:04:29Z,,,OUT_WARN,,,NA_PRESENT,NA_PRESENT,NA_PRESENT,CALCULATED,CALCULATED,CALCULATED
1999-01-03T15:30:00Z,1999-01-03T16:34:29Z,,,,,,NA_PRESENT,NA_PRESENT,NA_PRESENT,CALCULATED,CALCULATED,CALCULATED
1999-01-03T16:00:00Z,1999-01-03T17:04:29Z,,,,,,NA_PRESENT,NA_PRESENT,NA_PRESENT,CALCULATED,CALCULATED,CALCULATED
1999-01-03T16:30:00Z,1999-01-03T17:34:29Z,,,,,,NA_PRESENT,NA_PRESENT,NA_PRESENT,CALCULATED,CALCULATED,CALCULATED
1999-01-03T17:00:00Z,1999-01-03T18:04:29Z,,,,,,NA_PRESENT,NA_PRESENT,NA_PRESENT,CALCULATED,CALCULATED,CALCULATED
1999-01-03T17:30:00Z,1999-01-03T18:34:29Z,,,,,,NA_PRESENT,NA_PRESENT,NA_PRESENT,CALCULATED,CALCULATED,CALCULATED
1999-01-03T18:00:00Z,1999-01-03T19:04:29Z,,,,,,NA_PRESENT,NA_PRESENT,NA_PRESENT,CALCULATED,CALCULATED,CALCULATED
1999-01-03T18:30:00Z,1999-01-03T19:34:29Z,,,,,,NA_PRESENT,NA_PRESENT,NA_PRESENT,CALCULATED,CALCULATED,CALCULATED
1999-01-03T19:00:00Z,1999-01-03T20:04:29Z,,,,,,NA_PRESENT,NA_PRESENT,NA_PRESENT,CALCULATED,CALCULATED,CALCULATED
1999-01-03T19:30:00Z,1999-01-03T20:34:29Z,,,,,,NA_PRESENT,NA_PRESENT,NA_PRESENT,CALCULATED,CALCULATED,CALCULATED
1999-01-03T20:00:00Z,1999-01-03T21:04:29Z,,,,,,NA_PRESENT,NA_PRESENT,NA_PRESENT,CALCULATED,CALCULATED,CALCULATED
1999-01-03T20:30:00Z,1999-01-03T21:34:29Z,,,,,,NA_PRESENT,NA_PRESENT,NA_PRESENT,CALCULATED,CALCULATED,CALCULATED
1999-01-03T21:00:00Z,1999-01-03T22:04:29Z,,,,,,NA_PRESENT,NA_PRESENT,NA_PRESENT,CALCULATED,CALCULATED,CALCULATED
1999-01-03T21:30:00Z,1999-01-03T22:34:29Z,,,,,,NA_PRESENT,NA_PRESENT,NA_PRESENT,CALCULATED,CALCULATED,CALCULATED
1999-01-03T22:00:00Z,1999-01-03T23:04:29Z,,,,,,NA_PRESENT,NA_PRESENT,NA_PRESENT,CALCULATED,CALCULATED,CALCULATED
1999-01-03T22:30:00Z,1999-01-03T23:34:29Z,,,,,,NA_PRESENT,NA_PRESENT,NA_PRESENT,CALCULATED,CALCULATED,CALCULATED
1999-01-03T23:00:00Z,1999-01-04T00:04:05Z,,,,,,NA_PRESENT,NA_PRESENT,NA_PRESENT,CALCULATED,CALCULATED,CALCULATED
1999-01-03T23:30:00Z,1999-01-04T00:34:05Z,,,,,,NA_PRESENT,NA_PRESENT,NA_PRESENT,CALCULATED,CALCULATED,CALCULATED
1999-01-04T00:00:00Z,1999-01-04T01:04:05Z,,,,,,NA_PRESENT,NA_PRESENT,NA_PRESENT,CALCULATED,CALCULATED,CALCULATED
1999-01-04T00:30:00Z,1999-01-04T01:34:05Z,,,,,,NA_PRESENT,NA_PRESENT,NA_PRESENT,CALCULATED,CALCULATED,CALCULATED
1999-01-04T01:00:00Z,1999-01-04T02:04:05Z,,,,,,NA_PRESENT,NA_PRESENT,NA_PRESENT,CALCULATED,CALCULATED,CALCULATED
1999-01-04T01:30:00Z,1999-01-04T02:34:05Z,,,,,,NA_PRESENT,NA_PRESENT,NA_PRESENT,CALCULATED,CALCULATED,CALCULATED
1999-01-04T02:00:00Z,1999-01-04T03:04:05Z,,,,,,NA_PRESENT,NA_PRESENT,NA_PRESENT,CALCULATED,CALCULATED,CALCULATED
1999-01-04T02:30:00Z,1999-01-04T03:34:05Z,,,,,,NA_PRESENT,NA_PRESENT,NA_PRESENT,CALCULATED,CALCULATED,CALCULATED
1999-01-04T03:00:00Z,1999-01-04T04:04:05Z,,,,,,NA_PRESENT,NA_PRESENT,NA_PRESENT,CALCULATED,CALCULATED,CALCULATED
1999-01-04T03:30:00Z,1999-01-04T04:34:05Z,,,,,,NA_PRESENT,NA_PRESENT,NA_PRESENT,CALCULATED,CALCULATED,CALCULATED
1999-01-04T04:00:00Z,1999-01-04T05:04:05Z,,,,,,NA_PRESENT,NA_PRESENT,NA_PRESENT,CALCULATED,CALCULATED,CALCULATED
