TIMESTAMP,solar_TIMESTAMP,MEX_VER_BSJ_Pme_Jt_1,MEX_VER_BSJ_Spe_Jt_2,MEX_VER_BSJ_Lst_Jt_3,MEX_VER_BSJ_Cma_Jt_4,MEX_VER_BSJ_Pme_Jt_5,MEX_VER_BSJ_Lst_Jt_6,MEX_VER_BSJ_Tin_Jt_7,MEX_VER_BSJ_Pme_Jt_8
2015-03-06T05:40:00Z,2015-03-05T23:00:43Z,NA,NA,NA,NA,NA,NA,NA,NA
2015-03-06T05:50:00Z,2015-03-05T23:10:43Z,NA,NA,NA,NA,NA,NA,NA,NA
2015-03-06T06:00:00Z,2015-03-05T23:20:43Z,NA,NA,NA,NA,NA,NA,NA,NA
2015-03-06T06:10:00Z,2015-03-05T23:30:43Z,NA,NA,NA,NA,NA,NA,NA,NA
2015-03-06T06:20:00Z,2015-03-05T23:40:43Z,NA,NA,NA,NA,NA,NA,NA,NA
2015-03-06T06:30:00Z,2015-03-05T23:50:57Z,NA,NA,NA,NA,NA,NA,NA,NA
2015-03-06T06:40:00Z,2015-03-06T00:00:57Z,NA,NA,NA,NA,NA,NA,NA,NA
2015-03-06T06:50:00Z,2015-03-06T00:10:57Z,NA,NA,NA,NA,NA,NA,NA,NA
2015-03-06T07:00:00Z,2015-03-06T00:20:57Z,NA,NA,NA,NA,NA,NA,NA,NA
2015-03-06T07:10:00Z,2015-03-06T00:30:57Z,NA,NA,NA,NA,NA,NA,NA,NA
2015-03-06T07:20:00Z,2015-03-06T00:40:57Z,NA,NA,NA,NA,NA,NA,NA,NA
2015-03-06T07:30:00Z,2015-03-06T00:50:57Z,NA,NA,NA,NA,NA,NA,NA,NA
2015-03-06T07:40:00Z,2015-03-06T01:00:57Z,NA,NA,NA,NA,NA,NA,NA,NA
2015-03-06T07:50:00Z,2015-03-06T01:10:57Z,NA,NA,NA,NA,NA,NA,NA,NA
2015-03-06T08:00:00Z,2015-03-06T01:20:57Z,NA,NA,NA,NA,NA,NA,NA,NA
2015-03-06T08:10:00Z,2015-03-06T01:30:57Z,NA,NA,NA,NA,NA,NA,NA,NA
2015-03-06T08:20:00Z,2015-03-06T01:40:57Z,NA,NA,NA,NA,NA,NA,NA,NA
2015-03-06T08:30:00Z,2015-03-06T01:50:57Z,NA,NA,NA,NA,NA,NA,NA,NA
2015-03-06T08:40:00Z,2015-03-06T02:00:57Z,NA,NA,NA,NA,NA,NA,NA,NA
2015-03-06T08:50:00Z,2015-03-06T02:10:57Z,NA,NA,NA,NA,NA,NA,NA,NA
2015-03-06T09:00:00Z,2015-03-06T02:20:57Z,NA,NA,NA,NA,NA,NA,NA,NA
2015-03-06T09:10:00Z,2015-03-06T02:30:57Z,NA,NA,NA,NA,NA,NA,NA,NA
2015-03-06T09:20:00Z,2015-03-06T02:40:57Z,NA,NA,NA,NA,NA,NA,NA,NA
2015-03-06T09:30:00Z,2015-03-06T02:50:57Z,NA,NA,NA,NA,NA,NA,NA,NA
2015-03-06T09:40:00Z,2015-03-06T03:00:57Z,NA,NA,NA,NA,NA,NA,NA,NA
2015-03-06T09:50:00Z,2015-03-06T03:10:57Z,NA,NA,NA,NA,NA,NA,NA,NA
2015-03-06T10:00:00Z,2015-03-06T03:20:57Z,NA,NA,NA,NA,NA,NA,NA,NA
2015-03-06T10:10:00Z,2015-03-06T03:30:57Z,NA,NA,NA,NA,NA,NA,NA,NA
2015-03-06T10:20:00Z,2015-03-06T03:40:57Z,NA,NA,NA,NA,NA,NA,NA,NA
2015-03-06T10:30:00Z,2015-03-06T03:50:57Z,NA,NA,NA,NA,NA,NA,NA,NA
2015-03-06T10:40:00Z,2015-03-06T04:00:57Z,NA,NA,NA,NA,NA,NA,NA,NA
2015-03-06T10:50:00Z,2015-03-06T04:10:57Z,NA,NA,NA,NA,NA,NA,NA,NA
