TIMESTAMP,solar_TIMESTAMP,ta,rh,ppfd_in,ws,precip,swc_shallow,sw_in,vpd,ext_rad
2008-06-17T01:30:00Z,2008-06-17T03:17:21Z,,,NA_PRESENT,,,NA_PRESENT,CALCULATED,CALCULATED,CALCULATED
2008-06-17T02:00:00Z,2008-06-17T03:47:21Z,,,NA_PRESENT,,,NA_PRESENT,CALCULATED,CALCULATED,CALCULATED
2008-06-17T02:30:00Z,2008-06-17T04:17:21Z,,,NA_PRESENT,,,NA_PRESENT,CALCULATED,CALCULATED,CALCULATED
2008-06-17T03:00:00Z,2008-06-17T04:47:21Z,,,NA_PRESENT,,,NA_PRESENT,CALCULATED,CALCULATED,CALCULATED
2008-06-17T03:30:00Z,2008-06-17T05:17:21Z,,,NA_PRESENT,,,NA_PRESENT,CALCULATED,CALCULATED,CALCULATED
2008-06-17T04:00:00Z,2008-06-17T05:47:21Z,,,NA_PRESENT,,,NA_PRESENT,CALCULATED,CALCULATED,CALCULATED
2008-06-17T04:30:00Z,2008-06-17T06:17:21Z,,,NA_PRESENT,,,NA_PRESENT,CALCULATED,CALCULATED,CALCULATED
2008-06-17T05:00:00Z,2008-06-17T06:47:21Z,,,NA_PRESENT,,,NA_PRESENT,CALCULATED,CALCULATED,CALCULATED
2008-06-17T05:30:00Z,2008-06-17T07:17:21Z,,,NA_PRESENT,,,NA_PRESENT,CALCULATED,CALCULATED,CALCULATED
2008-06-17T06:00:00Z,2008-06-17T07:47:21Z,,,NA_PRESENT,,,NA_PRESENT,CALCULATED,CALCULATED,CALCULATED
2008-06-17T06:30:00Z,2008-06-17T08:17:21Z,,,NA_PRESENT,,,NA_PRESENT,CALCULATED,CALCULATED,CALCULATED
2008-06-17T07:00:00Z,2008-06-17T08:47:21Z,,,NA_PRESENT,,,NA_PRESENT,CALCULATED,CALCULATED,CALCULATED
2008-06-17T07:30:00Z,2008-06-17T09:17:21Z,,,NA_PRESENT,,,NA_PRESENT,CALCULATED,CALCULATED,CALCULATED
2008-06-17T08:00:00Z,2008-06-17T09:47:21Z,,,NA_PRESENT,,,NA_PRESENT,CALCULATED,CALCULATED,CALCULATED
2008-06-17T08:30:00Z,2008-06-17T10:17:21Z,,,NA_PRESENT,,,NA_PRESENT,CALCULATED,CALCULATED,CALCULATED
2008-06-17T09:00:00Z,2008-06-17T10:47:21Z,,,NA_PRESENT,,,NA_PRESENT,CALCULATED,CALCULATED,CALCULATED
2008-06-17T09:30:00Z,2008-06-17T11:17:21Z,,,NA_PRESENT,,,NA_PRESENT,CALCULATED,CALCULATED,CALCULATED
2008-06-17T10:00:00Z,2008-06-17T11:47:21Z,,,NA_PRESENT,,,NA_PRESENT,CALCULATED,CALCULATED,CALCULATED
2008-06-17T10:30:00Z,2008-06-17T12:17:21Z,,,NA_PRESENT,,,NA_PRESENT,CALCULATED,CALCULATED,CALCULATED
2008-06-17T11:00:00Z,2008-06-17T12:47:21Z,,,NA_PRESENT,,,NA_PRESENT,CALCULATED,CALCULATED,CALCULATED
2008-06-17T11:30:00Z,2008-06-17T13:17:21Z,,,NA_PRESENT,,,NA_PRESENT,CALCULATED,CALCULATED,CALCULATED
2008-06-17T12:00:00Z,2008-06-17T13:47:21Z,,,NA_PRESENT,,,NA_PRESENT,CALCULATED,CALCULATED,CALCULATED
2008-06-17T12:30:00Z,2008-06-17T14:17:21Z,,,NA_PRESENT,,,NA_PRESENT,CALCULATED,CALCULATED,CALCULATED
2008-06-17T13:00:00Z,2008-06-17T14:47:21Z,,,NA_PRESENT,,,NA_PRESENT,CALCULATED,CALCULATED,CALCULATED
2008-06-17T13:30:00Z,2008-06-17T15:17:21Z,,,NA_PRESENT,,,NA_PRESENT,CALCULATED,CALCULATED,CALCULATED
2008-06-17T14:00:00Z,2008-06-17T15:47:21Z,,,NA_PRESENT,,,NA_PRESENT,CALCULATED,CALCULATED,CALCULATED
2008-06-17T14:30:00Z,2008-06-17T16:17:21Z,,,NA_PRESENT,,,NA_PRESENT,CALCULATED,CALCULATED,CALCULATED
2008-06-17T15:00:00Z,2008-06-17T16:47:21Z,,,NA_PRESENT,,,NA_PRESENT,CALCULATED,CALCULATED,CALCULATED
