TIMESTAMP,solar_TIMESTAMP,RUS_CHE_LOW_Lca_Jt_1,RUS_CHE_LOW_Lca_Jt_2,RUS_CHE_LOW_Lca_Jt_3,RUS_CHE_LOW_Lca_Jt_4,RUS_CHE_LOW_Lca_Jt_5,RUS_CHE_LOW_Lca_Jt_6,RUS_CHE_LOW_Lca_Jt_7,RUS_CHE_LOW_Lca_Jt_8,RUS_CHE_LOW_Lca_Jt_9,RUS_CHE_LOW_Lca_Jt_10,RUS_CHE_LOW_Lca_Jt_11,RUS_CHE_LOW_Lca_Jt_12
2016-07-02T17:30:00Z,2016-07-03T04:11:29Z,NA_PRESENT,,,,,NA_PRESENT,,,NA_PRESENT,,NA_PRESENT,NA_PRESENT
2016-07-02T18:00:00Z,2016-07-03T04:41:29Z,NA_PRESENT,,,,,NA_PRESENT,,,NA_PRESENT,,NA_PRESENT,NA_PRESENT
2016-07-02T18:30:00Z,2016-07-03T05:11:29Z,NA_PRESENT,,,,,NA_PRESENT,,,NA_PRESENT,,NA_PRESENT,NA_PRESENT
2016-07-02T19:00:00Z,2016-07-03T05:41:29Z,NA_PRESENT,,,,,NA_PRESENT,,,NA_PRESENT,,NA_PRESENT,NA_PRESENT
2016-07-02T19:30:00Z,2016-07-03T06:11:29Z,NA_PRESENT,,,,,NA_PRESENT,,,NA_PRESENT,,NA_PRESENT,NA_PRESENT
2016-07-02T20:00:00Z,2016-07-03T06:41:29Z,NA_PRESENT,,,,,NA_PRESENT,,,NA_PRESENT,,NA_PRESENT,NA_PRESENT
2016-07-02T20:30:00Z,2016-07-03T07:11:29Z,NA_PRESENT,,,,,NA_PRESENT,,,,,NA_PRESENT,NA_PRESENT
2016-07-02T21:00:00Z,2016-07-03T07:41:29Z,NA_PRESENT,,,,,NA_PRESENT,,,,,NA_PRESENT,NA_PRESENT
2016-07-02T21:30:00Z,2016-07-03T08:11:29Z,,,,,,,,,NA_PRESENT,,NA_PRESENT,NA_PRESENT
2016-07-02T22:00:00Z,2016-07-03T08:41:29Z,,,,,,,,,NA_PRESENT,,,NA_PRESENT
