TIMESTAMP,solar_TIMESTAMP,GUF_NOU_PET_Qro_Js_1,GUF_NOU_PET_Qro_Js_2,GUF_NOU_PET_Dgu_Js_3,GUF_NOU_PET_Dgu_Js_4,GUF_NOU_PET_Dgu_Js_5,GUF_NOU_PET_Lal_Js_6,GUF_NOU_PET_Lal_Js_7,GUF_NOU_PET_Sru_Js_8,GUF_NOU_PET_Lpo_Js_9,GUF_NOU_PET_Lro_Js_10,GUF_NOU_PET_Qtr_Js_11,GUF_NOU_PET_Qtr_Js_12,GUF_NOU_PET_Qro_Js_13,GUF_NOU_PET_Dgu_Js_14,GUF_NOU_PET_Dgu_Js_15,GUF_NOU_PET_Ggl_Js_16,GUF_NOU_PET_Lpo_Js_17,GUF_NOU_PET_Eco_Js_18,GUF_NOU_PET_Eco_Js_19,GUF_NOU_PET_Eco_Js_20,GUF_NOU_PET_Lal_Js_21,GUF_NOU_PET_Vam_Js_22
2015-09-16T11:00:00Z,2015-09-16T07:36:01Z,0.9852400299999999,0.06730482,0.35496848000000003,0.07489297,NA,0,0,0.06716012,0.56960732,0.20596023,0.11900647,0.79876959,0.023744790000000002,0.11515059000000001,0.07087550000000001,0,0,0.040095900000000004,0.01816621,0.01294679,0.08947626,0.05166158
2015-09-16T11:30:00Z,2015-09-16T08:06:01Z,4.29159439,0.33856116000000003,2.95012045,0.8562531200000001,NA,0.25578122,0,0.09587841000000001,0.7001791800000001,1.9527476100000003,0.67554966,3.2279222300000003,0.023744790000000002,0.06969927000000001,0.22098919000000003,0.01992725,0.01992725,0.06616281,0.01816621,0.309887,0.08947626,0.74748883
2015-09-16T12:00:00Z,2015-09-16T08:36:01Z,8.78091054,1.3193645600000001,9.61465281,4.70918528,NA,2.47792872,0.36533193,0.81185309,1.28145561,6.297516850000001,2.76669602,6.2713062200000005,0.74988484,0.11515059000000001,3.3443826199999998,0.26157832000000003,0.67586378,0.45054533,0.04270708,3.21269729,0.08947626,6.3670477100000005
2015-09-16T12:30:00Z,2015-09-16T09:06:01Z,10.18909365,2.0064897,11.36497619,7.582762270000001,NA,4.39214645,1.2062892400000003,1.7060283299999999,2.3105437500000003,8.415205349999999,4.34196246,7.39218784,2.8276696900000005,0.16458507,7.08513026,1.05113717,3.3193173700000003,2.40046024,0.66063183,4.47053089,0.9055745800000001,9.267932440000001
2015-09-16T13:00:00Z,2015-09-16T09:36:01Z,11.0915009,2.3812505,12.89263114,9.74335677,NA,5.33820007,1.85977237,2.3756727900000003,2.89172981,9.81035128,4.82726886,7.91961743,4.14936278,0.16458507,8.21602599,1.7193205100000002,6.07133695,4.08333514,1.85754307,4.72850034,3.34958575,10.26601961
2015-09-16T13:30:00Z,2015-09-16T10:06:01Z,12.36635277,3.05134184,15.870223240000001,12.65652086,NA,6.483432390000001,2.67862736,3.0440557900000003,3.5892874399999997,10.70520414,5.6487993,8.88812306,7.78602283,0.27283103000000003,10.7477519,3.08080481,8.55135578,6.46884235,4.64293585,5.53896396,6.03263189,12.60823002
2015-09-16T14:00:00Z,2015-09-16T10:36:01Z,12.698453720000002,3.4807764900000002,17.27746546,14.292311609999999,NA,6.847170160000001,3.5935534400000004,3.11401373,3.95876861,11.32718154,5.97156261,9.32157883,8.75725112,0.27283103000000003,12.372635850000002,3.9871349400000002,9.957253360000001,7.141900680000001,6.68111079,5.6090251,10.31047802,13.2832176
2015-09-16T14:30:00Z,2015-09-16T11:06:01Z,12.53171623,3.62852642,17.037063810000003,15.033569800000002,NA,6.970548040000001,4.29203193,3.2556393300000006,4.03434249,11.485951300000002,6.30255033,9.61687552,8.75725112,0.21729178999999998,13.01848176,4.16140125,11.056076310000002,7.24070761,7.4013276800000005,5.6794807800000005,9.12817332,13.80429935
2015-09-16T15:00:00Z,2015-09-16T11:36:01Z,12.53171623,3.70327061,16.79904264,15.80028661,NA,6.970548040000001,4.29203193,3.0440557900000003,3.8093032000000004,11.485951300000002,7.107690560000001,9.76645308,9.33967954,0.21729178999999998,13.460661980000001,4.518849110000001,11.48564052,7.44034975,8.15851412,5.821581640000001,9.271578100000001,14.338490310000001
2015-09-16T15:30:00Z,2015-09-16T12:06:01Z,12.36635277,3.70327061,16.56337466,16.3260643,NA,6.970548040000001,4.29203193,2.90584554,3.7354084600000004,11.485951300000002,7.226551100000001,9.76645308,9.045910390000001,0.21729178999999998,13.460661980000001,4.70207756,11.63101665,7.34018938,8.60840211,5.75033246,9.85761794,14.338490310000001
2015-09-16T16:00:00Z,2015-09-16T12:36:01Z,12.698453720000002,4.08574607,17.27746546,17.414137280000002,NA,7.34718065,4.92984234,2.83759186,3.95876861,11.64605383,7.711850320000001,9.917331110000001,9.33967954,0.21729178999999998,13.68531817,5.173495040000001,12.2236937,7.54119255,9.07120563,5.96527853,11.0915009,13.98088869
2015-09-16T16:30:00Z,2015-09-16T13:06:01Z,12.86657744,4.24285401,17.27746546,17.69400078,NA,7.34718065,5.039732130000001,2.83759186,3.95876861,11.64605383,7.711850320000001,10.069520540000001,9.48850668,0.21729178999999998,13.23839236,5.270094670000001,12.2236937,7.44034975,9.07120563,6.0377293100000005,10.93261816,13.629166470000001
