TIMESTAMP,solar_TIMESTAMP,ta,vpd,sw_in,ppfd_in,precip,swc_shallow,rh,ext_rad
2001-04-19T09:30:00Z,2001-04-19T09:15:50Z,,,OUT_WARN,OUT_WARN,,,CALCULATED,CALCULATED
2001-04-19T10:00:00Z,2001-04-19T09:45:50Z,,,OUT_WARN,OUT_WARN,,,CALCULATED,CALCULATED
2001-04-19T10:30:00Z,2001-04-19T10:15:50Z,,,OUT_WARN,OUT_WARN,,,CALCULATED,CALCULATED
2001-04-19T11:00:00Z,2001-04-19T10:45:50Z,,,,OUT_WARN,,,CALCULATED,CALCULATED
2001-04-19T11:30:00Z,2001-04-19T11:15:50Z,,,OUT_WARN,OUT_WARN,,,CALCULATED,CALCULATED
2001-04-19T12:00:00Z,2001-04-19T11:45:50Z,,,OUT_WARN,OUT_WARN,,,CALCULATED,CALCULATED
2001-04-19T12:30:00Z,2001-04-19T12:15:50Z,,,,,,,CALCULATED,CALCULATED
2001-04-19T13:00:00Z,2001-04-19T12:45:50Z,,,OUT_WARN,,,,CALCULATED,CALCULATED
2001-04-19T13:30:00Z,2001-04-19T13:15:50Z,,,,,OUT_WARN,,CALCULATED,CALCULATED
2001-04-19T14:00:00Z,2001-04-19T13:45:50Z,,,OUT_WARN,OUT_WARN,,,CALCULATED,CALCULATED
2001-04-19T14:30:00Z,2001-04-19T14:15:50Z,,,,,,,CALCULATED,CALCULATED
2001-04-19T15:00:00Z,2001-04-19T14:45:50Z,,,OUT_WARN,OUT_WARN,,,CALCULATED,CALCULATED
2001-04-19T15:30:00Z,2001-04-19T15:15:50Z,,,OUT_WARN,,,,CALCULATED,CALCULATED
2001-04-19T16:00:00Z,2001-04-19T15:45:50Z,,,OUT_WARN,,,,CALCULATED,CALCULATED
2001-04-19T16:30:00Z,2001-04-19T16:15:50Z,,,,,,,CALCULATED,CALCULATED
2001-04-19T17:00:00Z,2001-04-19T16:45:50Z,,,,,,,CALCULATED,CALCULATED
2001-04-19T17:30:00Z,2001-04-19T17:15:50Z,,,,,,,CALCULATED,CALCULATED
2001-04-19T18:00:00Z,2001-04-19T17:45:50Z,,,,,,,CALCULATED,CALCULATED
2001-04-19T18:30:00Z,2001-04-19T18:15:50Z,,,,,,,CALCULATED,CALCULATED
2001-04-19T19:00:00Z,2001-04-19T18:45:50Z,,,,,,,CALCULATED,CALCULATED
2001-04-19T19:30:00Z,2001-04-19T19:15:50Z,,,,RANGE_WARN,,,CALCULATED,CALCULATED
2001-04-19T20:00:00Z,2001-04-19T19:45:50Z,,,,RANGE_WARN,OUT_WARN,,CALCULATED,CALCULATED
2001-04-19T20:30:00Z,2001-04-19T20:15:50Z,,,,RANGE_WARN,OUT_WARN,,CALCULATED,CALCULATED
