site,src,mode_min,pct_mode,common_steps,min_step,max_gap_hr,n,start,end,regular
USA_ORN_ST2_AMB,sapf,30,40.1,0|1|14|15|30,0,0.5,58353,2007-01-01 10:15:00+00:00,2009-01-01 09:46:00+00:00,False
USA_ORN_ST3_ELE,sapf,30,39.62,4|5|6|10|30,4,0.5,64120,2007-01-01 05:15:00+00:00,2009-01-01 04:46:00+00:00,False
USA_ORN_ST4_ELE,sapf,30,40.07,0|1|14|15|30,0,0.5,58374,2007-01-01 05:15:00+00:00,2009-01-01 04:46:00+00:00,False
USA_PAR_FER,env,30,100.0,30,30,8.0,70161,2007-01-01 05:30:00+00:00,2011-01-02 05:00:00+00:00,True
USA_SIL_OAK_1PR,env,30,100.0,30,30,0.5,105167,2005-01-01 05:30:00+00:00,2011-01-01 04:30:00+00:00,True
USA_SIL_OAK_2PR,env,30,100.0,30,30,0.5,105167,2005-01-01 05:30:00+00:00,2011-01-01 04:30:00+00:00,True
USA_SYL_HL2,env,30,100.0,30,30,0.5,35088,2015-01-01 05:00:00+00:00,2017-01-01 04:30:00+00:00,True
USA_UMB_CON,env,30,100.0,30,30,0.5,122736,2010-01-01 05:00:00+00:00,2017-01-01 04:30:00+00:00,True
USA_UMB_GIR,env,30,100.0,30,30,0.5,122736,2010-01-01 05:00:00+00:00,2017-01-01 04:30:00+00:00,True
USA_WIL_WC1,env,30,53.25,15|30,15,0.5,45792,2000-01-01 06:00:00+00:00,2002-01-01 05:30:00+00:00,False
ARG_MAZ,env,60,99.3,60,59,1.0,288,2009-11-19 03:00:00+00:00,2009-12-01 02:00:00+00:00,True
ARG_TRE,env,60,100.0,60,60,1.0,312,2009-11-18 03:00:00+00:00,2009-12-01 02:00:00+00:00,True
DEU_STE_2P3,sapf,60,64.61,0|60,0,1.0,27117,2001-12-31 23:00:00+00:00,2003-12-31 22:00:00+00:00,False
DEU_STE_4P5,env,60,100.0,60,60,1.0,17544,2003-12-31 23:00:00+00:00,2005-12-31 22:00:00+00:00,True
GBR_DEV_CON,env,60,100.0,60,60,1.0,6024,1995-03-31 01:00:00+00:00,1995-12-07 00:00:00+00:00,True
GBR_DEV_DRO,sapf,60,100.0,60,60,1.0,6024,1995-03-31 01:00:00+00:00,1995-12-07 00:00:00+00:00,True
IDN_JAM_OIL,env,60,100.0,60,60,1.0,2160,2013-07-02 17:00:00+00:00,2013-09-30 16:00:00+00:00,True
